,faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp,timestamp_x
0,186,126,222,90,3,1,172.0,154.399993896,1458330163.64,1458330164.06,1458330164.06
1,192,123,223,92,4,1,171.084457397,154.689529419,1458330164.14,1458330164.31,1458330164.31
2,193,122,224,91,5,1,170.612304688,156.383804321,1458330164.39,1458330164.49,1458330164.49
3,190,124,220,94,6,1,170.544189453,156.86819458,1458330164.59,1458330164.63,1458330164.63
4,193,123,223,93,7,1,170.85067749,157.017974854,1458330164.66,1458330164.73,1458330164.73
5,193,123,224,92,8,1,171.049407959,157.057983398,1458330164.78,1458330164.82,1458330164.82
6,194,123,224,93,9,1,171.216171265,156.96244812,1458330164.87,1458330164.9,1458330164.9
7,193,122,224,91,10,1,171.27645874,156.908493042,1458330164.94,1458330164.97,1458330164.97
8,193,122,224,91,11,1,171.2734375,156.884338379,1458330165.0,1458330165.04,1458330165.04
9,193,124,224,93,12,1,171.242141724,156.847366333,1458330165.07,1458330165.12,1458330165.12
10,193,123,223,93,13,1,171.12991333,156.783432007,1458330165.18,1458330165.21,1458330165.21
11,191,124,222,93,14,1,171.057113647,156.74118042,1458330165.25,1458330165.29,1458330165.29
12,192,125,223,94,15,1,170.901092529,156.620407104,1458330165.32,1458330165.35,1458330165.35
13,193,123,223,93,16,1,170.842727661,156.571014404,1458330165.37,1458330165.43,1458330165.43
14,193,122,223,92,17,1,170.656585693,156.41595459,1458330165.47,1458330165.51,1458330165.51
15,192,123,223,92,18,1,170.468887329,156.311767578,1458330165.55,1458330165.62,1458330165.62
16,193,122,223,92,19,1,170.202270508,156.261962891,1458330165.66,1458330165.76,1458330165.76
17,192,122,222,92,20,1,170.271652222,156.308364868,1458330165.84,1458330166.01,1458330166.01
18,192,123,222,93,21,1,170.309158325,156.2762146,1458330166.1,1458330166.13,1458330166.13
19,191,123,221,93,22,1,170.295623779,156.225509644,1458330166.18,1458330166.21,1458330166.21
20,191,123,220,94,23,1,170.283813477,156.173477173,1458330166.24,1458330166.3,1458330166.3
21,190,124,221,93,24,1,170.305084229,156.178359985,1458330166.33,1458330166.37,1458330166.37
22,191,123,221,93,25,1,170.317749023,156.222106934,1458330166.41,1458330166.46,1458330166.46
23,192,123,223,92,26,1,170.666564941,156.102981567,1458330166.49,1458330166.53,1458330166.53
24,197,124,233,88,27,1,176.559066772,154.298461914,1458330166.57,1458330166.64,1458330166.64
25,-1,-1,-1,-1,28,0,173.822723389,154.201324463,1458330166.75,1458330166.87,1458330166.87
26,-1,-1,-1,-1,29,0,206.402297974,152.072265625,1458330166.96,1458330166.98,1458330166.98
27,-1,-1,-1,-1,30,0,222.315567017,159.213363647,1458330167.01,1458330167.04,1458330167.04
28,-1,-1,-1,-1,31,0,219.471374512,158.524108887,1458330167.07,1458330167.14,1458330167.14
29,-1,-1,-1,-1,32,0,171.88458252,145.675109863,1458330167.21,1458330167.29,1458330167.29
30,201,115,217,99,33,1,138.680633545,157.607070923,1458330167.38,1458330167.48,1458330167.48
31,203,118,222,99,35,1,165.0,163.666671753,1458330167.51,1458330167.68,1458330167.68
32,204,119,226,97,36,1,166.956848145,162.589187622,1458330167.72,1458330167.75,1458330167.75
33,204,118,225,97,37,1,166.885528564,162.42175293,1458330167.8,1458330167.82,1458330167.82
34,201,119,223,97,38,1,166.599685669,162.221237183,1458330167.86,1458330167.9,1458330167.9
35,202,118,223,97,39,1,166.496841431,162.116500854,1458330167.93,1458330167.98,1458330167.98
36,202,119,223,98,40,1,166.495346069,162.13130188,1458330168.02,1458330168.04,1458330168.04
37,202,119,223,98,41,1,166.453292847,162.092437744,1458330168.07,1458330168.11,1458330168.11
38,201,119,222,98,42,1,166.407791138,161.944625854,1458330168.14,1458330168.18,1458330168.18
39,198,120,219,99,43,1,166.398971558,161.825866699,1458330168.21,1458330168.25,1458330168.25
40,199,120,220,99,44,1,166.399002075,161.791854858,1458330168.28,1458330168.32,1458330168.32
41,202,119,223,98,45,1,166.384353638,161.866668701,1458330168.38,1458330168.42,1458330168.42
42,198,120,220,98,46,1,166.265808105,161.684951782,1458330168.45,1458330168.49,1458330168.49
43,202,118,223,97,47,1,166.205108643,161.446670532,1458330168.53,1458330168.57,1458330168.57
44,203,117,225,95,48,1,166.830856323,161.13041687,1458330168.61,1458330168.66,1458330168.66
45,210,117,234,93,49,1,173.879043579,159.971282959,1458330168.71,1458330168.89,1458330168.89
46,-1,-1,-1,-1,50,0,184.724014282,164.581558228,1458330168.95,1458330169.01,1458330169.01
47,-1,-1,-1,-1,51,0,191.355697632,166.239990234,1458330169.11,1458330169.14,1458330169.14
48,-1,-1,-1,-1,52,0,191.835342407,165.610824585,1458330169.18,1458330169.21,1458330169.21
49,-1,-1,-1,-1,53,0,190.980819702,165.631729126,1458330169.24,1458330169.27,1458330169.27
50,-1,-1,-1,-1,54,0,187.281082153,165.222457886,1458330169.31,1458330169.35,1458330169.35
51,212,120,246,86,55,1,178.373672485,164.060760498,1458330169.4,1458330169.43,1458330169.43
52,216,125,250,91,56,1,175.879501343,160.933883667,1458330169.47,1458330169.52,1458330169.52
53,202,113,220,95,57,1,179.020675659,159.379745483,1458330169.55,1458330169.6,1458330169.6
54,194,113,205,102,59,1,157.0,159.699996948,1458330169.63,1458330169.83,1458330169.83
55,202,106,213,95,60,1,156.870513916,159.147079468,1458330169.88,1458330169.94,1458330169.94
56,201,107,213,95,61,1,157.484802246,158.927734375,1458330169.98,1458330170.01,1458330170.01
