x,y,z,time_diff
-0.424,5.174,7.468,23
-0.833,5.234,7.977,16
-0.412,5.255,7.829,23
-0.724,5.105,7.751,16
-0.586,5.472,7.81,23
-0.595,5.06,7.699,16
-0.79,5.35,8.136,23
-0.364,5.222,7.434,16
-0.824,5.217,7.948,23
-0.4,5.281,7.772,16
-0.721,5.081,7.813,23
-0.607,5.51,7.837,16
-0.531,5.088,7.729,23
-0.759,5.391,8.206,16
-0.469,5.191,7.432,23
-0.828,5.167,7.879,16
-0.407,5.35,7.844,23
-0.755,5.146,7.663,16
-0.569,5.498,7.708,24
-0.447,5.134,7.601,23
-0.807,5.405,8.301,16
-0.414,5.188,7.527,23
-0.793,5.217,7.782,16
-0.395,5.338,7.887,23
-0.764,5.107,7.746,16
-0.576,5.45,7.789,23
-0.528,5.136,7.696,16
-0.835,5.319,8.136,23
-0.378,5.198,7.41,16
-0.8,5.265,7.941,23
-0.424,5.288,7.851,16
-0.719,5.062,7.722,23
-0.54,5.481,7.772,16
-0.547,5.105,7.689,23
-0.826,5.36,8.134,16
-0.321,5.284,7.499,23
-0.762,5.329,7.81,16
-0.483,5.21,7.868,24
-0.752,5.131,7.763,15
-0.593,5.488,7.813,24
-0.612,5.01,7.684,15
-0.769,5.355,8.194,24
-0.402,5.174,7.489,15
-0.788,5.226,8.056,24
-0.402,5.219,7.844,15
-0.819,5.093,7.772,24
-0.628,5.438,7.618,23
-0.538,5.027,7.649,16
-0.828,5.462,8.12,23
-0.445,5.198,7.396,16
-0.759,5.281,7.891,23
-0.367,5.36,7.772,16
-0.766,5.096,7.775,23
-0.509,5.441,7.801,16
-0.569,5.112,7.687,23
-0.874,5.365,8.146,16
-0.409,5.136,7.439,24
-0.771,5.338,7.927,15
-0.359,5.315,7.729,24
-0.755,5.248,7.803,15
-0.55,5.35,7.934,24
-0.559,5.184,7.539,15
-0.769,5.384,7.915,24
-0.378,5.205,7.372,15
-0.805,5.343,7.989,24
-0.421,5.165,7.748,15
-0.762,5.307,7.715,24
-0.581,5.336,7.877,15
-0.683,5.226,7.765,24
-0.712,5.305,8.046,16
-0.355,5.422,7.42,23
-0.902,5.329,8.051,16
-0.362,5.405,7.596,23
-0.8,5.579,7.594,16
-0.45,5.381,7.67,23
-0.697,5.457,7.551,24
-0.707,5.357,7.922,15
-0.428,5.372,7.284,24
-0.869,5.391,8.006,15
-0.364,5.279,7.401,24
-0.85,5.548,7.565,15
-0.381,5.217,7.772,24
-0.707,5.557,7.641,15
-0.6,5.338,7.782,24
-0.507,5.441,7.515,15
-0.85,5.379,8.286,24
-0.402,5.346,7.446,15
-0.859,5.569,7.594,24
-0.426,5.179,7.696,16
-0.762,5.522,7.632,23
-0.593,5.257,7.844,16
-0.5,5.362,7.625,23
-0.909,5.191,8.148,16
-0.383,5.312,7.456,23
-0.828,5.484,7.737,16
-0.424,5.196,7.758,23
-0.747,5.462,7.613,16
-0.531,5.198,7.937,23
-0.467,5.419,7.537,16
-0.878,5.238,8.151,23
-0.378,5.338,7.506,16
-0.812,5.474,7.746,23
-0.4,5.193,7.66,24
-0.752,5.526,7.56,15
-0.626,5.188,7.944,24
-0.519,5.341,7.451,15
-0.859,5.274,8.151,24
-0.431,5.305,7.503,15
-0.935,5.426,7.81,24
-0.374,5.217,7.744,16
-0.755,5.545,7.541,23
-0.6,5.243,7.86,16
-0.54,5.403,7.582,23
-0.847,5.288,8.177,16
-0.39,5.391,7.458,23
-0.845,5.467,7.715,16
-0.307,5.253,7.772,23
-0.157,5.907,8.508,16
-0.536,5.286,8.098,23
-0.536,5.515,7.322,16
-0.902,5.267,8.02,23
-0.417,5.607,7.191,16
-0.857,5.486,7.744,23
-0.381,5.286,7.718,16
-0.833,5.555,7.66,23
-0.721,5.286,7.822,16
-3.256,4.579,7.339,23
-3.904,4.555,7.815,16
-1.409,5.181,7.603,24
0.356,6.11,8.07,23
1.049,5.686,8.334,16
1.875,6.102,7.118,23
2.153,5.71,7.989,16
-0.835,5.2,6.958,23
-0.786,5.512,8.229,16
-0.614,5.783,7.927,23
-0.093,5.567,7.851,16
-1.431,4.329,7.256,23
-1.626,5.084,7.71,16
-1.216,5.036,7.846,23
0.808,5.853,6.882,16
2.389,5.941,7.887,23
1.063,5.667,7.394,16
-0.443,5.355,8.125,23
-0.2,5.284,7.458,16
-0.459,5.622,8.108,23
-0.021,5.172,7.434,16
-0.486,5.748,7.872,24
-0.155,5.027,7.691,15
-0.352,5.676,7.739,24
-0.095,5.234,7.865,15
-0.271,5.426,7.444,24
-0.226,5.286,7.763,15
-0.071,5.367,7.515,24
-0.521,5.453,7.989,15
-0.048,5.115,7.289,24
-0.419,5.764,7.958,23
-0.071,4.981,7.558,16
-0.45,5.745,7.651,23
-0.088,5.191,7.922,16
-0.419,5.591,7.396,23
-0.164,5.25,7.827,16
-0.1,5.462,7.67,23
-0.45,5.412,7.937,16
-0.014,5.26,7.315,23
-0.44,5.736,8.22,16
-0.071,4.958,7.365,24
-0.443,5.807,7.727,15
-0.033,5.031,7.846,24
-0.402,5.736,7.258,15
-0.069,5.236,7.896,24
-0.305,5.584,7.368,15
-0.257,5.393,7.687,24
-0.159,5.395,7.532,15
-0.283,5.641,7.777,24
-0.093,5.172,7.311,15
-0.298,5.793,7.758,24
-0.29,5.029,7.194,15
-0.229,5.886,7.758,24
-0.224,5.286,7.441,16
-0.159,5.843,7.937,23
-0.252,5.55,7.72,16
-0.059,5.848,7.975,23
-0.374,5.574,7.439,23
-0.126,5.864,7.389,16
-0.431,5.4,7.708,24
-0.345,6.255,7.701,15
-0.219,5.693,7.456,24
-0.221,5.893,7.553,15
-0.155,6.305,7.077,24
