,ax,ay,az,gx,gy,gz,timestamp
0,,-2120,4338,-26,17,-12,1446686083058.0771
1,-14534,-1918,4352,-32,22,-5,1446686083160.541
2,-14430,-2064,4570,-28,2,-19,1446686083262.9038
3,-14678,-2138,4082,-27,19,-11,1446686083369.3472
4,-14454,-2050,4252,-28,13,-17,1446686083471.814
5,-14430,-2146,4352,-30,16,-19,1446686083573.995
6,-14538,-2152,4254,-27,15,-16,1446686083676.472
7,-14452,-2150,4370,-30,14,-15,1446686083778.9832
8,-14502,-2270,4188,-27,17,-17,1446686083885.4119
9,-14416,-2236,4162,-30,17,-18,1446686083987.8062
10,-14522,-2128,4244,-23,19,-10,1446686084090.158
11,-14412,-2170,4340,-27,15,-14,1446686084192.73
12,-14418,-2092,4292,-28,18,-14,1446686084295.117
13,-14330,-2170,4366,-29,12,-12,1446686084401.426
14,-14526,-2036,4216,-38,22,88,1446686084499.918
15,-14616,-1798,4268,-36,10,35,1446686084606.211
16,-14396,-1960,4392,-30,12,-19,1446686084708.6848
17,-14488,-1908,4264,-26,16,-10,1446686084811.142
18,-14672,-2254,3994,-71,-20,426,1446686084917.5151
19,-15224,192,4078,-224,-24,2147,1446686085019.9822
20,-14000,4164,3984,-366,-47,3229,1446686085122.508
21,-6258,7888,5484,-349,-186,2857,1446686085224.719
22,-7068,11954,6046,-271,-67,2613,1446686085331.27
23,-3478,13424,6102,-257,-84,2393,1446686085433.5999
24,-558,13988,6262,-145,-28,1878,1446686085535.9001
25,2366,14872,7038,-142,-5,1347,1446686085638.4612
26,1738,13368,7110,-12,15,-16,1446686085736.862
27,1530,13590,6738,-30,7,-12,1446686085839.059
28,1790,13766,6508,-20,10,-15,1446686085945.606
29,1948,13908,6434,-24,13,-14,1446686086048.0808
30,1968,13796,6464,-25,11,-11,1446686086150.416
31,1926,13760,6524,-23,13,-18,1446686086252.736
32,2016,13788,6430,-29,18,-15,1446686086355.0679
33,1954,13772,6304,49,20,-132,1446686086461.695
34,200,14982,6616,133,34,-949,1446686086563.969
35,-2202,14152,5692,235,103,-2485,1446686086670.6282
36,-5962,10048,5536,318,-7,-2910,1446686086773.0051
37,-10052,10866,4396,179,68,-2402,1446686086875.4421
38,-11206,6990,4892,182,68,-2073,1446686086977.705
39,-12816,6272,4582,151,64,-1703,1446686087084.099
40,-13460,3466,4736,134,31,-1616,1446686087186.713
41,-14690,740,4040,89,16,-1290,1446686087284.885
42,-14294,-1370,4478,38,17,-723,1446686087391.37
43,-15002,-1310,3912,-29,5,-7,1446686087493.713
44,-14200,-1342,4392,-33,9,33,1446686087596.146
45,-14566,-1526,4376,-27,8,-15,1446686087698.67
46,-14662,-1552,4144,-16,30,-4,1446686087800.951
47,-14048,-1374,4428,-27,10,-11,1446686087907.3948
48,-14742,-1246,4224,-27,11,-14,1446686088009.8528
49,-14624,-1272,4194,-27,17,-15,1446686088112.193
50,-14448,-1392,4276,-30,16,-15,1446686088214.7168
51,-14510,-1398,4340,-29,13,-14,1446686088317.061
52,-14556,-1364,4228,-28,14,-14,1446686088423.248
53,-14502,-1314,4260,-29,14,-15,1446686088526.0352
54,-14492,-1348,4272,-28,14,-16,1446686088628.185
55,-14484,-1396,4296,-28,15,-16,1446686088730.686
56,-14530,-1360,4244,-28,16,-17,1446686088834.34
57,-14564,-1390,4300,-28,17,-21,1446686088935.628
58,-14530,-1366,4290,-29,15,-15,1446686089041.907
59,-14574,-1370,4354,-27,15,-15,1446686089144.356
60,-14494,-1416,4288,-28,14,-14,1446686089246.736
61,-14538,-1386,4268,-28,15,-14,1446686089349.131
62,-14530,-1370,4258,-27,14,-15,1446686089451.3398
63,-14526,-1358,4208,-28,14,-14,1446686089553.916
64,-14552,-1376,4296,-28,16,-15,1446686089660.341
65,-14524,-1382,4214,-28,15,-15,1446686089762.813
66,-14500,-1362,4252,-27,14,-15,1446686089865.159
67,-14504,-1364,4240,-27,16,-15,1446686089967.541
68,-14462,-1380,4284,-29,16,-14,1446686090069.932
69,-14554,-1378,4270,-29,14,-14,1446686090176.281
70,-14538,-1366,4246,-28,14,-15,1446686090278.922
71,-14520,-1400,4252,-27,13,-15,1446686090381.247
72,-14488,-1360,4232,-28,14,-14,1446686090483.5342
73,-14522,-1390,4226,-29,14,-15,1446686090586.088
74,-14526,-1382,4230,-28,14,-14,1446686090688.445
75,-14498,-1378,4264,-28,14,-14,1446686090794.833
76,-14548,-1348,4314,-29,15,-15,1446686090897.31
77,-14526,-1370,4284,-29,14,-15,1446686090999.691
78,-14506,-1404,4258,-28,15,-14,1446686091102.0762
