,faceBottom,faceLeft,faceRight,faceTop,isFrontFace,noseX,noseY,time
0,158,114,237,35,1,174.7323455810547,105.24837493896484,1448658611.705314
1,156,116,237,35,1,174.893798828125,105.40939331054688,1448658611.760142
2,155,115,236,34,1,174.7701873779297,105.3204345703125,1448658611.824263
3,155,115,236,34,1,174.6708526611328,105.36035919189453,1448658611.872531
4,158,116,238,36,1,174.40696716308594,105.3940200805664,1448658611.923032
5,157,116,239,34,1,174.3245391845703,105.42385864257812,1448658611.977759
6,159,115,240,34,1,174.379150390625,106.29369354248047,1448658612.021215
7,158,113,238,33,1,174.54296875,106.91009521484375,1448658612.074292
8,158,113,238,33,1,174.8665008544922,107.44332122802734,1448658612.123754
9,161,112,242,31,1,174.9390106201172,107.5591049194336,1448658612.170688
10,159,112,237,34,1,174.972412109375,107.6217269897461,1448658612.238804
11,158,113,238,33,1,174.97938537597656,107.59896850585938,1448658612.289011
12,-1,-1,-1,-1,0,175.07232666015625,107.51248168945312,1448658612.343204
13,162,111,241,32,1,175.1417694091797,107.49555206298828,1448658612.388908
14,162,112,242,32,1,175.24462890625,107.54361724853516,1448658612.43956
15,159,115,240,34,1,175.3182373046875,107.67041015625,1448658612.489315
16,161,109,239,31,1,175.3271026611328,107.71890258789062,1448658612.538861
17,161,112,242,31,1,175.2484130859375,107.75179290771484,1448658612.589733
18,161,109,239,31,1,175.230712890625,107.74884796142578,1448658612.644638
19,158,113,238,33,1,175.2248992919922,107.77969360351562,1448658612.688291
20,164,109,243,30,1,175.2723846435547,107.70941925048828,1448658612.740209
21,158,113,238,33,1,175.29249572753906,107.76248168945312,1448658612.790774
22,155,117,235,37,1,175.27301025390625,107.8402099609375,1448658612.840675
23,155,117,235,37,1,175.26495361328125,107.9115982055664,1448658612.889113
24,156,118,236,38,1,175.2975311279297,108.03446197509766,1448658612.939367
25,160,114,242,32,1,175.28419494628906,108.16903686523438,1448658612.989489
26,161,112,242,31,1,175.25518798828125,108.31714630126953,1448658613.03932
27,161,112,242,31,1,175.25054931640625,108.31761932373047,1448658613.08977
28,161,112,242,31,1,175.2393798828125,108.3475112915039,1448658613.139081
29,158,115,238,35,1,175.24681091308594,108.31864166259766,1448658613.187736
30,159,115,240,34,1,175.19276428222656,108.38988494873047,1448658613.239266
31,162,111,241,32,1,175.1637725830078,108.42705535888672,1448658613.29053
32,159,115,240,34,1,175.1357421875,108.4977035522461,1448658613.340146
33,159,115,240,34,1,175.0869598388672,108.5399169921875,1448658613.388907
34,159,115,240,34,1,175.03504943847656,108.52156829833984,1448658613.439939
35,159,115,240,34,1,174.96636962890625,108.47042083740234,1448658613.489491
36,159,115,240,34,1,174.9444122314453,108.4404525756836,1448658613.539199
37,-1,-1,-1,-1,0,174.9235076904297,108.44377899169922,1448658613.597297
38,160,113,238,35,1,174.9039306640625,108.4531021118164,1448658613.643471
39,159,115,240,34,1,174.8432159423828,108.44064331054688,1448658613.68879
40,156,118,236,38,1,174.777587890625,108.39571380615234,1448658613.739853
41,156,118,236,38,1,174.6546630859375,108.343994140625,1448658613.789918
42,156,115,238,33,1,174.5322265625,108.28052520751953,1448658613.844354
43,161,109,239,31,1,174.3899383544922,108.23633575439453,1448658613.89077
44,161,111,239,33,1,174.08970642089844,108.26470184326172,1448658613.964689
45,161,111,240,32,1,174.00250244140625,108.29852294921875,1448658614.029951
46,160,112,238,34,1,174.04405212402344,108.3307876586914,1448658614.073497
47,161,111,239,33,1,174.14292907714844,108.33162689208984,1448658614.124695
48,161,111,240,32,1,174.2662353515625,108.34270477294922,1448658614.174515
49,161,111,237,35,1,174.3717498779297,108.3392333984375,1448658614.224835
50,160,112,240,32,1,174.4894561767578,108.33865356445312,1448658614.273218
51,160,112,240,32,1,174.6894073486328,108.38782501220703,1448658614.324645
52,159,114,237,36,1,174.77748107910156,108.43058013916016,1448658614.376143
53,157,114,235,36,1,174.84742736816406,108.4791259765625,1448658614.424196
54,159,112,238,33,1,174.90464782714844,108.53057861328125,1448658614.478032
55,157,114,235,36,1,174.8614501953125,108.48511505126953,1448658614.541152
56,157,114,235,36,1,174.7456817626953,108.48761749267578,1448658614.591474
57,152,117,230,39,1,173.81996154785156,108.45658111572266,1448658614.691953
58,151,114,224,41,1,168.53944396972656,108.29251098632812,1448658614.772651
59,156,106,224,38,1,164.61892700195312,108.72113037109375,1448658614.848539
60,156,106,224,38,1,162.66636657714844,108.97429656982422,1448658614.91429
61,153,110,222,41,1,162.5012969970703,109.06810760498047,1448658614.957069
62,160,103,228,35,1,162.7269287109375,109.07523345947266,1448658615.007369
63,160,102,228,34,1,163.37229919433594,109.08966064453125,1448658615.058572
64,157,104,225,36,1,164.2704620361328,109.07025146484375,1448658615.106044
65,151,112,224,39,1,166.6302947998047,109.058837890625,1448658615.158252
66,153,113,225,41,1,167.6209259033203,109.1412353515625,1448658615.214168
67,152,112,225,39,1,168.7083282470703,109.27581787109375,1448658615.27487
68,161,107,235,33,1,172.3878936767578,109.5644760131836,1448658615.324202
69,156,115,231,40,1,174.9666290283203,109.63201141357422,1448658615.373409
70,155,116,233,38,1,178.02598571777344,109.7156753540039,1448658615.424679
71,164,114,243,35,1,180.73936462402344,109.68433380126953,1448658615.474719
72,162,116,242,36,1,182.83782958984375,109.76244354248047,1448658615.52419
73,166,116,245,37,1,184.31536865234375,110.23694610595703,1448658615.575512
