faceBottom,faceBottom_0,faceBottom_1,faceBottom_2,faceBottom_3,faceBottom_4,faceBottom_5,faceBottom_6,faceBottom_7,faceBottom_8,faceBottom_9,faceLeft,faceLeft_0,faceLeft_1,faceLeft_2,faceLeft_3,faceLeft_4,faceLeft_5,faceLeft_6,faceLeft_7,faceLeft_8,faceLeft_9,faceRight,faceRight_0,faceRight_1,faceRight_2,faceRight_3,faceRight_4,faceRight_5,faceRight_6,faceRight_7,faceRight_8,faceRight_9,faceTop,faceTop_0,faceTop_1,faceTop_2,faceTop_3,faceTop_4,faceTop_5,faceTop_6,faceTop_7,faceTop_8,faceTop_9,isFrontFace,isFrontFace_0,isFrontFace_1,isFrontFace_2,isFrontFace_3,isFrontFace_4,isFrontFace_5,isFrontFace_6,isFrontFace_7,isFrontFace_8,isFrontFace_9,noseX,noseX_0,noseX_1,noseX_2,noseX_3,noseX_4,noseX_5,noseX_6,noseX_7,noseX_8,noseX_9,noseX_raw,noseY,noseY_0,noseY_1,noseY_2,noseY_3,noseY_4,noseY_5,noseY_6,noseY_7,noseY_8,noseY_9,time,class
185.0,185.0,185.0,184.0,186.0,184.0,184.0,184.0,189.0,187.0,187.0,110.0,110.0,111.0,112.0,111.0,111.0,112.0,112.0,109.0,111.0,110.0,216.0,216.0,217.0,218.0,219.0,217.0,218.0,218.0,221.0,220.0,220.0,79.0,79.0,79.0,78.0,78.0,78.0,78.0,78.0,77.0,78.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,155.46990966796875,155.46990966796875,155.86122131347656,156.23927307128906,156.38739013671875,156.4192657470703,156.42852783203125,156.447509765625,156.51333618164062,156.61610412597656,157.00184631347656,155.46990966796875,138.44575500488278,138.44575500488278,138.61090087890622,138.61497497558594,138.60614013671878,138.58432006835938,138.59515380859378,138.65220642089844,138.90458679199222,139.01309204101562,139.18670654296878,1448678788.42854,0
185.0,185.0,184.0,186.0,184.0,184.0,184.0,189.0,187.0,187.0,186.0,111.0,111.0,112.0,111.0,111.0,112.0,112.0,109.0,111.0,110.0,111.0,217.0,217.0,218.0,219.0,217.0,218.0,218.0,221.0,220.0,220.0,221.0,79.0,79.0,78.0,78.0,78.0,78.0,78.0,77.0,78.0,77.0,76.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,155.86122131347656,155.86122131347656,156.23927307128906,156.38739013671875,156.4192657470703,156.42852783203125,156.447509765625,156.51333618164062,156.61610412597656,157.00184631347656,157.26394653320312,155.86122131347656,138.61090087890622,138.61090087890622,138.61497497558594,138.60614013671878,138.58432006835938,138.59515380859378,138.65220642089844,138.90458679199222,139.01309204101562,139.18670654296878,139.29364013671878,1448678788.4873712,0
184.0,184.0,186.0,184.0,184.0,184.0,189.0,187.0,187.0,186.0,184.0,112.0,112.0,111.0,111.0,112.0,112.0,109.0,111.0,110.0,111.0,113.0,218.0,218.0,219.0,217.0,218.0,218.0,221.0,220.0,220.0,221.0,219.0,78.0,78.0,78.0,78.0,78.0,78.0,77.0,78.0,77.0,76.0,78.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,156.23927307128906,156.23927307128906,156.38739013671875,156.4192657470703,156.42852783203125,156.447509765625,156.51333618164062,156.61610412597656,157.00184631347656,157.26394653320312,157.55462646484375,156.23927307128906,138.61497497558594,138.61497497558594,138.60614013671878,138.58432006835938,138.59515380859378,138.65220642089844,138.90458679199222,139.01309204101562,139.18670654296878,139.29364013671878,139.3525390625,1448678788.5439632,0
186.0,186.0,184.0,184.0,184.0,189.0,187.0,187.0,186.0,184.0,186.0,111.0,111.0,111.0,112.0,112.0,109.0,111.0,110.0,111.0,113.0,113.0,219.0,219.0,217.0,218.0,218.0,221.0,220.0,220.0,221.0,219.0,222.0,78.0,78.0,78.0,78.0,78.0,77.0,78.0,77.0,76.0,78.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,156.38739013671875,156.38739013671875,156.4192657470703,156.42852783203125,156.447509765625,156.51333618164062,156.61610412597656,157.00184631347656,157.26394653320312,157.55462646484375,157.57550048828125,156.38739013671875,138.60614013671878,138.60614013671878,138.58432006835938,138.59515380859378,138.65220642089844,138.90458679199222,139.01309204101562,139.18670654296878,139.29364013671878,139.3525390625,139.294921875,1448678788.607017,0
184.0,184.0,184.0,184.0,189.0,187.0,187.0,186.0,184.0,186.0,186.0,111.0,111.0,112.0,112.0,109.0,111.0,110.0,111.0,113.0,113.0,111.0,217.0,217.0,218.0,218.0,221.0,220.0,220.0,221.0,219.0,222.0,221.0,78.0,78.0,78.0,78.0,77.0,78.0,77.0,76.0,78.0,77.0,76.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,156.4192657470703,156.4192657470703,156.42852783203125,156.447509765625,156.51333618164062,156.61610412597656,157.00184631347656,157.26394653320312,157.55462646484375,157.57550048828125,157.3392791748047,156.4192657470703,138.58432006835938,138.58432006835938,138.59515380859378,138.65220642089844,138.90458679199222,139.01309204101562,139.18670654296878,139.29364013671878,139.3525390625,139.294921875,139.08787536621094,1448678788.664798,0
184.0,184.0,184.0,189.0,187.0,187.0,186.0,184.0,186.0,186.0,187.0,112.0,112.0,112.0,109.0,111.0,110.0,111.0,113.0,113.0,111.0,110.0,218.0,218.0,218.0,221.0,220.0,220.0,221.0,219.0,222.0,221.0,220.0,78.0,78.0,78.0,77.0,78.0,77.0,76.0,78.0,77.0,76.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,156.42852783203125,156.42852783203125,156.447509765625,156.51333618164062,156.61610412597656,157.00184631347656,157.26394653320312,157.55462646484375,157.57550048828125,157.3392791748047,156.9737091064453,156.42852783203125,138.59515380859378,138.59515380859378,138.65220642089844,138.90458679199222,139.01309204101562,139.18670654296878,139.29364013671878,139.3525390625,139.294921875,139.08787536621094,139.07077026367188,1448678788.712714,0
184.0,184.0,189.0,187.0,187.0,186.0,184.0,186.0,186.0,187.0,183.0,112.0,112.0,109.0,111.0,110.0,111.0,113.0,113.0,111.0,110.0,113.0,218.0,218.0,221.0,220.0,220.0,221.0,219.0,222.0,221.0,220.0,217.0,78.0,78.0,77.0,78.0,77.0,76.0,78.0,77.0,76.0,77.0,79.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,156.447509765625,156.447509765625,156.51333618164062,156.61610412597656,157.00184631347656,157.26394653320312,157.55462646484375,157.57550048828125,157.3392791748047,156.9737091064453,156.85353088378906,156.447509765625,138.65220642089844,138.65220642089844,138.90458679199222,139.01309204101562,139.18670654296878,139.29364013671878,139.3525390625,139.294921875,139.08787536621094,139.07077026367188,139.11331176757812,1448678788.764495,0
189.0,189.0,187.0,187.0,186.0,184.0,186.0,186.0,187.0,183.0,185.0,109.0,109.0,111.0,110.0,111.0,113.0,113.0,111.0,110.0,113.0,112.0,221.0,221.0,220.0,220.0,221.0,219.0,222.0,221.0,220.0,217.0,219.0,77.0,77.0,78.0,77.0,76.0,78.0,77.0,76.0,77.0,79.0,78.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,156.51333618164062,156.51333618164062,156.61610412597656,157.00184631347656,157.26394653320312,157.55462646484375,157.57550048828125,157.3392791748047,156.9737091064453,156.85353088378906,156.6837158203125,156.51333618164062,138.90458679199222,138.90458679199222,139.01309204101562,139.18670654296878,139.29364013671878,139.3525390625,139.294921875,139.08787536621094,139.07077026367188,139.11331176757812,139.18341064453122,1448678788.814808,0
187.0,187.0,187.0,186.0,184.0,186.0,186.0,187.0,183.0,185.0,186.0,111.0,111.0,110.0,111.0,113.0,113.0,111.0,110.0,113.0,112.0,111.0,220.0,220.0,220.0,221.0,219.0,222.0,221.0,220.0,217.0,219.0,220.0,78.0,78.0,77.0,76.0,78.0,77.0,76.0,77.0,79.0,78.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,156.61610412597656,156.61610412597656,157.00184631347656,157.26394653320312,157.55462646484375,157.57550048828125,157.3392791748047,156.9737091064453,156.85353088378906,156.6837158203125,156.56117248535156,156.61610412597656,139.01309204101562,139.01309204101562,139.18670654296878,139.29364013671878,139.3525390625,139.294921875,139.08787536621094,139.07077026367188,139.11331176757812,139.18341064453122,139.36534118652344,1448678788.864738,0
187.0,187.0,186.0,184.0,186.0,186.0,187.0,183.0,185.0,186.0,187.0,110.0,110.0,111.0,113.0,113.0,111.0,110.0,113.0,112.0,111.0,110.0,220.0,220.0,221.0,219.0,222.0,221.0,220.0,217.0,219.0,220.0,221.0,77.0,77.0,76.0,78.0,77.0,76.0,77.0,79.0,78.0,77.0,76.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,157.00184631347656,157.00184631347656,157.26394653320312,157.55462646484375,157.57550048828125,157.3392791748047,156.9737091064453,156.85353088378906,156.6837158203125,156.56117248535156,156.52490234375,157.00184631347656,139.18670654296878,139.18670654296878,139.29364013671878,139.3525390625,139.294921875,139.08787536621094,139.07077026367188,139.11331176757812,139.18341064453122,139.36534118652344,139.46087646484378,1448678788.914803,0
