,ax,ay,az,gx,gy,gz,time_diff,timestamp_x,gz_raw,theta,faceBottom,faceLeft,faceRight,faceTop,isFrontFace,noseX,noseY,time,timestamp_y
0,,,,-29.0,16.0,0.0268292682927,0.359419107437,1449015463.69,-15.0,0.00482147583147,128,109,225,12,1,164.428573608,100.0,1449015463.5,1449015463.91
1,-13192.0,768.0,7462.0,-27.0,16.0,0.0268292682927,0.106635093689,1449015463.8,-14.0,0.00768241736947,128,109,225,12,1,164.428573608,100.0,1449015463.5,1449015463.91
2,-13368.0,756.0,7456.0,-29.0,16.0,0.0878048780488,0.111820936203,1449015463.91,-15.0,0.0140916661518,128,109,225,12,1,164.428573608,100.0,1449015463.5,1449015463.91
3,-13192.0,768.0,7462.0,-27.0,16.0,0.0268292682927,0.10991692543,1449015464.02,-14.0,0.0203917826094,131,114,235,10,1,172.506896973,96.6759109497,1449015464.01,1449015464.04
4,-13180.0,750.0,7354.0,-31.0,16.0,-0.0341463414634,1.8164999485,1449015465.83,-17.0,0.0137460510905,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
5,-13350.0,776.0,7288.0,-28.0,19.0,-0.0341463414634,0.113174200058,1449015465.95,-16.0,0.00988156621049,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
6,-13118.0,666.0,7448.0,-27.0,15.0,0.0268292682927,0.112142801285,1449015466.06,-12.0,0.00947128766921,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
7,-13374.0,666.0,7456.0,-28.0,16.0,0.0268292682927,0.104416131973,1449015466.16,-15.0,0.012272696088,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
8,-13218.0,830.0,7568.0,-28.0,17.0,0.0268292682927,0.101378917694,1449015466.26,-15.0,0.01499261827,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
9,-13318.0,794.0,7372.0,-28.0,12.0,0.0268292682927,0.106621980667,1449015466.37,-14.0,0.0178532079953,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
10,-13330.0,708.0,7504.0,-29.0,13.0,0.0878048780488,0.103135108948,1449015466.47,-15.0,0.0237646105813,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
11,-13256.0,790.0,7430.0,-29.0,16.0,0.0878048780488,0.103021860123,1449015466.58,-14.0,0.0328104324457,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
12,-13186.0,714.0,7456.0,-28.0,13.0,0.0878048780488,0.104429006577,1449015466.68,-13.0,0.0419798086329,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
13,-13324.0,768.0,7492.0,-28.0,15.0,-0.0341463414634,0.110593080521,1449015466.79,-16.0,0.0449469400615,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
14,-13288.0,748.0,7448.0,-28.0,15.0,-0.0341463414634,0.102766036987,1449015466.9,-17.0,0.0414378558717,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
15,-13190.0,732.0,7548.0,-29.0,13.0,0.0268292682927,0.104650020599,1449015467.0,-15.0,0.0410549899427,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
16,-13444.0,762.0,7408.0,-28.0,16.0,0.0878048780488,0.101327896118,1449015467.1,-14.0,0.0468628083787,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
17,-13164.0,756.0,7430.0,-30.0,15.0,0.0878048780488,0.104211091995,1449015467.21,-14.0,0.0560130506027,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
18,-13558.0,970.0,7290.0,-23.0,11.0,0.0878048780488,0.116425991058,1449015467.32,-12.0,0.0662358205493,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
19,-13192.0,852.0,7570.0,-29.0,10.0,0.0268292682927,0.119482040405,1449015467.44,-16.0,0.0730841814018,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
20,-13290.0,726.0,7460.0,-28.0,17.0,0.0268292682927,0.104519844055,1449015467.55,-15.0,0.0758883723399,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
21,-13182.0,778.0,7416.0,-27.0,11.0,0.0268292682927,0.107403039932,1449015467.65,-14.0,0.0787699173136,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
22,-13194.0,850.0,7568.0,-29.0,14.0,0.0268292682927,0.110742092133,1449015467.76,-15.0,0.0817410466148,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
23,-13266.0,828.0,7432.0,-27.0,16.0,0.0268292682927,0.102208852768,1449015467.87,-15.0,0.0844832353476,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
24,-13286.0,766.0,7350.0,-30.0,14.0,0.0268292682927,0.102230072021,1449015467.97,-17.0,0.0872259933774,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
25,-13550.0,798.0,7386.0,-28.0,20.0,-0.0951219512195,0.10480594635,1449015468.07,-13.0,0.0836472537459,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
26,-13276.0,816.0,7392.0,-25.0,12.0,0.0878048780488,0.10511302948,1449015468.18,-17.0,0.083262693882,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
27,-13200.0,762.0,7538.0,-29.0,11.0,0.0878048780488,0.104978084564,1449015468.28,-14.0,0.0924802817949,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
28,-13238.0,800.0,7478.0,-24.0,17.0,0.0878048780488,0.111229896545,1449015468.39,-14.0,0.102246809296,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
29,-13298.0,782.0,7542.0,-30.0,14.0,0.0878048780488,0.104907035828,1449015468.5,-14.0,0.111458158784,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
30,-13274.0,716.0,7458.0,-27.0,14.0,0.0878048780488,0.111436128616,1449015468.61,-15.0,0.121242794467,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
31,-13290.0,756.0,7528.0,-28.0,14.0,0.0268292682927,0.111968994141,1449015468.72,-13.0,0.127660529497,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
32,-13284.0,706.0,7530.0,-28.0,18.0,0.0268292682927,0.103326797485,1449015468.83,-15.0,0.130432711869,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
33,-13198.0,784.0,7498.0,-28.0,12.0,0.0268292682927,0.105032205582,1449015468.93,-17.0,0.133250649092,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
34,-13328.0,762.0,7490.0,-27.0,16.0,0.0268292682927,0.105796813965,1449015469.04,-13.0,0.136089100198,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
35,-13268.0,708.0,7472.0,-30.0,15.0,0.0268292682927,0.103416204453,1449015469.14,-15.0,0.138863681293,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
36,-13198.0,690.0,7530.0,-29.0,13.0,0.0268292682927,0.10791683197,1449015469.25,-16.0,0.141759010931,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
37,-13246.0,782.0,7386.0,-26.0,14.0,0.0268292682927,0.10332608223,1449015469.35,-15.0,0.144531174113,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
38,-13298.0,740.0,7488.0,-29.0,15.0,0.0268292682927,0.106287956238,1449015469.46,-15.0,0.147382802207,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
39,-13268.0,724.0,7540.0,-29.0,15.0,0.0268292682927,0.10352897644,1449015469.56,-16.0,0.150160408892,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
40,-13280.0,732.0,7510.0,-28.0,15.0,0.0268292682927,0.101068973541,1449015469.66,-15.0,0.152872015499,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
41,-13316.0,754.0,7462.0,-28.0,17.0,0.0268292682927,0.106353998184,1449015469.77,-15.0,0.155725415451,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
