,Unnamed: 0,faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp_x,ax,ay,az,gx,gy,gz,time_diff,timestamp_y,gz_raw,theta
60,60,105,130,205,30,113,1,163.189422607,69.6269226074,1457569188.83,1457569188.86,-13280.0,1258.0,7236.0,-13.0,12.0,17.8317073171,0.105391025543,1457569188.81,277.0,-0.247191683548
61,61,106,128,204,30,114,1,163.298736572,69.6793441772,1457569188.91,1457569188.95,-13152.0,1822.0,7320.0,-14.0,11.0,17.8317073171,0.104017019272,1457569188.92,285.0,1.6076093601
62,62,106,129,205,30,115,1,163.335906982,69.6615371704,1457569189.01,1457569189.05,-13178.0,2368.0,7290.0,-16.0,17.0,15.6365853659,0.104756116867,1457569189.02,241.0,3.36061354992
63,63,105,130,204,31,116,1,163.440383911,69.6909790039,1457569189.11,1457569189.15,-13122.0,2840.0,7254.0,-18.0,20.0,10.6975609756,0.0988519191742,1457569189.12,160.0,4.66220400275
64,64,105,129,205,29,117,1,163.594680786,69.6541213989,1457569189.22,1457569189.25,-13100.0,3014.0,7268.0,-24.0,12.0,6.79512195122,0.103132963181,1457569189.22,96.0,5.56424011486
65,65,105,130,206,29,118,1,163.706283569,69.5577926636,1457569189.32,1457569189.35,-13064.0,2966.0,7244.0,-23.0,19.0,5.88048780488,0.102082014084,1457569189.33,81.0,6.21121600169
66,66,104,130,204,30,119,1,163.808151245,69.5862197876,1457569189.4,1457569189.43,-12998.0,3242.0,7276.0,-24.0,15.0,4.53902439024,0.106596946716,1457569189.43,59.0,6.76656009482
67,67,105,130,206,29,120,1,163.915481567,69.594871521,1457569189.47,1457569189.5,-13006.0,3276.0,7288.0,-28.0,18.0,2.03902439024,0.101519107819,1457569189.53,-4.0,7.10045891651
68,68,105,129,204,30,121,1,163.922622681,69.5988006592,1457569189.54,1457569189.56,-13006.0,3276.0,7288.0,-28.0,18.0,2.03902439024,0.101519107819,1457569189.53,-4.0,7.10045891651
69,69,106,129,206,29,122,1,163.896224976,69.6625747681,1457569189.62,1457569189.65,-13020.0,3122.0,7228.0,-26.0,17.0,2.03902439024,0.10265994072,1457569189.64,18.0,7.30978503954
70,70,104,130,204,30,123,1,163.763031006,69.6635971069,1457569189.7,1457569189.73,-12876.0,3332.0,7310.0,-24.0,16.0,2.03902439024,0.102729082108,1457569189.74,68.0,7.51925214355
71,71,104,130,204,30,124,1,163.547286987,69.6327514648,1457569189.77,1457569189.8,-12916.0,3444.0,7284.0,-29.0,15.0,-0.0951219512195,0.103613853455,1457569189.84,-21.0,7.61995975477
72,72,105,129,205,29,125,1,163.349868774,69.5819091797,1457569189.84,1457569189.87,-12916.0,3444.0,7284.0,-29.0,15.0,-0.0951219512195,0.103613853455,1457569189.84,-21.0,7.61995975477
73,73,105,129,204,30,126,1,163.27986145,69.5931549072,1457569189.93,1457569189.95,-12956.0,3434.0,7248.0,-31.0,15.0,-0.0951219512195,0.106599092484,1457569189.95,-17.0,7.60981984109
74,74,104,131,204,31,127,1,163.1769104,69.59425354,1457569189.99,1457569190.02,-12914.0,3438.0,7310.0,-29.0,17.0,-0.0341463414634,0.101275920868,1457569190.05,-16.0,7.6032739584
75,75,105,128,204,29,128,1,163.167938232,69.6233901978,1457569190.06,1457569190.09,-12914.0,3438.0,7310.0,-29.0,17.0,-0.0341463414634,0.101275920868,1457569190.05,-16.0,7.6032739584
76,76,104,128,204,28,129,1,163.167724609,69.5854415894,1457569190.14,1457569190.16,-12888.0,3416.0,7298.0,-28.0,17.0,-0.0341463414634,0.102416038513,1457569190.15,-16.0,7.59977682538
77,77,107,128,206,29,130,1,163.218338013,69.5127563477,1457569190.21,1457569190.24,-12900.0,3428.0,7258.0,-29.0,16.0,-0.0341463414634,0.10226893425,1457569190.26,-16.0,7.59628471543
78,78,104,131,204,31,131,1,163.241577148,69.5124664307,1457569190.29,1457569190.31,-12900.0,3428.0,7258.0,-29.0,16.0,-0.0341463414634,0.10226893425,1457569190.26,-16.0,7.59628471543
79,79,104,130,203,31,132,1,163.332641602,69.5978012085,1457569190.36,1457569190.39,-12938.0,3400.0,7204.0,-29.0,15.0,-0.156097560976,0.105090141296,1457569190.36,-18.0,7.58628833614
80,80,104,130,203,31,133,1,163.43862915,69.5401153564,1457569190.44,1457569190.47,-12936.0,3390.0,7296.0,-29.0,15.0,-0.156097560976,0.0992829799652,1457569190.46,-19.0,7.57079050512
81,81,104,131,204,31,134,1,163.460113525,69.4771270752,1457569190.52,1457569190.54,-12966.0,3452.0,7214.0,-28.0,17.0,-0.217073170732,0.108290910721,1457569190.57,-17.0,7.55058500592
82,82,105,130,206,29,135,1,163.472930908,69.4814529419,1457569190.59,1457569190.62,-12966.0,3452.0,7214.0,-28.0,17.0,-0.217073170732,0.108290910721,1457569190.57,-17.0,7.55058500592
83,83,104,130,205,29,136,1,163.614181519,69.4473724365,1457569190.67,1457569190.69,-12900.0,3442.0,7290.0,-30.0,17.0,-0.156097560976,0.10051202774,1457569190.67,-19.0,7.53183093245
84,84,105,130,205,30,137,1,163.671768188,69.4112091064,1457569190.75,1457569190.77,-12972.0,3402.0,7308.0,-29.0,15.0,-0.156097560976,0.102141141891,1457569190.77,-18.0,7.51588694933
85,85,106,130,206,30,138,1,163.705078125,69.4697341919,1457569190.82,1457569190.85,-12982.0,3442.0,7306.0,-29.0,14.0,-0.156097560976,0.103735923767,1457569190.88,-17.0,7.49969402464
86,86,105,129,205,29,139,1,163.77482605,69.5411148071,1457569190.9,1457569190.94,-12926.0,3412.0,7264.0,-29.0,16.0,-0.156097560976,0.102124929428,1457569190.98,-18.0,7.48375257225
87,87,105,130,206,29,140,1,163.797210693,69.477684021,1457569191.0,1457569191.03,-12926.0,3412.0,7264.0,-29.0,16.0,-0.156097560976,0.102124929428,1457569190.98,-18.0,7.48375257225
88,88,105,129,205,29,141,1,163.726516724,69.4468383789,1457569191.09,1457569191.12,-12952.0,3414.0,7204.0,-30.0,18.0,-0.156097560976,0.101216077805,1457569191.08,-18.0,7.46795298937
89,89,103,131,202,32,142,1,163.573486328,69.607925415,1457569191.18,1457569191.21,-12950.0,3434.0,7300.0,-29.0,15.0,-0.156097560976,0.107073068619,1457569191.19,-20.0,7.45123914451
90,90,103,131,202,32,143,1,163.497375488,69.5536346436,1457569191.26,1457569191.29,-12896.0,3346.0,7352.0,-31.0,16.0,-0.156097560976,0.101845979691,1457569191.29,-18.0,7.43534123549
91,91,107,127,208,26,144,1,163.3256073,69.3257827759,1457569191.34,1457569191.36,-12936.0,3426.0,7270.0,-30.0,18.0,-0.156097560976,0.102560997009,1457569191.39,-17.0,7.419331714
92,92,105,130,206,29,145,1,163.289916992,69.2541732788,1457569191.41,1457569191.43,-12936.0,3426.0,7270.0,-30.0,18.0,-0.156097560976,0.102560997009,1457569191.39,-17.0,7.419331714
93,93,104,129,205,28,146,1,163.161956787,69.2274017334,1457569191.48,1457569191.5,-12968.0,3432.0,7244.0,-30.0,18.0,-0.0951219512195,0.104861021042,1457569191.49,-18.0,7.40616014672
94,94,104,129,205,28,147,1,163.104614258,69.2441482544,1457569191.55,1457569191.57,-12894.0,3436.0,7236.0,-29.0,17.0,-0.156097560976,0.103652954102,1457569191.6,-17.0,7.39314032444
95,95,104,129,205,28,148,1,162.919128418,69.1842346191,1457569191.62,1457569191.65,-12894.0,3436.0,7236.0,-29.0,17.0,-0.156097560976,0.103652954102,1457569191.6,-17.0,7.39314032444
96,96,105,128,204,29,149,1,162.858062744,69.1864395142,1457569191.7,1457569191.72,-12938.0,3398.0,7304.0,-29.0,16.0,-0.156097560976,0.107286930084,1457569191.71,-18.0,7.37639309633
97,97,104,130,205,29,150,1,162.754165649,69.0999679565,1457569191.78,1457569191.8,-12914.0,3400.0,7258.0,-29.0,14.0,-0.278048780488,0.10089802742,1457569191.81,-20.0,7.3544908416
