faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp
137,129,213,53,3,1,172.0,104.199996948,1457566861.17,1457566861.35
132,135,209,58,4,1,173.768341064,104.600585938,1457566861.39,1457566861.42
135,136,210,61,5,1,175.21963501,105.783409119,1457566861.46,1457566861.49
136,139,212,63,6,1,175.954925537,107.020950317,1457566861.53,1457566861.55
135,140,209,66,7,1,176.249053955,107.943580627,1457566861.59,1457566861.62
134,141,208,67,8,1,176.287139893,108.080444336,1457566861.67,1457566861.7
132,142,206,68,9,1,175.672134399,107.436340332,1457566861.76,1457566861.79
131,142,205,68,10,1,175.246871948,107.437988281,1457566861.85,1457566861.89
131,141,204,68,11,1,174.448669434,106.977218628,1457566861.93,1457566861.96
130,138,202,66,12,1,172.153533936,105.466064453,1457566862.01,1457566862.03
129,137,201,65,13,1,171.31539917,104.935585022,1457566862.07,1457566862.09
129,137,201,65,14,1,170.813140869,104.762168884,1457566862.13,1457566862.15
129,136,201,64,15,1,170.609909058,104.650558472,1457566862.2,1457566862.22
128,136,200,64,16,1,170.595214844,104.504066467,1457566862.26,1457566862.3
129,136,201,64,17,1,170.950286865,104.520202637,1457566862.34,1457566862.37
129,136,202,63,18,1,171.549682617,104.661354065,1457566862.45,1457566862.48
130,136,203,63,19,1,172.084869385,104.909805298,1457566862.53,1457566862.56
132,136,204,64,20,1,172.554229736,105.32472229,1457566862.62,1457566862.66
132,136,204,64,21,1,172.556427002,105.56098938,1457566862.72,1457566862.76
133,136,204,65,22,1,172.535339355,106.116477966,1457566862.81,1457566862.83
131,137,204,64,23,1,172.387435913,105.589393616,1457566862.89,1457566862.93
130,137,204,63,24,1,172.286849976,105.29549408,1457566862.99,1457566863.02
130,137,202,65,25,1,172.242340088,105.406578064,1457566863.07,1457566863.1
130,138,203,65,26,1,172.153701782,105.325759888,1457566863.14,1457566863.16
130,138,203,65,27,1,172.039031982,105.095993042,1457566863.21,1457566863.23
131,136,204,63,28,1,171.968338013,105.266929626,1457566863.27,1457566863.29
132,136,204,64,29,1,171.93927002,105.628562927,1457566863.33,1457566863.36
132,136,204,64,30,1,171.933929443,105.780540466,1457566863.4,1457566863.43
132,136,204,64,31,1,171.979568481,105.889602661,1457566863.47,1457566863.49
132,136,203,65,32,1,171.884597778,105.912216187,1457566863.55,1457566863.58
132,136,204,64,33,1,171.888809204,105.918861389,1457566863.64,1457566863.67
132,136,203,65,34,1,171.895736694,105.778121948,1457566863.72,1457566863.76
133,136,204,65,35,1,172.000976562,105.837242126,1457566863.81,1457566863.84
133,136,204,65,36,1,172.272094727,106.079750061,1457566863.88,1457566863.91
131,137,203,65,37,1,172.349197388,106.154678345,1457566863.95,1457566863.97
131,137,203,65,38,1,172.466186523,106.190536499,1457566864.02,1457566864.05
132,137,204,65,39,1,172.675369263,106.019630432,1457566864.09,1457566864.12
132,137,205,64,40,1,172.970123291,105.627700806,1457566864.18,1457566864.21
130,139,204,65,41,1,174.335464478,105.199386597,1457566864.28,1457566864.31
130,140,206,64,42,1,175.509140015,105.151954651,1457566864.37,1457566864.4
128,144,208,64,43,1,178.507858276,104.89717865,1457566864.47,1457566864.49
130,144,210,64,44,1,179.76272583,104.797607422,1457566864.54,1457566864.57
130,145,211,64,45,1,180.296386719,104.754051208,1457566864.61,1457566864.63
129,145,209,65,46,1,179.995834351,104.693496704,1457566864.68,1457566864.7
129,145,209,65,47,1,179.582870483,104.647079468,1457566864.75,1457566864.78
129,144,209,64,48,1,179.308700562,104.50617981,1457566864.84,1457566864.88
128,145,209,64,49,1,179.613113403,104.249610901,1457566864.93,1457566864.95
129,146,211,64,50,1,180.93963623,103.883071899,1457566865.02,1457566865.04
130,147,215,62,51,1,185.550216675,103.007522583,1457566865.11,1457566865.13
-1,-1,-1,-1,52,0,203.109344482,103.641189575,1457566865.18,1457566865.2
-1,-1,-1,-1,53,0,208.378570557,105.232727051,1457566865.24,1457566865.26
-1,-1,-1,-1,54,0,211.39213562,105.835327148,1457566865.31,1457566865.33
-1,-1,-1,-1,55,0,212.653930664,105.98260498,1457566865.37,1457566865.39
-1,-1,-1,-1,56,0,212.554046631,106.29914856,1457566865.47,1457566865.49
-1,-1,-1,-1,57,0,211.153244019,105.949081421,1457566865.54,1457566865.55
-1,-1,-1,-1,58,0,208.073684692,104.829711914,1457566865.61,1457566865.62
-1,-1,-1,-1,59,0,202.517654419,103.41947937,1457566865.67,1457566865.69
-1,-1,-1,-1,60,0,196.762298584,101.818092346,1457566865.74,1457566865.76
127,153,220,60,61,1,191.912261963,100.541763306,1457566865.81,1457566865.83
126,149,216,59,62,1,188.990264893,100.207504272,1457566865.88,1457566865.91
129,141,206,64,87,1,173.0,100.666664124,1457566865.95,1457566867.55
128,140,206,62,88,1,173.014709473,100.165527344,1457566867.6,1457566867.63
127,141,205,63,89,1,173.106918335,100.229187012,1457566867.68,1457566867.7
128,141,206,63,90,1,173.105712891,100.268592834,1457566867.75,1457566867.77
126,141,203,64,91,1,172.982894897,100.259773254,1457566867.81,1457566867.83
126,141,204,63,92,1,172.841690063,100.295043945,1457566867.9,1457566867.93
127,141,204,64,93,1,172.856994629,100.303993225,1457566867.99,1457566868.02
127,141,204,64,94,1,172.92628479,100.306098938,1457566868.09,1457566868.12
127,141,205,63,95,1,173.034240723,100.350769043,1457566868.18,1457566868.21
128,141,206,63,96,1,173.294113159,100.363441467,1457566868.27,1457566868.3
128,141,206,63,97,1,173.385269165,100.391731262,1457566868.36,1457566868.39
127,141,205,63,98,1,173.530563354,100.376525879,1457566868.44,1457566868.47
128,142,206,64,99,1,173.584457397,100.434272766,1457566868.52,1457566868.54
127,141,205,63,100,1,173.630477905,100.44644928,1457566868.6,1457566868.63
128,142,206,64,101,1,173.56477356,100.428771973,1457566868.68,1457566868.71
128,141,206,63,102,1,173.469482422,100.427833557,1457566868.76,1457566868.78
128,141,206,63,103,1,173.309020996,100.382118225,1457566868.82,1457566868.85
129,141,206,64,104,1,173.081115723,100.385719299,1457566868.89,1457566868.92
128,140,205,63,105,1,172.98274231,100.387184143,1457566868.96,1457566868.99
128,141,205,64,106,1,172.830062866,100.403343201,1457566869.05,1457566869.08
128,140,205,63,107,1,172.711181641,100.327171326,1457566869.15,1457566869.18
128,140,205,63,108,1,172.467910767,100.322532654,1457566869.24,1457566869.26
128,140,205,63,109,1,172.255874634,100.337898254,1457566869.33,1457566869.35
127,140,204,63,110,1,172.097167969,100.341186523,1457566869.4,1457566869.42
127,140,203,64,111,1,171.951034546,100.345695496,1457566869.47,1457566869.49
126,141,203,64,112,1,171.913146973,100.336585999,1457566869.54,1457566869.56
128,141,205,64,113,1,171.829299927,100.357078552,1457566869.61,1457566869.64
128,140,204,64,114,1,171.82460022,100.379058838,1457566869.68,1457566869.7
128,140,204,64,115,1,171.841384888,100.426147461,1457566869.75,1457566869.77
128,141,205,64,116,1,171.889785767,100.476196289,1457566869.82,1457566869.84
128,141,205,64,117,1,171.886474609,100.482635498,1457566869.89,1457566869.91
127,140,204,63,118,1,171.855361938,100.523765564,1457566869.95,1457566869.98
128,141,205,64,119,1,171.846130371,100.56439209,1457566870.02,1457566870.04
128,141,205,64,120,1,171.86100769,100.561988831,1457566870.09,1457566870.11
129,140,205,64,121,1,171.826278687,100.583976746,1457566870.16,1457566870.19
127,141,204,64,122,1,171.823242188,100.596366882,1457566870.24,1457566870.26
128,141,205,64,123,1,171.748458862,100.549438477,1457566870.3,1457566870.33
127,140,203,64,124,1,171.748703003,100.561882019,1457566870.38,1457566870.4
127,140,203,64,125,1,171.700180054,100.617256165,1457566870.47,1457566870.5
129,139,204,64,126,1,171.612838745,100.696159363,1457566870.57,1457566870.59
128,140,204,64,127,1,171.590286255,100.554321289,1457566870.65,1457566870.69
128,139,204,63,128,1,171.612380981,100.551086426,1457566870.75,1457566870.78
128,140,204,64,129,1,171.659164429,100.768554688,1457566870.85,1457566870.88
128,141,204,65,130,1,171.612869263,100.784179688,1457566870.94,1457566870.97
129,141,206,64,131,1,171.760437012,100.646644592,1457566871.01,1457566871.04
127,141,204,64,132,1,171.862716675,100.610694885,1457566871.09,1457566871.12
128,141,205,64,133,1,171.910888672,100.67464447,1457566871.19,1457566871.23
128,141,205,64,134,1,171.824752808,100.874481201,1457566871.29,1457566871.32
128,140,204,64,135,1,171.631896973,100.940864563,1457566871.38,1457566871.4
128,140,204,64,136,1,171.524841309,100.905784607,1457566871.47,1457566871.5
128,140,203,65,137,1,171.35925293,100.944786072,1457566871.55,1457566871.58
128,140,204,64,138,1,171.343765259,101.032203674,1457566871.63,1457566871.65
128,140,203,65,139,1,171.200485229,101.09854126,1457566871.73,1457566871.76
128,139,204,63,140,1,171.118453979,101.039512634,1457566871.81,1457566871.85
127,140,203,64,141,1,171.090393066,101.001045227,1457566871.89,1457566871.91
128,140,204,64,142,1,171.149780273,101.076438904,1457566871.96,1457566871.99
128,139,204,63,143,1,171.130874634,101.168884277,1457566872.05,1457566872.09
129,140,205,64,144,1,171.168762207,101.140556335,1457566872.15,1457566872.18
128,140,204,64,145,1,171.167663574,101.076812744,1457566872.24,1457566872.27
