faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp
-1,-1,-1,-1,8,0,189.5,62.75,1457572246.51,1457572246.99
95,147,234,8,9,1,190.31439209,62.5626602173,1457572247.03,1457572247.06
95,149,236,8,10,1,191.749923706,62.6822624207,1457572247.11,1457572247.13
95,149,236,8,11,1,192.625823975,62.830947876,1457572247.18,1457572247.21
96,150,239,7,12,1,194.496154785,63.2567901611,1457572247.25,1457572247.28
97,150,239,8,13,1,196.249359131,63.8229064941,1457572247.33,1457572247.36
96,152,241,7,14,1,197.43737793,63.93542099,1457572247.41,1457572247.43
95,154,240,9,15,1,197.722106934,63.879737854,1457572247.48,1457572247.5
95,153,240,8,16,1,197.777954102,63.574798584,1457572247.55,1457572247.58
95,153,240,8,17,1,197.475509644,63.4651184082,1457572247.63,1457572247.66
96,152,241,7,18,1,197.615463257,63.4549217224,1457572247.7,1457572247.73
97,154,243,8,19,1,198.476409912,63.602771759,1457572247.77,1457572247.79
97,154,243,8,20,1,198.972290039,63.7693099976,1457572247.84,1457572247.86
96,154,243,7,21,1,199.462432861,63.8685112,1457572247.91,1457572247.93
97,154,243,8,22,1,199.508483887,63.8463554382,1457572247.98,1457572248.0
97,154,243,8,23,1,199.448852539,63.7693099976,1457572248.05,1457572248.08
96,155,242,9,24,1,199.523651123,63.8581504822,1457572248.15,1457572248.2
95,156,241,10,25,1,200.116088867,64.2536773682,1457572248.25,1457572248.29
99,154,243,10,26,1,200.761810303,64.3586959839,1457572248.36,1457572248.39
98,156,245,9,27,1,201.827423096,64.4376144409,1457572248.45,1457572248.48
98,156,245,9,28,1,202.588439941,64.576385498,1457572248.52,1457572248.55
99,158,247,10,29,1,203.000335693,64.614440918,1457572248.6,1457572248.62
98,158,247,9,30,1,203.889465332,64.7564239502,1457572248.67,1457572248.7
98,157,246,9,31,1,204.91355896,64.9140930176,1457572248.77,1457572248.81
97,160,249,8,32,1,206.285568237,65.0728759766,1457572248.87,1457572248.9
98,161,250,9,33,1,207.064971924,65.1591720581,1457572248.95,1457572248.99
97,161,250,8,34,1,207.664031982,65.2017211914,1457572249.05,1457572249.1
98,162,251,9,35,1,208.351318359,65.2074050903,1457572249.16,1457572249.2
98,162,251,9,36,1,208.758117676,65.2124710083,1457572249.27,1457572249.31
99,163,252,10,37,1,209.415130615,65.3442153931,1457572249.37,1457572249.4
99,164,253,10,38,1,209.772964478,65.4425735474,1457572249.45,1457572249.48
100,162,251,11,39,1,209.799545288,65.5469589233,1457572249.52,1457572249.55
99,163,252,10,40,1,209.533432007,65.612663269,1457572249.6,1457572249.63
98,162,251,9,41,1,207.200332642,65.3416595459,1457572249.68,1457572249.7
98,162,251,9,42,1,206.469192505,65.1637954712,1457572249.75,1457572249.78
99,161,250,10,43,1,205.328796387,64.9856185913,1457572249.83,1457572249.85
97,161,250,8,44,1,204.757904053,64.9758834839,1457572249.9,1457572249.93
97,159,246,10,45,1,203.456100464,64.8471374512,1457572249.97,1457572250.01
98,158,247,9,46,1,203.196517944,64.6873016357,1457572250.05,1457572250.08
98,158,247,9,47,1,202.914642334,64.401260376,1457572250.12,1457572250.15
