ax,ay,az,gx,gy,gz,time_diff,timestamp,gz_raw,theta
-13318.0,-40.0,7470.0,-23.0,16.0,5.08780487805,2.40182709694,1457572248.7,117.0,6.11001381002
-13320.0,358.0,7450.0,-25.0,16.0,5.08780487805,0.103180885315,1457572248.8,68.0,6.63497802164
-13354.0,200.0,7394.0,-29.0,19.0,0.819512195122,0.101339101791,1457572248.91,-2.0,6.93429912474
-13306.0,120.0,7398.0,-29.0,18.0,0.819512195122,0.106459856033,1457572249.01,-13.0,7.02154427505
-13330.0,118.0,7468.0,-28.0,16.0,2.22195121951,0.102792024612,1457572249.11,21.0,7.17786336614
-13312.0,258.0,7484.0,-26.0,17.0,3.0756097561,0.101852178574,1457572249.22,35.0,7.44764742938
-13340.0,374.0,7370.0,-23.0,16.0,5.1487804878,0.103588819504,1457572249.32,69.0,7.87362486764
-13372.0,218.0,7426.0,-23.0,19.0,5.5756097561,0.101176023483,1457572249.42,76.0,8.41615044722
-13326.0,-150.0,7088.0,-30.0,-7.0,20.5146341463,0.108360052109,1457572249.53,321.0,9.82972054162
-12310.0,-558.0,7650.0,20.0,-97.0,59.9658536585,0.100517988205,1457572249.63,968.0,13.8745889036
-11920.0,2720.0,7846.0,73.0,34.0,104.47804878,0.106245994568,1457572249.74,1698.0,22.6103418862
-9924.0,5264.0,7388.0,104.0,19.0,150.819512195,0.0998439788818,1457572249.84,2458.0,35.3553040295
-5904.0,10584.0,8094.0,170.0,3.0,173.746341463,0.102623939514,1457572249.94,2914.0,52.0094172966
-1790.0,12548.0,6406.0,137.0,1.0,178.624390244,0.105576038361,1457572250.04,2834.0,70.6103702406
536.0,13780.0,6902.0,158.0,124.0,173.746341463,0.102957963943,1457572250.15,2945.0,88.7500567855
-2988.0,32767.0,2312.0,379.0,684.0,67.0390243902,0.106207132339,1457572250.25,1084.0,101.536618394
3624.0,13718.0,6066.0,-12.0,31.0,2.46585365854,0.101016044617,1457572250.35,-11.0,105.047172325
4258.0,17080.0,4842.0,-2.0,41.0,0.270731707317,0.103780031204,1457572250.46,25.0,105.189173782
3604.0,13864.0,6344.0,-23.0,17.0,0.0878048780488,0.102185964584,1457572250.56,-14.0,105.207492486
3652.0,13794.0,6348.0,-30.0,15.0,-0.0951219512195,0.108353853226,1457572250.67,-17.0,105.207096069
3808.0,13854.0,6422.0,-29.0,19.0,-0.156097560976,0.0962510108948,1457572250.77,-18.0,105.195006003
3978.0,13884.0,6464.0,-31.0,18.0,-0.278048780488,0.10306096077,1457572250.87,-20.0,105.172634233
4002.0,13808.0,6470.0,-32.0,17.0,-0.582926829268,0.103972196579,1457572250.97,-25.0,105.127875471
3914.0,13786.0,6428.0,-32.0,17.0,-0.582926829268,0.102799892426,1457572251.08,-25.0,105.067950655
3862.0,13820.0,6418.0,-32.0,15.0,-0.0951219512195,0.104834079742,1457572251.18,-16.0,105.032409346
3850.0,13808.0,6362.0,-27.0,17.0,-0.0951219512195,0.0978138446808,1457572251.28,-17.0,105.023105102
