,faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp_x,ax,ay,az,gx,gy,gz,time_diff,timestamp_y,gz_raw,theta
0,-1,-1,-1,-1,8,0,189.5,62.75,1457572246.51,1457572246.99,-13318.0,-40.0,7470.0,-23.0,16.0,5.08780487805,2.40182709694,1457572248.7,117.0,6.11001381002
1,95,147,234,8,9,1,190.31439209,62.5626602173,1457572247.03,1457572247.06,-13318.0,-40.0,7470.0,-23.0,16.0,5.08780487805,2.40182709694,1457572248.7,117.0,6.11001381002
2,95,149,236,8,10,1,191.749923706,62.6822624207,1457572247.11,1457572247.13,-13318.0,-40.0,7470.0,-23.0,16.0,5.08780487805,2.40182709694,1457572248.7,117.0,6.11001381002
3,95,149,236,8,11,1,192.625823975,62.830947876,1457572247.18,1457572247.21,-13318.0,-40.0,7470.0,-23.0,16.0,5.08780487805,2.40182709694,1457572248.7,117.0,6.11001381002
4,96,150,239,7,12,1,194.496154785,63.2567901611,1457572247.25,1457572247.28,-13318.0,-40.0,7470.0,-23.0,16.0,5.08780487805,2.40182709694,1457572248.7,117.0,6.11001381002
5,97,150,239,8,13,1,196.249359131,63.8229064941,1457572247.33,1457572247.36,-13318.0,-40.0,7470.0,-23.0,16.0,5.08780487805,2.40182709694,1457572248.7,117.0,6.11001381002
6,96,152,241,7,14,1,197.43737793,63.93542099,1457572247.41,1457572247.43,-13318.0,-40.0,7470.0,-23.0,16.0,5.08780487805,2.40182709694,1457572248.7,117.0,6.11001381002
7,95,154,240,9,15,1,197.722106934,63.879737854,1457572247.48,1457572247.5,-13318.0,-40.0,7470.0,-23.0,16.0,5.08780487805,2.40182709694,1457572248.7,117.0,6.11001381002
8,95,153,240,8,16,1,197.777954102,63.574798584,1457572247.55,1457572247.58,-13318.0,-40.0,7470.0,-23.0,16.0,5.08780487805,2.40182709694,1457572248.7,117.0,6.11001381002
9,95,153,240,8,17,1,197.475509644,63.4651184082,1457572247.63,1457572247.66,-13318.0,-40.0,7470.0,-23.0,16.0,5.08780487805,2.40182709694,1457572248.7,117.0,6.11001381002
10,96,152,241,7,18,1,197.615463257,63.4549217224,1457572247.7,1457572247.73,-13318.0,-40.0,7470.0,-23.0,16.0,5.08780487805,2.40182709694,1457572248.7,117.0,6.11001381002
11,97,154,243,8,19,1,198.476409912,63.602771759,1457572247.77,1457572247.79,-13318.0,-40.0,7470.0,-23.0,16.0,5.08780487805,2.40182709694,1457572248.7,117.0,6.11001381002
12,97,154,243,8,20,1,198.972290039,63.7693099976,1457572247.84,1457572247.86,-13318.0,-40.0,7470.0,-23.0,16.0,5.08780487805,2.40182709694,1457572248.7,117.0,6.11001381002
13,96,154,243,7,21,1,199.462432861,63.8685112,1457572247.91,1457572247.93,-13318.0,-40.0,7470.0,-23.0,16.0,5.08780487805,2.40182709694,1457572248.7,117.0,6.11001381002
14,97,154,243,8,22,1,199.508483887,63.8463554382,1457572247.98,1457572248.0,-13318.0,-40.0,7470.0,-23.0,16.0,5.08780487805,2.40182709694,1457572248.7,117.0,6.11001381002
15,97,154,243,8,23,1,199.448852539,63.7693099976,1457572248.05,1457572248.08,-13318.0,-40.0,7470.0,-23.0,16.0,5.08780487805,2.40182709694,1457572248.7,117.0,6.11001381002
16,96,155,242,9,24,1,199.523651123,63.8581504822,1457572248.15,1457572248.2,-13318.0,-40.0,7470.0,-23.0,16.0,5.08780487805,2.40182709694,1457572248.7,117.0,6.11001381002
17,95,156,241,10,25,1,200.116088867,64.2536773682,1457572248.25,1457572248.29,-13318.0,-40.0,7470.0,-23.0,16.0,5.08780487805,2.40182709694,1457572248.7,117.0,6.11001381002
18,99,154,243,10,26,1,200.761810303,64.3586959839,1457572248.36,1457572248.39,-13318.0,-40.0,7470.0,-23.0,16.0,5.08780487805,2.40182709694,1457572248.7,117.0,6.11001381002
