ax,ay,az,gx,gy,gz,time_diff,timestamp,gz_raw,theta
-13318.0,1648.0,7310.0,-24.0,16.0,1.42926829268,2.40264105797,1457571919.94,76.0,1.71700934143
-13374.0,1254.0,7276.0,-28.0,18.0,5.5756097561,0.101707935333,1457571920.04,8.0,2.07323518323
-13358.0,1208.0,7286.0,-21.0,18.0,11.856097561,0.106371164322,1457571920.15,179.0,3.00035068495
-13378.0,2076.0,7258.0,-12.0,16.0,11.856097561,0.102491855621,1457571920.25,222.0,4.2155041244
-13210.0,2404.0,7264.0,-27.0,18.0,2.70975609756,0.102532148361,1457571920.35,29.0,4.96223825856
-13232.0,2148.0,7302.0,-32.0,17.0,0.209756097561,0.102929830551,1457571920.45,-15.0,5.11249070633
-13278.0,2082.0,7284.0,-29.0,16.0,0.209756097561,0.105941057205,1457571920.56,-12.0,5.13471248906
-13208.0,2036.0,7244.0,-24.0,13.0,1.06341463415,0.102589130402,1457571920.66,70.0,5.20001922817
-13198.0,2590.0,7226.0,-27.0,14.0,1.06341463415,0.097913980484,1457571920.76,2.0,5.3041423879
-13234.0,2252.0,7254.0,-35.0,14.0,1.06341463415,0.10780787468,1457571920.87,-12.0,5.41878685951
-13150.0,2274.0,7348.0,-23.0,15.0,0.209756097561,0.101094961166,1457571920.97,82.0,5.48314243235
-13128.0,2672.0,7290.0,-26.0,17.0,-0.521951219512,0.103073120117,1457571921.07,-25.0,5.4670529697
-13126.0,2428.0,7308.0,-29.0,14.0,-0.582926829268,0.105905056,1457571921.18,-24.0,5.40854688389
-13110.0,2540.0,7284.0,-31.0,18.0,-1.43658536585,0.103341817856,1457571921.28,-39.0,5.30419685317
-13150.0,2494.0,7326.0,-32.0,21.0,-5.46097560976,0.101250171661,1457571921.38,-146.0,4.95500723676
-13128.0,2080.0,7330.0,-33.0,19.0,-5.46097560976,0.104836940765,1457571921.49,-105.0,4.38249526024
-13240.0,2066.0,7278.0,-33.0,19.0,-5.46097560976,0.102318048477,1457571921.59,-102.0,3.82373889307
-13280.0,2328.0,7272.0,-40.0,22.0,-14.1195121951,0.105154037476,1457571921.7,-247.0,2.79425521885
-13224.0,1592.0,7292.0,-56.0,19.0,-27.8390243902,0.10226893425,1457571921.8,-494.0,0.64872780922
-13306.0,382.0,7284.0,-53.0,14.0,-27.8390243902,0.102249860764,1457571921.9,-472.0,-2.19780855848
-13380.0,-140.0,7160.0,-47.0,15.0,-21.6195121951,0.104171991348,1457571922.0,-370.0,-4.77390568111
-13378.0,-782.0,7230.0,-40.0,11.0,-15.7048780488,0.103707075119,1457571922.11,-249.0,-6.70930735251
-13424.0,-942.0,7302.0,-42.0,15.0,-15.7048780488,0.103610038757,1457571922.21,-273.0,-8.33649037582
-13388.0,-1556.0,7342.0,-42.0,16.0,-18.0219512195,0.103004932404,1457571922.31,-311.0,-10.0735052603
-13354.0,-1966.0,7202.0,-46.0,19.0,-20.0341463415,0.100931167603,1457571922.42,-344.0,-11.9940284409
-13330.0,-2510.0,7200.0,-48.0,19.0,-20.0341463415,0.10330581665,1457571922.52,-416.0,-14.0636722896
-13172.0,-3750.0,7228.0,-45.0,16.0,-16.9243902439,0.106755018234,1457571922.63,-293.0,-16.0364269132
-13148.0,-3062.0,7190.0,-33.0,12.0,-0.278048780488,0.0997271537781,1457571922.73,0.0,-16.8942020541
-13124.0,-3252.0,7240.0,-28.0,21.0,-0.278048780488,0.10425901413,1457571922.83,-20.0,-16.9231911459
-13228.0,-2966.0,7142.0,-24.0,18.0,-0.887804878049,0.101846933365,1457571922.93,-30.0,-16.9825604558
-13122.0,-3290.0,7210.0,-30.0,15.0,-3.32682926829,0.103690862656,1457571923.04,-70.0,-17.201069981
-13108.0,-2592.0,7252.0,-42.0,38.0,-10.4,0.101170063019,1457571923.14,-186.0,-17.8954420721
-12980.0,-4838.0,7476.0,-45.0,5.0,-10.4,0.103981971741,1457571923.24,-266.0,-18.9768545782
-12990.0,-3948.0,7210.0,-30.0,11.0,0.209756097561,0.104768037796,1457571923.34,-12.0,-19.5106605073
-13072.0,-5152.0,7150.0,-25.0,9.0,15.3926829268,0.0984930992126,1457571923.44,237.0,-18.7422942199
-13202.0,-2134.0,7066.0,9.0,22.0,41.4292682927,0.102593898773,1457571923.55,664.0,-15.8275014642
-13386.0,-2466.0,6990.0,8.0,10.0,43.3804878049,0.106066942215,1457571923.65,696.0,-11.3297457145
-13392.0,-858.0,7286.0,17.0,20.0,43.3804878049,0.103149175644,1457571923.76,814.0,-6.85508415844
-13120.0,1124.0,7460.0,3.0,8.0,40.2707317073,0.0994629859924,1457571923.85,645.0,-2.69498412115
-13474.0,1578.0,7134.0,-9.0,16.0,22.8926829268,0.10604095459,1457571923.96,360.0,0.653970270331
-13188.0,1882.0,7278.0,-11.0,16.0,16.856097561,0.103120088577,1457571924.06,261.0,2.7034191527
-13150.0,2300.0,7302.0,-18.0,14.0,11.2463414634,0.104455947876,1457571924.17,169.0,4.17115260566
-13150.0,2378.0,7310.0,-26.0,17.0,2.77073170732,0.104300022125,1457571924.27,30.0,4.90214312658
-13188.0,2480.0,7272.0,-28.0,16.0,0.758536585366,0.100896835327,1457571924.37,-3.0,5.08018912746
-13128.0,2340.0,7276.0,-27.0,19.0,-0.582926829268,0.102904081345,1457571924.48,-25.0,5.08922460777
-13142.0,2636.0,7342.0,-29.0,21.0,-1.9243902439,0.102250099182,1457571924.58,-47.0,4.96103789806
-13228.0,2274.0,7290.0,-40.0,18.0,-5.4,0.105903863907,1457571924.68,-208.0,4.57319728427
-13238.0,1636.0,7306.0,-34.0,18.0,-5.4,0.102541923523,1457571924.79,-104.0,4.01947089724
-13296.0,1924.0,7294.0,-29.0,18.0,-5.4,0.102248191833,1457571924.89,-64.0,3.46733066134
-13306.0,1632.0,7280.0,-33.0,21.0,-5.09512195122,0.102303028107,1457571924.99,-114.0,2.93048928336
-13314.0,1782.0,7260.0,-30.0,19.0,-6.00975609756,0.102253913879,1457571925.09,-99.0,2.36273066154
-13384.0,1600.0,7366.0,-43.0,21.0,-17.5341463415,0.109183073044,1457571925.2,-303.0,1.07743285168
-13420.0,516.0,7294.0,-48.0,14.0,-17.5341463415,0.102705955505,1457571925.31,-342.0,-0.723428402296
-13460.0,-282.0,7224.0,-36.0,13.0,-6.19268292683,0.0998558998108,1457571925.41,-117.0,-1.90806034542
-13480.0,426.0,7330.0,-31.0,15.0,0.0878048780488,0.106198072433,1457571925.51,-14.0,-2.23222348603
-13432.0,394.0,7230.0,-30.0,12.0,0.0878048780488,0.100277900696,1457571925.61,-14.0,-2.22341859719
-13410.0,-82.0,7308.0,-25.0,11.0,2.77073170732,0.10030913353,1457571925.71,30.0,-2.08004993317
-13406.0,838.0,7270.0,-19.0,13.0,6.24634146341,0.102504968643,1457571925.82,150.0,-1.61790253186
-13368.0,878.0,7242.0,-23.0,15.0,8.31951219512,0.10252904892,1457571925.92,87.0,-0.8711909707
-13380.0,864.0,7302.0,-21.0,15.0,8.31951219512,0.106045007706,1457571926.02,121.0,0.0110517641393
-13298.0,1220.0,7316.0,-16.0,12.0,11.5512195122,0.105345964432,1457571926.13,209.0,1.05770246198
-13260.0,1710.0,7268.0,-19.0,13.0,13.6853658537,0.0994369983673,1457571926.23,174.0,2.31242761089
-13290.0,1652.0,7276.0,-16.0,10.0,14.9048780488,0.103900909424,1457571926.33,229.0,3.79770378194
-13124.0,2490.0,7356.0,-14.0,15.0,14.9048780488,0.104779005051,1457571926.44,299.0,5.35942207429
-13048.0,3276.0,7292.0,-17.0,16.0,12.2829268293,0.102723121643,1457571926.54,186.0,6.75583016814
-13026.0,3172.0,7250.0,-27.0,14.0,6.61219512195,0.0992498397827,1457571926.64,9.0,7.69349908131
-12980.0,2560.0,7342.0,-27.0,2.0,6.61219512195,0.106397151947,1457571926.75,93.0,8.3970178104
-12920.0,3722.0,7296.0,-20.0,8.0,9.6,0.101531982422,1457571926.85,229.0,9.22004596547
-12772.0,4104.0,7390.0,-21.0,16.0,9.6,0.103092908859,1457571926.95,142.0,10.2097378905
-12768.0,3998.0,7332.0,-28.0,20.0,-0.156097560976,0.107730150223,1457571927.06,-18.0,10.7184344047
-12744.0,3852.0,7298.0,-26.0,24.0,-0.521951219512,0.10035777092,1457571927.16,-24.0,10.6844106727
-12870.0,4732.0,7240.0,-37.0,19.0,-7.04634146341,0.102305173874,1457571927.26,-131.0,10.2972729232
-12864.0,3892.0,7376.0,-53.0,23.0,-25.643902439,0.102864027023,1457571927.36,-436.0,8.61594785714
-13090.0,2338.0,7344.0,-51.0,22.0,-28.0829268293,0.106034994125,1457571927.47,-476.0,5.76748584422
-13112.0,1932.0,7186.0,-50.0,15.0,-28.4487804878,0.102736949921,1457571927.57,-487.0,2.86353825244
-13388.0,1492.0,7156.0,-42.0,32.0,-28.4487804878,0.102282047272,1457571927.67,-482.0,-0.0462612582416
-13474.0,956.0,7126.0,-46.0,19.0,-28.4487804878,0.102087020874,1457571927.78,-461.0,-2.95051250574
-13342.0,-484.0,7442.0,-61.0,10.0,-27.1682926829,0.103426933289,1457571927.88,-555.0,-5.82666416401
-13540.0,-1524.0,7162.0,-43.0,16.0,-18.0219512195,0.107550859451,1457571927.99,-311.0,-8.25678894927
