faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp
105,135,196,44,5,1,168.333328247,78.6666641235,1457571833.48,1457571833.82
110,131,207,34,6,1,170.547225952,78.2515869141,1457571833.88,1457571833.91
112,131,209,34,7,1,171.965820312,77.5130081177,1457571833.97,1457571834.0
109,132,211,30,8,1,173.447937012,76.0484390259,1457571834.06,1457571834.1
109,131,213,27,9,1,174.160827637,74.8501586914,1457571834.18,1457571834.2
106,130,213,23,10,1,173.22895813,71.3855819702,1457571834.24,1457571834.27
103,132,212,23,11,1,173.005554199,70.5325622559,1457571834.31,1457571834.33
104,131,211,24,12,1,172.537841797,70.4603500366,1457571834.37,1457571834.4
104,131,211,24,13,1,172.46534729,70.6245651245,1457571834.44,1457571834.46
105,130,211,24,14,1,172.958969116,70.5748519897,1457571834.51,1457571834.53
104,132,211,25,15,1,173.31652832,70.0884933472,1457571834.57,1457571834.6
103,132,211,24,16,1,173.260925293,69.9174423218,1457571834.64,1457571834.67
103,132,210,25,17,1,172.980041504,70.1418228149,1457571834.73,1457571834.76
104,133,211,26,18,1,172.783981323,70.5327835083,1457571834.81,1457571834.84
103,131,209,25,19,1,172.072631836,71.1814041138,1457571834.9,1457571834.93
104,130,210,24,20,1,171.811889648,71.2645492554,1457571835.0,1457571835.04
103,131,206,28,21,1,170.75831604,70.894317627,1457571835.08,1457571835.1
102,131,206,27,22,1,170.371826172,70.6998901367,1457571835.14,1457571835.16
103,129,206,26,23,1,169.587402344,70.1696472168,1457571835.2,1457571835.22
103,129,207,25,24,1,169.230239868,69.9262542725,1457571835.27,1457571835.29
101,131,205,27,25,1,168.807846069,69.3862686157,1457571835.33,1457571835.35
101,129,205,25,26,1,168.745285034,69.1220092773,1457571835.39,1457571835.41
99,130,204,25,27,1,168.798141479,68.6666946411,1457571835.45,1457571835.48
98,130,202,26,28,1,168.663162231,68.6279373169,1457571835.52,1457571835.54
99,130,203,26,29,1,168.399856567,69.0752716064,1457571835.63,1457571835.66
101,129,203,27,30,1,168.014266968,69.9711837769,1457571835.7,1457571835.72
103,128,205,26,31,1,167.732833862,70.022605896,1457571835.77,1457571835.79
102,128,204,26,32,1,167.162536621,69.5517959595,1457571835.84,1457571835.86
103,127,205,25,33,1,167.005447388,69.4766998291,1457571835.9,1457571835.93
103,126,204,25,34,1,167.155776978,70.0657424927,1457571835.98,1457571836.0
101,128,201,28,35,1,167.080993652,70.1971359253,1457571836.05,1457571836.08
100,128,201,27,36,1,166.615097046,70.061164856,1457571836.13,1457571836.15
103,126,203,26,37,1,166.239868164,69.585319519,1457571836.2,1457571836.23
101,126,202,25,38,1,166.121810913,69.3128814697,1457571836.28,1457571836.3
100,127,201,26,39,1,166.245559692,69.5472106934,1457571836.35,1457571836.37
