,Unnamed: 0,faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp_x,ax,ay,az,gx,gy,gz,time_diff,timestamp_y,gz_raw,theta
25,25,96,135,217,14,28,1,173.57421875,59.6139411926,1457572161.66,1457572161.69,-13338.0,-2272.0,7418.0,-48.0,17.0,-21.2536585366,0.106992959976,1457572161.66,-350.0,-26.7480423759
26,26,94,137,219,12,29,1,174.322341919,59.266254425,1457572161.74,1457572161.76,-13192.0,-2202.0,7202.0,-47.0,15.0,-22.1073170732,0.102745056152,1457572161.76,-378.0,-28.9756053128
27,27,94,137,219,12,30,1,174.579544067,59.1801643372,1457572161.81,1457572161.85,-13116.0,-3124.0,7404.0,-44.0,15.0,-22.1073170732,0.101402044296,1457572161.86,-381.0,-31.2173324579
28,28,93,139,217,15,31,1,175.380752563,59.0773887634,1457572161.9,1457572161.94,-13090.0,-3842.0,7332.0,-41.0,19.0,-16.4365853659,0.102458953857,1457572161.97,-285.0,-33.1919164187
29,29,92,141,219,14,32,1,175.673049927,59.0186424255,1457572162.0,1457572162.04,-12976.0,-3706.0,7252.0,-28.0,18.0,1.1243902439,0.103232860565,1457572162.07,3.0,-33.9822772706
30,30,92,140,220,12,33,1,177.004684448,59.0177345276,1457572162.09,1457572162.13,-12966.0,-3516.0,7404.0,-22.0,16.0,1.1243902439,0.105417013168,1457572162.17,59.0,-33.8637474095
31,31,93,141,223,11,34,1,178.147506714,59.0168647766,1457572162.19,1457572162.22,-12966.0,-3516.0,7404.0,-22.0,16.0,1.1243902439,0.105417013168,1457572162.17,59.0,-33.8637474095
32,32,93,143,222,14,35,1,179.075317383,58.9117736816,1457572162.26,1457572162.29,-12918.0,-3580.0,7382.0,-24.0,19.0,-0.765853658537,0.101742982864,1457572162.28,-28.0,-33.8455081187
33,33,94,141,225,10,36,1,179.887130737,58.8881568909,1457572162.34,1457572162.36,-12830.0,-3310.0,7508.0,-27.0,21.0,-4.05853658537,0.10410618782,1457572162.38,-130.0,-34.0966325571
34,34,95,143,226,12,37,1,180.790161133,58.9024925232,1457572162.4,1457572162.43,-12830.0,-3310.0,7508.0,-27.0,21.0,-4.05853658537,0.10410618782,1457572162.38,-130.0,-34.0966325571
35,35,94,144,225,13,38,1,181.138061523,58.779384613,1457572162.48,1457572162.5,-13016.0,-4282.0,7304.0,-34.0,18.0,-4.05853658537,0.104803800583,1457572162.49,-82.0,-34.521982616
36,36,94,144,227,11,39,1,181.704391479,58.7227363586,1457572162.55,1457572162.58,-12862.0,-3692.0,7358.0,-31.0,15.0,-4.05853658537,0.0992980003357,1457572162.58,-71.0,-34.9249871833
37,37,96,142,227,11,40,1,181.89289856,58.7503662109,1457572162.62,1457572162.65,-12928.0,-4074.0,7316.0,-41.0,14.0,-3.38780487805,0.103555202484,1457572162.69,-243.0,-35.3105408823
38,38,94,144,226,12,41,1,181.882003784,58.7911872864,1457572162.7,1457572162.72,-12928.0,-4074.0,7316.0,-41.0,14.0,-3.38780487805,0.103555202484,1457572162.69,-243.0,-35.3105408823
39,39,94,144,225,13,42,1,181.896972656,58.899230957,1457572162.77,1457572162.8,-12788.0,-5224.0,7308.0,-31.0,11.0,-2.10731707317,0.10408782959,1457572162.79,-50.0,-35.5965285409
40,40,95,144,226,13,43,1,182.012283325,59.0088386536,1457572162.84,1457572162.87,-12810.0,-4888.0,7306.0,-30.0,14.0,2.28292682927,0.101004123688,1457572162.89,22.0,-35.5876598861
41,41,95,143,227,11,44,1,182.121337891,59.0193443298,1457572162.92,1457572162.94,-12810.0,-4888.0,7306.0,-30.0,14.0,2.28292682927,0.101004123688,1457572162.89,22.0,-35.5876598861
42,42,93,145,225,13,45,1,182.003097534,59.1087837219,1457572163.0,1457572163.03,-12888.0,-4260.0,7386.0,-21.0,20.0,2.28292682927,0.104733943939,1457572163.0,105.0,-35.3485599556
43,43,94,144,225,13,46,1,181.922058105,59.0859642029,1457572163.09,1457572163.12,-12940.0,-4180.0,7276.0,-25.0,17.0,-1.19268292683,0.102857112885,1457572163.1,-35.0,-35.2924902855
44,44,96,143,227,12,47,1,181.554519653,58.9451026917,1457572163.19,1457572163.22,-12972.0,-4676.0,7264.0,-35.0,16.0,-5.03414634146,0.102114915848,1457572163.2,-149.0,-35.6104163589
45,45,94,145,227,12,48,1,181.363967896,58.8539085388,1457572163.29,1457572163.32,-12866.0,-4582.0,7198.0,-38.0,19.0,-5.03414634146,0.1020860672,1457572163.31,-98.0,-36.1243325606
46,46,95,143,227,11,49,1,181.34538269,58.6829414368,1457572163.37,1457572163.39,-12856.0,-4626.0,7174.0,-36.0,20.0,-2.71707317073,0.102746963501,1457572163.41,-60.0,-36.5225396947
