,faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp_x,ax,ay,az,gx,gy,gz,time_diff,timestamp_y,gz_raw,theta
0,-1,-1,-1,-1,9,0,176.333328247,77.3333358765,1457567815.34,1457567816.1,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
1,105,142,217,30,10,1,178.063110352,78.3796081543,1457567816.17,1457567816.2,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
2,107,141,221,27,11,1,181.411804199,79.1619567871,1457567816.24,1457567816.26,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
3,109,144,225,28,12,1,182.764724731,80.0260543823,1457567816.3,1457567816.33,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
4,108,148,226,30,13,1,185.467941284,80.7772750854,1457567816.37,1457567816.39,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
5,107,152,228,31,14,1,188.235794067,81.2014770508,1457567816.43,1457567816.46,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
6,109,152,231,30,15,1,189.337524414,81.2931671143,1457567816.5,1457567816.53,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
7,110,153,231,32,16,1,190.901977539,81.6069869995,1457567816.57,1457567816.59,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
8,107,156,229,34,17,1,191.09942627,82.213218689,1457567816.63,1457567816.65,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
9,111,155,231,35,18,1,190.646255493,83.0542221069,1457567816.7,1457567816.72,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
10,110,157,228,39,19,1,189.995300293,84.2763442993,1457567816.76,1457567816.79,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
11,110,156,227,39,20,1,189.629165649,84.7751159668,1457567816.83,1457567816.85,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
12,111,154,227,38,21,1,189.120437622,84.976234436,1457567816.9,1457567816.92,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
13,112,153,225,40,22,1,188.766967773,85.0232925415,1457567816.97,1457567816.99,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
14,111,154,223,42,23,1,186.77961731,84.9149627686,1457567817.04,1457567817.06,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
15,107,152,218,41,24,1,183.813964844,84.686668396,1457567817.1,1457567817.12,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
16,108,152,218,42,25,1,182.277954102,84.7167282104,1457567817.17,1457567817.19,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
17,108,147,215,40,26,1,179.43737793,84.5661849976,1457567817.23,1457567817.25,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
18,108,146,214,40,27,1,178.187866211,84.1758956909,1457567817.29,1457567817.31,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
19,109,142,214,37,28,1,175.921691895,83.1903686523,1457567817.36,1457567817.39,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
20,107,142,211,38,29,1,174.807998657,82.6281967163,1457567817.43,1457567817.46,-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
21,108,139,212,35,30,1,172.619674683,81.4817123413,1457567817.51,1457567817.53,-13168.0,416.0,7718.0,-21.0,24.0,2.6487804878,0.101438045502,1457567817.54,28.0,3.45498866279
22,106,137,209,34,31,1,170.337554932,81.0197219849,1457567817.58,1457567817.61,-13298.0,-62.0,7322.0,-30.0,21.0,-0.339024390244,0.103259086609,1457567817.65,-21.0,3.57424031525
23,108,133,208,33,32,1,168.07572937,81.0604324341,1457567817.65,1457567817.68,-13298.0,-62.0,7322.0,-30.0,21.0,-0.339024390244,0.103259086609,1457567817.65,-21.0,3.57424031525
24,109,131,206,34,33,1,166.334411621,81.3949356079,1457567817.74,1457567817.76,-13380.0,-84.0,7340.0,-24.0,22.0,-0.339024390244,0.102123975754,1457567817.75,-21.0,3.53961779664
25,109,130,206,33,34,1,165.777389526,81.7913131714,1457567817.81,1457567817.83,-13318.0,-6.0,7430.0,-27.0,23.0,-0.339024390244,0.104120969772,1457567817.85,-25.0,3.50431824835
26,111,129,207,33,35,1,165.059707642,84.0943603516,1457567817.87,1457567817.9,-13224.0,-66.0,7498.0,-29.0,12.0,-0.582926829268,0.101315021515,1457567817.95,-15.0,3.45761449453
27,117,126,211,32,36,1,164.858596802,84.9781494141,1457567817.99,1457567818.02,-13514.0,272.0,7392.0,-34.0,6.0,0.0268292682927,0.102066040039,1457567818.06,-66.0,3.42923515657
28,117,126,211,32,37,1,165.41305542,85.1385421753,1457567818.07,1457567818.11,-13514.0,272.0,7392.0,-34.0,6.0,0.0268292682927,0.102066040039,1457567818.06,-66.0,3.42923515657
29,110,131,207,34,38,1,166.381088257,83.9161453247,1457567818.17,1457567818.2,-13328.0,10.0,7430.0,-29.0,16.0,-0.156097560976,0.101548910141,1457567818.16,-13.0,3.42267162945
30,110,129,211,28,39,1,167.380691528,81.6703414917,1457567818.26,1457567818.29,-13332.0,-40.0,7482.0,-27.0,15.0,-0.156097560976,0.106966972351,1457567818.26,-18.0,3.40597434596
31,105,132,211,26,40,1,169.212646484,79.1251831055,1457567818.35,1457567818.38,-13212.0,-10.0,7480.0,-22.0,25.0,-1.19268292683,0.102695941925,1457567818.37,-35.0,3.33671720464
32,106,132,211,27,41,1,169.661941528,78.9242248535,1457567818.44,1457567818.47,-13170.0,-646.0,7448.0,-45.0,0.0,-1.19268292683,0.103835105896,1457567818.47,-39.0,3.21287484663
33,105,134,211,28,42,1,170.67225647,78.8160476685,1457567818.54,1457567818.56,-13336.0,-214.0,7506.0,-30.0,16.0,-0.0341463414634,0.104382991791,1457567818.58,-16.0,3.14884479191
34,104,136,211,29,43,1,170.887191772,78.4929733276,1457567818.6,1457567818.63,-13380.0,140.0,7144.0,-28.0,21.0,-0.0341463414634,0.0982460975647,1457567818.67,-12.0,3.14549004712
35,105,134,213,26,44,1,170.835754395,77.6443099976,1457567818.68,1457567818.7,-13380.0,140.0,7144.0,-28.0,21.0,-0.0341463414634,0.0982460975647,1457567818.67,-12.0,3.14549004712
36,105,134,213,26,45,1,170.684188843,77.1343307495,1457567818.76,1457567818.78,-13328.0,-202.0,7394.0,-29.0,17.0,-0.0951219512195,0.114733934402,1457567818.79,-17.0,3.13807431721
37,101,134,209,26,46,1,170.233703613,76.1397094727,1457567818.83,1457567818.86,-13238.0,-376.0,7470.0,-32.0,19.0,-0.0951219512195,0.0943629741669,1457567818.88,-18.0,3.12909832699
38,104,132,212,24,47,1,169.658920288,75.1358413696,1457567818.9,1457567818.93,-13238.0,-376.0,7470.0,-32.0,19.0,-0.0951219512195,0.0943629741669,1457567818.88,-18.0,3.12909832699
39,101,129,210,20,48,1,167.507919312,73.3686294556,1457567818.98,1457567819.0,-13284.0,-178.0,7376.0,-30.0,20.0,-0.156097560976,0.104135990143,1457567818.99,-15.0,3.11601783066
40,103,125,211,17,49,1,166.04624939,73.2031784058,1457567819.05,1457567819.08,-13360.0,-250.0,7470.0,-29.0,17.0,-0.156097560976,0.10057592392,1457567819.09,-18.0,3.10031817425
41,105,119,208,16,50,1,162.431991577,73.9508972168,1457567819.12,1457567819.15,-13214.0,-466.0,7506.0,-32.0,13.0,-0.4,0.106446027756,1457567819.19,-22.0,3.07072098604
