faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp
89,133,194,28,26,1,163.25,63.25,1457569268.84,1457569270.57
89,132,194,27,27,1,162.91355896,63.5008354187,1457569270.63,1457569270.65
90,132,194,28,28,1,162.327148438,64.7427825928,1457569270.69,1457569270.71
91,130,194,27,29,1,162.263031006,64.7759857178,1457569270.75,1457569270.78
91,131,194,28,30,1,162.256942749,64.7741470337,1457569270.82,1457569270.84
90,132,194,28,31,1,162.312927246,64.7638626099,1457569270.88,1457569270.9
89,132,193,28,32,1,162.570831299,64.8745346069,1457569270.95,1457569270.98
90,132,194,28,33,1,162.850891113,64.9952545166,1457569271.02,1457569271.04
90,133,194,29,34,1,163.029205322,65.1116027832,1457569271.08,1457569271.11
90,133,193,30,35,1,163.729232788,65.3154067993,1457569271.16,1457569271.19
90,134,195,29,36,1,164.503204346,65.2391967773,1457569271.24,1457569271.27
90,134,195,29,37,1,165.244033813,65.3310470581,1457569271.34,1457569271.37
91,135,198,28,38,1,165.887268066,65.0779571533,1457569271.44,1457569271.47
92,134,200,26,39,1,167.444946289,64.5741958618,1457569271.52,1457569271.54
92,135,199,28,40,1,167.765869141,64.7229766846,1457569271.58,1457569271.61
92,135,199,28,41,1,167.743301392,65.4452514648,1457569271.65,1457569271.67
94,134,200,28,42,1,167.168334961,65.7526321411,1457569271.77,1457569271.79
93,134,198,29,43,1,166.31072998,65.8311691284,1457569271.84,1457569271.86
94,132,198,28,44,1,165.834899902,65.770324707,1457569271.92,1457569271.94
91,133,196,28,45,1,164.511550903,65.1512374878,1457569271.98,1457569272.0
92,131,197,26,46,1,164.112854004,64.9206390381,1457569272.05,1457569272.08
90,131,195,26,47,1,163.54145813,64.4961395264,1457569272.12,1457569272.15
92,129,198,23,48,1,163.191757202,64.287940979,1457569272.19,1457569272.21
90,127,193,24,49,1,162.25012207,64.0901565552,1457569272.26,1457569272.29
91,127,194,24,50,1,161.602554321,64.0916976929,1457569272.34,1457569272.36
88,129,189,28,51,1,160.052368164,64.2311553955,1457569272.4,1457569272.43
92,124,191,25,52,1,158.468856812,64.551940918,1457569272.48,1457569272.5
93,121,191,23,53,1,157.118057251,64.8752593994,1457569272.55,1457569272.57
94,120,190,24,54,1,156.113174438,65.0780029297,1457569272.61,1457569272.64
92,122,188,26,55,1,155.776000977,65.1569976807,1457569272.69,1457569272.71
93,119,189,23,56,1,155.324386597,65.2432479858,1457569272.77,1457569272.79
91,120,187,24,57,1,155.231613159,65.3091430664,1457569272.83,1457569272.86
96,117,191,22,58,1,154.966796875,65.6423950195,1457569272.92,1457569272.96
-1,-1,-1,-1,59,0,155.015472412,65.7976303101,1457569273.01,1457569273.05
97,118,192,23,60,1,155.278091431,65.9120254517,1457569273.1,1457569273.12
-1,-1,-1,-1,61,0,155.589553833,66.0306015015,1457569273.2,1457569273.22
102,115,196,21,62,1,155.820114136,66.0377197266,1457569273.27,1457569273.29
98,119,195,22,63,1,156.101715088,65.9260101318,1457569273.34,1457569273.37
95,120,192,23,64,1,156.465454102,65.7754364014,1457569273.41,1457569273.43
96,120,194,22,65,1,156.653106689,65.7670898438,1457569273.48,1457569273.51
99,118,197,20,66,1,156.834503174,65.7744445801,1457569273.55,1457569273.58
100,117,198,19,67,1,156.870910645,65.7881011963,1457569273.62,1457569273.65
98,120,196,22,68,1,156.902893066,65.7181625366,1457569273.7,1457569273.73
