faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp
96,119,199,16,9,1,158.75,66.0,1457571950.11,1457571950.83
98,116,202,12,10,1,158.102401733,65.8927612305,1457571950.89,1457571950.91
98,116,202,12,11,1,157.908111572,65.9085540771,1457571950.96,1457571950.98
98,115,201,12,12,1,157.629638672,65.9284973145,1457571951.02,1457571951.05
99,114,200,13,13,1,157.50453186,65.954284668,1457571951.09,1457571951.11
99,115,201,13,14,1,157.315963745,66.0139770508,1457571951.16,1457571951.18
99,115,201,13,15,1,157.292266846,66.0264282227,1457571951.22,1457571951.25
98,116,201,13,16,1,157.357009888,65.9465179443,1457571951.29,1457571951.31
98,116,202,12,17,1,157.580871582,65.8344802856,1457571951.36,1457571951.4
99,116,202,13,18,1,157.929046631,65.6956176758,1457571951.47,1457571951.5
98,116,202,12,19,1,158.280807495,65.493347168,1457571951.56,1457571951.6
98,118,204,12,20,1,159.864273071,69.6215133667,1457571951.67,1457571951.71
100,117,203,14,21,1,160.054367065,69.7851791382,1457571951.76,1457571951.79
101,116,205,12,22,1,160.317337036,70.0035629272,1457571951.83,1457571951.86
99,117,203,13,23,1,160.30015564,70.018196106,1457571951.9,1457571951.93
97,117,203,11,24,1,160.308700562,69.9813919067,1457571951.97,1457571952.0
100,117,206,11,25,1,160.474853516,69.9632034302,1457571952.04,1457571952.07
98,118,204,12,26,1,160.600448608,69.9822769165,1457571952.11,1457571952.13
96,120,202,14,27,1,160.645187378,70.0616455078,1457571952.18,1457571952.2
97,119,202,14,28,1,160.636169434,70.1107559204,1457571952.24,1457571952.27
97,119,202,14,29,1,160.415100098,70.1523132324,1457571952.31,1457571952.34
100,117,203,14,30,1,160.29838562,70.1270141602,1457571952.39,1457571952.42
100,117,203,14,31,1,159.869033813,70.1030883789,1457571952.46,1457571952.49
100,117,203,14,32,1,159.723312378,70.1709213257,1457571952.53,1457571952.56
100,117,203,14,33,1,159.37437439,70.2527008057,1457571952.61,1457571952.63
99,115,201,13,34,1,159.1693573,70.125038147,1457571952.67,1457571952.7
99,115,201,13,35,1,159.186767578,70.0190963745,1457571952.74,1457571952.77
99,116,202,13,36,1,159.538757324,69.8366470337,1457571952.81,1457571952.84
95,119,200,14,37,1,159.502426147,69.7488937378,1457571952.89,1457571952.91
96,117,199,14,38,1,159.503738403,69.6201553345,1457571952.96,1457571952.98
95,118,200,13,39,1,159.466079712,69.5317077637,1457571953.02,1457571953.05
98,115,201,12,40,1,159.363052368,69.3328475952,1457571953.1,1457571953.13
95,117,199,13,41,1,159.377746582,69.2907943726,1457571953.17,1457571953.2
96,116,199,13,42,1,159.37928772,69.3153305054,1457571953.24,1457571953.28
97,116,200,13,43,1,159.225387573,69.1741867065,1457571953.33,1457571953.35
96,118,200,14,44,1,158.780029297,69.0085754395,1457571953.42,1457571953.44
-1,-1,-1,-1,45,0,158.220413208,68.9920883179,1457571953.5,1457571953.54
92,120,196,16,46,1,157.35093689,68.8693161011,1457571953.59,1457571953.63
92,120,196,16,47,1,157.010238647,68.8974380493,1457571953.67,1457571953.69
96,115,197,14,48,1,155.837051392,69.2159729004,1457571953.75,1457571953.77
96,114,196,14,49,1,155.328460693,69.251159668,1457571953.82,1457571953.85
92,117,193,16,50,1,154.653549194,69.3307571411,1457571953.91,1457571953.94
92,117,193,16,51,1,154.628967285,69.3688659668,1457571953.98,1457571954.02
94,116,194,16,52,1,154.730270386,69.2877807617,1457571954.07,1457571954.11
94,116,195,15,53,1,155.206039429,69.4748840332,1457571954.17,1457571954.2
96,115,197,14,54,1,155.67868042,69.7059783936,1457571954.26,1457571954.29
97,114,197,14,55,1,155.929763794,69.6417922974,1457571954.36,1457571954.38
95,117,197,15,56,1,156.725112915,69.5949478149,1457571954.46,1457571954.49
92,120,193,19,57,1,157.05557251,69.6285934448,1457571954.53,1457571954.55
94,120,196,18,58,1,157.219558716,69.7508468628,1457571954.59,1457571954.61
94,119,196,17,59,1,157.20123291,69.7780685425,1457571954.67,1457571954.69
93,120,194,19,60,1,157.243530273,70.024559021,1457571954.73,1457571954.75
94,119,195,18,61,1,157.235031128,70.2674865723,1457571954.85,1457571954.87
96,116,197,15,62,1,157.011001587,70.5305862427,1457571954.91,1457571954.94
97,116,196,17,63,1,156.885879517,70.7347259521,1457571954.99,1457571955.01
95,117,196,16,64,1,156.363265991,71.0235900879,1457571955.06,1457571955.08
99,114,198,15,65,1,156.102706909,71.1939239502,1457571955.13,1457571955.15
-1,-1,-1,-1,66,0,155.323791504,71.4055557251,1457571955.2,1457571955.22
95,116,193,18,67,1,155.10585022,71.5124816895,1457571955.26,1457571955.29
95,115,191,19,68,1,154.668502808,71.5663833618,1457571955.33,1457571955.36
