ax,ay,az,gx,gy,gz,time_diff,timestamp,gz_raw,theta
-13338.0,484.0,7458.0,-30.0,18.0,-0.0951219512195,2.40250992775,1457572289.71,-17.0,-0.114265716076
-13362.0,454.0,7396.0,-28.0,17.0,-0.217073170732,0.103136062622,1457572289.81,-19.0,-0.1303650039
-13366.0,442.0,7364.0,-28.0,16.0,-0.217073170732,0.103129863739,1457572289.91,-20.0,-0.152751730419
-13340.0,458.0,7352.0,-30.0,16.0,-0.0951219512195,0.100830078125,1457572290.01,-17.0,-0.168491059687
-13336.0,442.0,7382.0,-31.0,15.0,0.0268292682927,0.108738899231,1457572290.12,-15.0,-0.172204095271
-13364.0,406.0,7366.0,-29.0,18.0,0.0268292682927,0.100221157074,1457572290.22,-15.0,-0.169515234959
-13346.0,428.0,7390.0,-32.0,15.0,0.0878048780488,0.102952957153,1457572290.32,-14.0,-0.163614272781
-13334.0,390.0,7350.0,-28.0,16.0,0.0878048780488,0.101926088333,1457572290.43,-1.0,-0.154664665024
-13374.0,562.0,7402.0,-30.0,14.0,-0.0951219512195,0.102850914001,1457572290.53,-17.0,-0.155040948856
-13252.0,526.0,7522.0,-31.0,13.0,-0.278048780488,0.106854915619,1457572290.64,-20.0,-0.17497851238
-13428.0,840.0,7240.0,-34.0,5.0,-1.3756097561,0.100080966949,1457572290.74,-38.0,-0.257728385053
-13278.0,2308.0,7140.0,-63.0,-13.0,-23.0829268293,0.104379177094,1457572290.84,-394.0,-1.5342093459
-12024.0,-348.0,7894.0,-128.0,-2.0,-103.997560976,0.10705280304,1457572290.95,-1721.0,-8.33637056147
-10390.0,-6788.0,7106.0,-199.0,-69.0,-144.851219512,0.106588125229,1457572291.05,-2391.0,-21.5985330503
-9482.0,-6230.0,7694.0,-175.0,20.0,-151.253658537,0.0972099304199,1457572291.15,-2496.0,-35.9907003464
-6242.0,-9562.0,9656.0,-184.0,4.0,-158.631707317,0.10303401947,1457572291.25,-2617.0,-51.9550677558
-2936.0,-12128.0,8486.0,-192.0,-17.0,-158.631707317,0.106239080429,1457572291.36,-2690.0,-68.8079544681
-566.0,-12130.0,8570.0,-171.0,111.0,-150.034146341,0.101712942123,1457572291.46,-2476.0,-84.5056105224
3702.0,-15844.0,5378.0,-182.0,28.0,-137.351219512,0.102469921112,1457572291.57,-2268.0,-99.2297884063
2650.0,-15326.0,3996.0,-61.0,94.0,-4.66829268293,0.0982491970062,1457572291.66,-17.0,-106.206439922
4308.0,-14148.0,4646.0,-35.0,-35.0,-0.217073170732,0.106445789337,1457572291.77,-92.0,-106.466453235
4220.0,-14390.0,6390.0,-39.0,16.0,-0.339024390244,0.111435174942,1457572291.88,-19.0,-106.497437649
4568.0,-14432.0,6912.0,-35.0,7.0,-0.278048780488,0.10014295578,1457572291.98,-21.0,-106.528335415
4120.0,-14334.0,6398.0,-30.0,12.0,-0.278048780488,0.0962560176849,1457572292.08,-20.0,-106.555099283
3834.0,-14206.0,6206.0,-30.0,18.0,-0.217073170732,0.103036880493,1457572292.18,-19.0,-106.580607194
3892.0,-14388.0,6324.0,-35.0,20.0,-0.217073170732,0.106868982315,1457572292.29,-19.0,-106.603805583
3834.0,-14308.0,6552.0,-30.0,20.0,-0.217073170732,0.102202177048,1457572292.39,-20.0,-106.625990933
3930.0,-14338.0,6376.0,-32.0,17.0,-0.217073170732,0.103091001511,1457572292.49,-16.0,-106.648369224
3984.0,-14390.0,6322.0,-33.0,14.0,-0.217073170732,0.101173877716,1457572292.59,-19.0,-106.670331358
5022.0,-14504.0,6652.0,-29.0,-27.0,-0.217073170732,0.10343003273,1457572292.7,-27.0,-106.692783243
5246.0,-14648.0,7258.0,-18.0,8.0,-0.156097560976,0.101408958435,1457572292.8,-18.0,-106.711704671
3970.0,-14310.0,6372.0,-31.0,17.0,-0.156097560976,0.107918024063,1457572292.91,-18.0,-106.728550411
3372.0,-14554.0,5636.0,-29.0,28.0,0.0268292682927,0.102210044861,1457572293.01,-15.0,-106.73515667
3842.0,-14294.0,6276.0,-29.0,21.0,0.0268292682927,0.100962877274,1457572293.11,-14.0,-106.73244791
3842.0,-14422.0,5958.0,-26.0,14.0,-0.0951219512195,0.101630210876,1457572293.21,-22.0,-106.73591821
4112.0,-14138.0,6414.0,-28.0,13.0,-0.0951219512195,0.102401971817,1457572293.31,-17.0,-106.745658886
3902.0,-14300.0,6288.0,-26.0,20.0,-0.0951219512195,0.104568958282,1457572293.42,-17.0,-106.755605689
3936.0,-14364.0,6296.0,-29.0,13.0,-0.0951219512195,0.105715990067,1457572293.52,-18.0,-106.7656616
3968.0,-14264.0,6282.0,-30.0,15.0,-0.156097560976,0.101892948151,1457572293.63,-17.0,-106.778460349
3956.0,-14374.0,6264.0,-30.0,15.0,-0.156097560976,0.103150129318,1457572293.73,-19.0,-106.794561832
3936.0,-14334.0,6314.0,-29.0,16.0,-0.156097560976,0.101199865341,1457572293.83,-18.0,-106.810358884
3948.0,-14378.0,6310.0,-29.0,16.0,-0.156097560976,0.103039979935,1457572293.93,-18.0,-106.826443174
3948.0,-14334.0,6310.0,-33.0,14.0,-0.0341463414634,0.103379011154,1457572294.04,-14.0,-106.836276787
4006.0,-14384.0,6290.0,-25.0,14.0,-0.0341463414634,0.105142116547,1457572294.14,-16.0,-106.839867006
3916.0,-14358.0,6280.0,-30.0,16.0,-0.0341463414634,0.105557918549,1457572294.25,-17.0,-106.843471422
3926.0,-14384.0,6240.0,-30.0,17.0,-0.0951219512195,0.0988430976868,1457572294.35,-15.0,-106.849860062
3906.0,-14356.0,6234.0,-30.0,17.0,0.0268292682927,0.103281021118,1457572294.45,-17.0,-106.853386731
4000.0,-14446.0,6332.0,-34.0,24.0,-0.0951219512195,0.103515863419,1457572294.55,-6.0,-106.856921419
3894.0,-14462.0,6230.0,-30.0,13.0,-0.0341463414634,0.106132984161,1457572294.66,-18.0,-106.863781234
3990.0,-14348.0,6354.0,-30.0,14.0,-0.0341463414634,0.101280927658,1457572294.76,-16.0,-106.867239607
3910.0,-14424.0,6356.0,-30.0,13.0,0.0878048780488,0.102651119232,1457572294.86,-12.0,-106.864485552
3910.0,-14216.0,6272.0,-29.0,18.0,0.0878048780488,0.103020906448,1457572294.97,-14.0,-106.855439814
3868.0,-14406.0,6290.0,-28.0,13.0,0.0878048780488,0.101587057114,1457572295.07,-16.0,-106.846519975
3928.0,-14354.0,6728.0,-39.0,11.0,-0.0341463414634,0.101671934128,1457572295.17,-10.0,-106.843792191
3994.0,-14296.0,6286.0,-27.0,14.0,-0.0951219512195,0.108276128769,1457572295.28,-17.0,-106.850790527
3928.0,-14496.0,6218.0,-30.0,16.0,-0.156097560976,0.100363969803,1457572295.38,-18.0,-106.86339722
3936.0,-14352.0,6326.0,-33.0,15.0,-0.156097560976,0.102396965027,1457572295.48,-19.0,-106.879381137
3918.0,-14462.0,6272.0,-31.0,16.0,-0.156097560976,0.102548122406,1457572295.58,-18.0,-106.895388649
3832.0,-14332.0,6256.0,-29.0,11.0,-0.156097560976,0.105341911316,1457572295.69,-18.0,-106.911832264
3794.0,-14308.0,6244.0,-28.0,18.0,-0.0341463414634,0.102402925491,1457572295.79,-16.0,-106.92157303
3866.0,-14380.0,6210.0,-27.0,19.0,-0.0341463414634,0.103775024414,1457572295.89,-16.0,-106.925116567
