,faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp_x,ax,ay,az,gx,gy,gz,time_diff,timestamp_y,gz_raw,theta
0,106,129,207,28,53,1,163.166671753,70.5,1457569180.33,1457569183.91,-13336.0,1040.0,7426.0,-37.0,22.0,-0.156097560976,0.110577106476,1457569183.87,-14.0,-0.771758508101
1,105,133,206,32,54,1,162.818664551,70.2819290161,1457569183.96,1457569183.98,-13278.0,872.0,7356.0,-34.0,15.0,0.0268292682927,0.0969519615173,1457569183.97,-18.0,-0.77802491537
2,109,131,209,31,55,1,162.869888306,71.1073608398,1457569184.04,1457569184.06,-13564.0,1034.0,6970.0,-26.0,23.0,0.0268292682927,0.099977016449,1457569184.07,-15.0,-0.775342605172
3,105,133,202,36,56,1,162.505081177,72.6894378662,1457569184.11,1457569184.14,-13614.0,1532.0,6446.0,-31.0,1.0,0.0268292682927,0.10680603981,1457569184.18,-7.0,-0.772477077275
4,107,132,203,36,57,1,162.407180786,73.1079940796,1457569184.18,1457569184.21,-13614.0,1532.0,6446.0,-31.0,1.0,0.0268292682927,0.10680603981,1457569184.18,-7.0,-0.772477077275
5,107,132,202,37,58,1,162.2915802,73.6134719849,1457569184.26,1457569184.28,-13314.0,1102.0,7314.0,-34.0,5.0,-0.0951219512195,0.100517988205,1457569184.28,-20.0,-0.775909398823
6,106,133,200,39,59,1,162.042663574,73.6600418091,1457569184.33,1457569184.36,-13356.0,1086.0,7270.0,-27.0,14.0,-0.0951219512195,0.103684902191,1457569184.38,-17.0,-0.785772109032
7,106,133,201,38,60,1,161.573287964,73.4061813354,1457569184.41,1457569184.45,-13348.0,1040.0,7226.0,-27.0,21.0,-0.0951219512195,0.102415084839,1457569184.48,-16.0,-0.795514031736
8,109,129,202,36,61,1,161.25743103,73.2615280151,1457569184.51,1457569184.54,-13378.0,1066.0,7266.0,-28.0,15.0,-0.156097560976,0.103147983551,1457569184.59,-20.0,-0.808470424792
9,108,129,201,36,62,1,160.408035278,73.2713394165,1457569184.59,1457569184.63,-13378.0,1066.0,7266.0,-28.0,15.0,-0.156097560976,0.103147983551,1457569184.59,-20.0,-0.808470424792
10,106,131,200,37,63,1,160.121200562,72.8128814697,1457569184.69,1457569184.72,-13440.0,1096.0,7168.0,-29.0,19.0,-0.217073170732,0.101718902588,1457569184.69,-18.0,-0.827449683445
11,104,131,199,36,64,1,159.901107788,71.8086242676,1457569184.77,1457569184.79,-13410.0,1068.0,7214.0,-27.0,15.0,-0.217073170732,0.102303981781,1457569184.79,-19.0,-0.849657133149
12,104,130,199,35,65,1,159.605957031,71.1063613892,1457569184.84,1457569184.86,-13354.0,1056.0,7404.0,-29.0,16.0,-0.339024390244,0.102652072906,1457569184.89,-21.0,-0.878199416835
13,104,131,200,35,66,1,159.331985474,71.3245697021,1457569184.91,1457569184.93,-13354.0,1056.0,7404.0,-29.0,16.0,-0.339024390244,0.102652072906,1457569184.89,-21.0,-0.878199416835
14,105,129,198,36,67,1,159.31578064,71.572593689,1457569184.99,1457569185.01,-13416.0,1134.0,7246.0,-32.0,17.0,-1.74146341463,0.107424020767,1457569185.0,-44.0,-0.989946599414
15,105,129,198,36,68,1,159.522903442,71.7811203003,1457569185.06,1457569185.08,-13310.0,972.0,7398.0,-36.0,20.0,-6.43658536585,0.102807998657,1457569185.1,-121.0,-1.41033101344
16,105,129,199,35,69,1,159.613098145,71.7189102173,1457569185.12,1457569185.15,-13310.0,972.0,7398.0,-36.0,20.0,-6.43658536585,0.102807998657,1457569185.1,-121.0,-1.41033101344
17,107,127,202,32,70,1,159.861038208,71.4098739624,1457569185.2,1457569185.24,-13334.0,730.0,7304.0,-42.0,16.0,-6.43658536585,0.100995063782,1457569185.21,-228.0,-2.060394363
18,102,131,197,36,71,1,160.019882202,71.2607650757,1457569185.29,1457569185.34,-13864.0,-462.0,6588.0,-40.0,2.0,-5.9487804878,0.102153778076,1457569185.31,-113.0,-2.6930003204
19,105,130,202,33,72,1,159.923934937,70.9317321777,1457569185.41,1457569185.45,-13234.0,358.0,7442.0,-32.0,8.0,-0.156097560976,0.102231025696,1457569185.41,-16.0,-3.00505429274
20,105,129,199,35,73,1,159.749710083,70.1845016479,1457569185.5,1457569185.53,-13364.0,336.0,7216.0,-32.0,13.0,-0.0951219512195,0.102745056152,1457569185.51,-18.0,-3.01796007418
21,108,126,205,29,74,1,159.574234009,69.6526260376,1457569185.6,1457569185.62,-13462.0,376.0,7206.0,-28.0,21.0,-0.0951219512195,0.10233092308,1457569185.62,-17.0,-3.02769399125
22,104,128,199,33,75,1,159.455612183,69.5077133179,1457569185.67,1457569185.69,-12352.0,1172.0,7112.0,-49.0,-95.0,-0.0951219512195,0.106489181519,1457569185.72,36.0,-3.03782344998
23,104,129,199,34,76,1,159.311508179,69.7498397827,1457569185.74,1457569185.76,-12352.0,1172.0,7112.0,-49.0,-95.0,-0.0951219512195,0.106489181519,1457569185.72,36.0,-3.03782344998
24,104,128,199,33,77,1,159.224990845,69.9421081543,1457569185.81,1457569185.83,-13382.0,486.0,7410.0,-26.0,14.0,-0.0341463414634,0.102674007416,1457569185.82,-19.0,-3.0444596968
25,104,129,200,33,78,1,159.195297241,70.0287704468,1457569185.88,1457569185.9,-13414.0,418.0,7374.0,-27.0,18.0,-0.156097560976,0.10348200798,1457569185.93,-16.0,-3.05430310732
26,105,128,202,31,79,1,159.280731201,69.990486145,1457569185.95,1457569185.98,-13414.0,418.0,7374.0,-27.0,18.0,-0.156097560976,0.10348200798,1457569185.93,-16.0,-3.05430310732
27,104,128,199,33,80,1,159.32862854,70.1619033813,1457569186.04,1457569186.06,-13378.0,442.0,7260.0,-28.0,21.0,-0.0951219512195,0.100805997849,1457569186.03,-18.0,-3.06696532412
28,103,130,198,35,81,1,159.15852356,70.2197952271,1457569186.12,1457569186.15,-13468.0,370.0,7294.0,-31.0,19.0,-0.156097560976,0.111238956451,1457569186.14,-17.0,-3.08093802231
29,105,128,200,33,82,1,159.035873413,70.4820022583,1457569186.22,1457569186.25,-13396.0,378.0,7270.0,-30.0,15.0,-0.156097560976,0.0938990116119,1457569186.23,-19.0,-3.095595429
30,104,129,199,34,83,1,159.237792969,70.597328186,1457569186.33,1457569186.36,-13522.0,374.0,7160.0,-30.0,16.0,-0.156097560976,0.106052875519,1457569186.34,-18.0,-3.1121500242
31,107,128,203,32,84,1,159.335403442,70.5096130371,1457569186.43,1457569186.46,-13430.0,458.0,7278.0,-30.0,17.0,-0.156097560976,0.102919101715,1457569186.44,-16.0,-3.12821544496
32,106,129,201,34,85,1,159.362304688,70.1878051758,1457569186.52,1457569186.56,-13418.0,420.0,7296.0,-29.0,15.0,-0.217073170732,0.102051973343,1457569186.54,-19.0,-3.14725684974
33,104,129,201,32,86,1,159.284439087,69.8608474731,1457569186.62,1457569186.64,-13464.0,458.0,7274.0,-29.0,14.0,-0.278048780488,0.103327035904,1457569186.65,-20.0,-3.17283659156
34,106,128,202,32,87,1,159.272766113,69.777633667,1457569186.69,1457569186.72,-12922.0,1034.0,9424.0,-37.0,31.0,-0.278048780488,0.106215953827,1457569186.75,-48.0,-3.20236980799
35,104,129,200,33,88,1,159.251663208,69.8593139648,1457569186.77,1457569186.79,-12922.0,1034.0,9424.0,-37.0,31.0,-0.278048780488,0.106215953827,1457569186.75,-48.0,-3.20236980799
36,105,127,200,32,89,1,159.106674194,70.128692627,1457569186.84,1457569186.86,-13486.0,468.0,7094.0,-33.0,21.0,-0.156097560976,0.102114915848,1457569186.86,-18.0,-3.22453621655
37,105,128,201,32,90,1,159.181564331,70.0236740112,1457569186.91,1457569186.94,-13400.0,386.0,7352.0,-30.0,18.0,-0.156097560976,0.0999760627747,1457569186.96,-17.0,-3.2401422361
38,106,128,202,32,91,1,159.347595215,70.0531616211,1457569186.98,1457569187.01,-13400.0,386.0,7352.0,-30.0,18.0,-0.156097560976,0.0999760627747,1457569186.96,-17.0,-3.2401422361
39,107,128,203,32,92,1,159.348678589,70.2461776733,1457569187.06,1457569187.08,-13368.0,442.0,7272.0,-28.0,15.0,-0.0951219512195,0.104620933533,1457569187.06,-20.0,-3.25328364605
