ax,ay,az,gx,gy,gz,time_diff,timestamp,gz_raw,theta
-13248.0,-440.0,7540.0,-28.0,17.0,0.0268292682927,2.40434098244,1457571633.29,-15.0,0.0322533546424
-13364.0,-570.0,7344.0,-24.0,18.0,4.90487804878,0.102661132812,1457571633.39,65.0,0.285400684578
-13258.0,-152.0,7412.0,-23.0,23.0,4.90487804878,0.101450920105,1457571633.49,78.0,0.783005075629
-13326.0,142.0,7442.0,-23.0,17.0,4.41707317073,0.10641002655,1457571633.6,57.0,1.27897961401
-13338.0,56.0,7388.0,-27.0,17.0,0.880487804878,0.0985679626465,1457571633.7,-6.0,1.54006451019
-13374.0,-58.0,7426.0,-29.0,15.0,0.880487804878,0.102823019028,1457571633.8,-1.0,1.63059892451
-13394.0,-290.0,7346.0,-23.0,18.0,7.16097560976,0.108840942383,1457571633.91,102.0,2.0682191526
-13500.0,568.0,7324.0,-2.0,31.0,15.6365853659,0.0992810726166,1457571634.01,241.0,3.19990230595
-13292.0,818.0,7518.0,-15.0,18.0,16.0024390244,0.106011867523,1457571634.11,247.0,4.87695833706
-13142.0,1466.0,7686.0,-7.0,26.0,16.856097561,0.0984270572662,1457571634.21,280.0,6.49404286815
-13220.0,1514.0,7026.0,-12.0,22.0,16.856097561,0.106622934341,1457571634.32,261.0,8.29128945165
-13194.0,2626.0,7400.0,-19.0,11.0,11.1853658537,0.102900981903,1457571634.42,168.0,9.73403651133
-12998.0,2428.0,7448.0,-28.0,14.0,4.35609756098,0.102279186249,1457571634.52,56.0,10.5288206269
-13046.0,2334.0,7492.0,-28.0,16.0,0.0268292682927,0.102454900742,1457571634.63,-15.0,10.7533467935
-13120.0,2382.0,7468.0,-30.0,14.0,0.0268292682927,0.104492902756,1457571634.73,-16.0,10.7561502617
-12846.0,2218.0,6586.0,-33.0,14.0,0.575609756098,0.10001707077,1457571634.83,-6.0,10.7862773549
-13038.0,2330.0,7212.0,-28.0,16.0,0.575609756098,0.10408115387,1457571634.93,11.0,10.8461874825
