,Unnamed: 0,faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp_x,ax,ay,az,gx,gy,gz,time_diff,timestamp_y,gz_raw,theta
35,35,91,129,201,19,64,1,165.654571533,63.2892951965,1457567267.47,1457567267.49,-13390.0,-250.0,7378.0,-29.0,17.0,-0.0951219512195,0.10350394249,1457567267.52,-17.0,-0.614357828803
36,36,91,128,201,18,65,1,165.740692139,63.2272949219,1457567267.53,1457567267.56,-13390.0,-250.0,7378.0,-29.0,17.0,-0.0951219512195,0.10350394249,1457567267.52,-17.0,-0.614357828803
37,37,93,128,204,17,66,1,165.908935547,63.1428413391,1457567267.61,1457567267.63,-13428.0,-248.0,7392.0,-28.0,16.0,-0.0951219512195,0.101378917694,1457567267.62,-19.0,-0.624001189267
38,38,91,130,203,18,67,1,166.221740723,63.1033325195,1457567267.67,1457567267.7,-13374.0,-232.0,7310.0,-28.0,15.0,-0.0951219512195,0.102363109589,1457567267.72,-17.0,-0.633738167984
39,39,89,130,201,18,68,1,166.469619751,63.0730667114,1457567267.74,1457567267.77,-13374.0,-232.0,7310.0,-28.0,15.0,-0.0951219512195,0.102363109589,1457567267.72,-17.0,-0.633738167984
40,40,91,129,204,16,69,1,166.672393799,63.0061264038,1457567267.81,1457567267.84,-13300.0,-248.0,7296.0,-30.0,16.0,-0.0951219512195,0.102958917618,1457567267.83,-17.0,-0.643531821123
41,41,91,130,204,17,70,1,166.957977295,62.8500862122,1457567267.89,1457567267.93,-13386.0,-192.0,7314.0,-29.0,16.0,-0.0951219512195,0.107496023178,1457567267.93,-17.0,-0.653757052596
42,42,90,131,202,19,71,1,167.35597229,62.6969299316,1457567267.99,1457567268.03,-13406.0,-326.0,7296.0,-28.0,16.0,-0.0951219512195,0.100793123245,1457567268.03,-17.0,-0.663344691149
43,43,91,130,206,15,72,1,168.493270874,62.4385871887,1457567268.09,1457567268.12,-13406.0,-228.0,7376.0,-28.0,17.0,-0.156097560976,0.102673053741,1457567268.14,-18.0,-0.676241428387
44,44,91,131,207,15,73,1,169.430938721,62.2493896484,1457567268.19,1457567268.22,-13390.0,-302.0,7338.0,-29.0,18.0,-0.156097560976,0.102259874344,1457567268.24,-19.0,-0.692203945358
45,45,91,135,214,12,74,1,176.106826782,61.2474861145,1457567268.28,1457567268.31,-13494.0,-608.0,7276.0,-31.0,16.0,2.40487804878,0.102366924286,1457567268.34,24.0,-0.577103574392
46,46,-1,-1,-1,-1,75,0,185.362380981,59.5683364868,1457567268.37,1457567268.4,-13360.0,-438.0,7356.0,-10.0,6.0,33.0146341463,0.104412078857,1457567268.45,526.0,1.27200887581
47,47,-1,-1,-1,-1,76,0,194.065383911,59.344329834,1457567268.44,1457567268.46,-13360.0,-438.0,7356.0,-10.0,6.0,33.0146341463,0.104412078857,1457567268.45,526.0,1.27200887581
48,48,-1,-1,-1,-1,77,0,201.815811157,59.5963058472,1457567268.5,1457567268.52,-13106.0,190.0,6996.0,27.0,10.0,71.9780487805,0.102128982544,1457567268.55,1165.0,6.63340681675
49,49,-1,-1,-1,-1,78,0,206.240356445,59.8516464233,1457567268.57,1457567268.59,-13106.0,190.0,6996.0,27.0,10.0,71.9780487805,0.102128982544,1457567268.55,1165.0,6.63340681675
50,50,-1,-1,-1,-1,79,0,208.649017334,60.8190917969,1457567268.64,1457567268.66,-10698.0,2146.0,8296.0,88.0,35.0,118.014634146,0.104888916016,1457567268.65,1920.0,16.5974700983
51,51,-1,-1,-1,-1,80,0,209.861724854,61.7404899597,1457567268.7,1457567268.72,-10906.0,6514.0,6252.0,94.0,69.0,118.014634146,0.106109142303,1457567268.76,1960.0,29.1199017068
52,52,-1,-1,-1,-1,81,0,210.142120361,62.0694580078,1457567268.77,1457567268.79,-10906.0,6514.0,6252.0,94.0,69.0,118.014634146,0.106109142303,1457567268.76,1960.0,29.1199017068
53,53,-1,-1,-1,-1,82,0,209.638397217,61.9954338074,1457567268.84,1457567268.86,-8934.0,10104.0,6868.0,65.0,10.0,103.624390244,0.100780010223,1457567268.86,1684.0,40.2882932788
54,54,-1,-1,-1,-1,83,0,207.946075439,61.4666557312,1457567268.91,1457567268.92,-8120.0,12108.0,7302.0,52.0,52.0,73.3804878049,0.100244998932,1457567268.96,1188.0,49.1602201843
55,55,-1,-1,-1,-1,84,0,204.74230957,60.9344787598,1457567268.97,1457567268.98,-8120.0,12108.0,7302.0,52.0,52.0,73.3804878049,0.100244998932,1457567268.96,1188.0,49.1602201843
56,56,-1,-1,-1,-1,85,0,200.358810425,59.7817573547,1457567269.03,1457567269.05,-7142.0,12394.0,7004.0,-3.0,29.0,23.9292682927,0.102556943893,1457567269.06,377.0,54.1501157825
57,57,-1,-1,-1,-1,86,0,196.020294189,58.7423591614,1457567269.1,1457567269.12,-7044.0,11588.0,6384.0,-4.0,35.0,23.9292682927,0.103276968002,1457567269.17,335.0,56.6214580582
58,58,-1,-1,-1,-1,87,0,191.651977539,57.6042900085,1457567269.16,1457567269.18,-7044.0,11588.0,6384.0,-4.0,35.0,23.9292682927,0.103276968002,1457567269.17,335.0,56.6214580582
59,59,84,148,220,12,88,1,187.855056763,56.5304260254,1457567269.24,1457567269.26,-6080.0,11308.0,7062.0,-17.0,11.0,29.6609756098,0.10585808754,1457567269.27,471.0,59.4579384234
60,60,85,139,213,11,89,1,182.333709717,55.3332519531,1457567269.3,1457567269.34,-5146.0,12472.0,7686.0,13.0,26.0,29.6609756098,0.101713895798,1457567269.37,646.0,62.4748718058
61,61,86,137,213,10,90,1,180.605728149,55.2487487793,1457567269.39,1457567269.42,-5146.0,12472.0,7686.0,13.0,26.0,29.6609756098,0.101713895798,1457567269.37,646.0,62.4748718058
62,62,86,135,211,10,91,1,176.078414917,57.3578453064,1457567269.48,1457567269.51,-4348.0,14046.0,7160.0,-4.0,24.0,28.4414634146,0.103675127029,1457567269.48,451.0,65.4867606791
63,63,87,134,210,11,92,1,175.139007568,57.7055892944,1457567269.57,1457567269.6,-4018.0,13164.0,6658.0,-9.0,14.0,14.2951219512,0.101593971252,1457567269.58,219.0,67.6576503916
64,64,87,132,208,11,93,1,173.485641479,58.2341194153,1457567269.68,1457567269.7,-3498.0,13274.0,6848.0,-17.0,15.0,11.4902439024,0.102061986923,1457567269.68,173.0,68.9735032279
65,65,87,131,208,10,94,1,172.67288208,58.6283950806,1457567269.77,1457567269.8,-3190.0,13758.0,6948.0,-19.0,10.0,4.96585365854,0.102951049805,1457567269.78,66.0,69.8205894877
66,66,89,129,206,12,95,1,166.467514038,63.0200080872,1457567269.87,1457567269.89,-3786.0,14048.0,6154.0,-20.0,37.0,-1.80243902439,0.106667041779,1457567269.89,-45.0,69.9893055282
67,67,87,130,204,13,96,1,166.110473633,63.2396965027,1457567269.94,1457567269.96,-3710.0,12940.0,6650.0,-35.0,20.0,-1.80243902439,0.101931810379,1457567269.99,-114.0,69.8055796553
68,68,87,130,204,13,97,1,165.879074097,63.443862915,1457567270.0,1457567270.02,-3710.0,12940.0,6650.0,-35.0,20.0,-1.80243902439,0.101931810379,1457567269.99,-114.0,69.8055796553
69,69,88,129,204,13,98,1,165.578689575,63.7121429443,1457567270.07,1457567270.09,-3638.0,13404.0,6756.0,-24.0,13.0,-0.217073170732,0.102107048035,1457567270.09,-16.0,69.702476441
70,70,87,130,204,13,99,1,165.437194824,64.0893249512,1457567270.14,1457567270.16,-3656.0,13326.0,6792.0,-26.0,18.0,-0.0341463414634,0.103183984756,1457567270.2,-19.0,69.6895155258
71,71,89,128,205,12,100,1,165.314865112,64.3846054077,1457567270.2,1457567270.22,-3656.0,13326.0,6792.0,-26.0,18.0,-0.0341463414634,0.103183984756,1457567270.2,-19.0,69.6895155258
72,72,90,129,207,12,101,1,165.253311157,64.5658340454,1457567270.27,1457567270.29,-3696.0,13388.0,6808.0,-35.0,8.0,-0.217073170732,0.102282047272,1457567270.3,-14.0,69.6766679028
73,73,90,128,206,12,102,1,165.083480835,64.6945114136,1457567270.34,1457567270.36,-3594.0,13480.0,6792.0,-28.0,17.0,-0.217073170732,0.110503911972,1457567270.41,-19.0,69.6526804683
74,74,90,128,206,12,103,1,165.192153931,64.778465271,1457567270.4,1457567270.43,-3594.0,13480.0,6792.0,-28.0,17.0,-0.217073170732,0.110503911972,1457567270.41,-19.0,69.6526804683
