faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp
96,127,211,12,17,1,168.25,62.5,1457567442.88,1457567444.05
95,127,208,14,18,1,167.059799194,60.8717041016,1457567444.1,1457567444.12
95,122,205,12,19,1,163.75213623,61.2420272827,1457567444.17,1457567444.19
98,117,206,9,20,1,162.058502197,60.8384475708,1457567444.24,1457567444.26
95,116,203,8,21,1,158.584182739,58.8537826538,1457567444.3,1457567444.33
93,112,201,4,22,1,157.32258606,54.2921218872,1457567444.37,1457567444.4
88,115,201,2,23,1,157.622039795,51.2577590942,1457567444.45,1457567444.47
-1,-1,-1,-1,24,0,160.662796021,44.1007537842,1457567444.52,1457567444.54
-1,-1,-1,-1,25,0,163.719848633,43.4225387573,1457567444.63,1457567444.65
-1,-1,-1,-1,26,0,167.066802979,47.0464286804,1457567444.7,1457567444.72
83,128,207,4,27,1,168.68762207,49.3322601318,1457567444.77,1457567444.79
86,131,209,8,28,1,170.4921875,53.7401428223,1457567444.83,1457567444.86
89,130,211,8,29,1,170.786376953,56.4000930786,1457567444.91,1457567444.93
95,128,212,11,30,1,170.263671875,60.9796066284,1457567444.98,1457567445.0
94,127,207,14,31,1,168.787139893,61.7523422241,1457567445.06,1457567445.09
95,126,208,13,32,1,167.351226807,61.1196594238,1457567445.14,1457567445.17
93,128,207,14,33,1,166.85585022,61.3275756836,1457567445.23,1457567445.26
95,126,206,15,34,1,166.50177002,63.8554992676,1457567445.31,1457567445.33
97,126,207,16,35,1,166.153717041,65.0911407471,1457567445.38,1457567445.4
97,125,207,15,36,1,166.116546631,65.2855834961,1457567445.45,1457567445.48
96,126,205,17,37,1,166.206893921,65.3911743164,1457567445.54,1457567445.58
94,127,203,18,38,1,165.738128662,65.4799041748,1457567445.64,1457567445.67
96,125,204,17,39,1,164.854217529,64.8749694824,1457567445.74,1457567445.77
95,124,200,19,40,1,163.01159668,65.247833252,1457567445.85,1457567445.88
98,121,201,18,41,1,162.391876221,65.9267272949,1457567445.95,1457567445.97
96,122,200,18,42,1,162.230361938,65.2523040771,1457567446.05,1457567446.09
93,125,199,19,43,1,162.838912964,63.7239875793,1457567446.13,1457567446.16
94,126,202,18,44,1,164.80418396,63.5184173584,1457567446.21,1457567446.24
94,127,203,18,45,1,166.774398804,63.4938735962,1457567446.28,1457567446.31
94,128,205,17,46,1,167.501098633,63.3018493652,1457567446.36,1457567446.38
94,128,206,16,47,1,168.393768311,62.9229393005,1457567446.43,1457567446.46
93,129,207,15,48,1,168.639862061,62.7350921631,1457567446.51,1457567446.54
93,128,206,15,49,1,169.05039978,62.5645446777,1457567446.59,1457567446.62
93,129,207,15,50,1,169.223968506,62.5967712402,1457567446.67,1457567446.7
92,132,207,17,51,1,170.600097656,62.7878952026,1457567446.75,1457567446.77
92,132,208,16,52,1,170.849700928,62.7789382935,1457567446.81,1457567446.84
94,131,209,16,53,1,170.663070679,62.7482910156,1457567446.89,1457567446.92
93,131,207,17,54,1,169.905776978,62.6918754578,1457567446.98,1457567447.0
94,129,208,15,55,1,169.223419189,63.1084022522,1457567447.06,1457567447.08
94,129,206,17,56,1,168.433990479,63.5598831177,1457567447.13,1457567447.16
94,128,205,17,57,1,167.575164795,63.6827125549,1457567447.2,1457567447.23
94,128,205,17,58,1,167.218170166,63.721206665,1457567447.29,1457567447.33
95,127,206,16,59,1,166.772521973,64.0233078003,1457567447.4,1457567447.43
94,128,205,17,60,1,166.771484375,64.0393981934,1457567447.51,1457567447.54
94,129,205,18,61,1,166.876724243,64.1610336304,1457567447.6,1457567447.65
94,129,205,18,62,1,167.076721191,64.2551498413,1457567447.7,1457567447.73
94,128,205,17,63,1,167.218597412,64.2050476074,1457567447.8,1457567447.83
97,127,207,17,64,1,167.776000977,64.2108840942,1457567447.88,1457567447.91
96,128,207,17,65,1,168.103591919,64.2864227295,1457567447.98,1457567448.02
95,128,208,15,66,1,168.43687439,64.2038421631,1457567448.08,1457567448.12
98,127,210,15,67,1,171.131378174,63.6295394897,1457567448.18,1457567448.21
-1,-1,-1,-1,68,0,179.991912842,62.2773284912,1457567448.26,1457567448.28
-1,-1,-1,-1,69,0,191.791748047,61.9555969238,1457567448.34,1457567448.36
-1,-1,-1,-1,70,0,197.615768433,61.5847969055,1457567448.43,1457567448.45
-1,-1,-1,-1,71,0,201.031829834,61.1092376709,1457567448.53,1457567448.55
-1,-1,-1,-1,72,0,201.599227905,61.3857002258,1457567448.63,1457567448.65
-1,-1,-1,-1,73,0,196.505691528,60.9160270691,1457567448.7,1457567448.72
-1,-1,-1,-1,74,0,193.840087891,60.50390625,1457567448.78,1457567448.82
-1,-1,-1,-1,75,0,185.051727295,58.3383331299,1457567448.87,1457567448.89
-1,-1,-1,-1,76,0,182.331695557,57.5820541382,1457567448.94,1457567448.96
91,132,214,9,77,1,178.046646118,56.7708206177,1457567449.0,1457567449.03
88,131,209,10,78,1,174.606124878,56.6321716309,1457567449.07,1457567449.09
90,128,209,9,79,1,173.176361084,56.7923049927,1457567449.15,1457567449.18
91,126,206,11,80,1,171.216888428,57.2256546021,1457567449.23,1457567449.26
91,126,207,10,81,1,170.389205933,57.9569244385,1457567449.3,1457567449.33
92,126,207,11,82,1,170.265136719,58.2115440369,1457567449.38,1457567449.42
92,125,206,11,83,1,170.061019897,58.5987701416,1457567449.48,1457567449.51
91,126,205,12,84,1,169.940826416,58.9085540771,1457567449.57,1457567449.6
92,125,205,12,85,1,170.035491943,59.2190322876,1457567449.65,1457567449.69
92,126,204,14,86,1,170.131942749,59.2871780396,1457567449.75,1457567449.77
91,126,205,12,87,1,170.311019897,59.4433517456,1457567449.82,1457567449.84
91,126,205,12,88,1,170.316452026,59.4844970703,1457567449.89,1457567449.91
90,127,204,13,89,1,170.210693359,59.6238555908,1457567449.96,1457567449.99
91,126,204,13,90,1,170.335693359,59.7053756714,1457567450.04,1457567450.06
90,127,205,12,91,1,170.514373779,59.7554626465,1457567450.11,1457567450.13
91,126,204,13,92,1,170.562988281,59.8251152039,1457567450.18,1457567450.2
91,126,204,13,93,1,170.655776978,59.8621292114,1457567450.26,1457567450.29
91,126,205,12,94,1,170.795898438,59.8966522217,1457567450.34,1457567450.37
92,126,205,13,95,1,171.015716553,59.9847183228,1457567450.42,1457567450.46
91,128,206,13,96,1,171.248504639,59.973815918,1457567450.52,1457567450.55
91,127,205,13,97,1,171.291030884,60.0481681824,1457567450.61,1457567450.65
92,127,206,13,98,1,171.161712646,60.0713348389,1457567450.71,1457567450.74
93,127,207,13,99,1,171.126342773,60.079284668,1457567450.79,1457567450.82
93,127,207,13,100,1,166.172775269,63.9849281311,1457567450.88,1457567450.9
92,127,207,12,101,1,165.988815308,64.0033798218,1457567450.95,1457567450.98
93,126,207,12,102,1,165.904724121,64.0250091553,1457567451.03,1457567451.05
94,125,208,11,103,1,165.887207031,64.0628967285,1457567451.1,1457567451.12
94,125,208,11,104,1,165.945343018,64.0936889648,1457567451.18,1457567451.2
92,127,206,13,105,1,166.089096069,64.0595092773,1457567451.25,1457567451.28
92,127,206,13,106,1,166.072113037,64.0704727173,1457567451.33,1457567451.36
93,126,206,13,107,1,166.183395386,64.1339874268,1457567451.41,1457567451.44
92,127,207,12,108,1,166.230651855,64.0858688354,1457567451.49,1457567451.51
93,127,208,12,109,1,166.263366699,64.0600738525,1457567451.55,1457567451.59
93,126,208,11,110,1,166.274200439,64.0787277222,1457567451.64,1457567451.66
92,127,207,12,111,1,166.224197388,64.0998306274,1457567451.72,1457567451.74
91,128,206,13,112,1,166.123138428,64.1628646851,1457567451.79,1457567451.82
91,128,206,13,113,1,166.01159668,64.1668319702,1457567451.87,1457567451.9
91,128,205,14,114,1,165.73651123,64.0586547852,1457567451.95,1457567451.97
90,128,204,14,115,1,165.324584961,64.0090179443,1457567452.03,1457567452.05
90,128,204,14,116,1,165.051330566,63.9749641418,1457567452.11,1457567452.14
91,127,203,15,117,1,164.562423706,63.8681755066,1457567452.19,1457567452.21
92,126,204,14,118,1,164.501663208,63.8298797607,1457567452.28,1457567452.31
92,126,205,13,119,1,164.60206604,63.7168159485,1457567452.37,1457567452.39
91,127,203,15,120,1,164.70072937,63.7192955017,1457567452.45,1457567452.47
93,126,206,13,121,1,164.874679565,63.7866020203,1457567452.54,1457567452.57
93,126,207,12,122,1,164.995239258,63.7383270264,1457567452.63,1457567452.66
93,126,206,13,123,1,164.923202515,63.8424415588,1457567452.73,1457567452.76
93,127,207,13,124,1,164.860931396,63.8319282532,1457567452.82,1457567452.86
92,127,205,14,125,1,164.848831177,63.814289093,1457567452.93,1457567452.97
91,127,205,13,126,1,164.87677002,63.9338798523,1457567453.03,1457567453.06
91,126,204,13,127,1,164.913024902,63.8973121643,1457567453.12,1457567453.14
91,127,204,14,128,1,164.987106323,63.8984947205,1457567453.19,1457567453.21
93,126,206,13,129,1,165.04473877,63.9423370361,1457567453.28,1457567453.3
93,126,207,12,130,1,165.271224976,63.9271278381,1457567453.37,1457567453.4
93,126,206,13,131,1,165.260543823,63.9192771912,1457567453.47,1457567453.5
91,128,206,13,132,1,165.272964478,63.9092102051,1457567453.57,1457567453.6
92,127,206,13,133,1,165.201385498,63.9525909424,1457567453.65,1457567453.68
91,127,205,13,134,1,165.162002563,63.9349708557,1457567453.73,1457567453.76
92,127,205,14,135,1,165.119522095,63.8736991882,1457567453.81,1457567453.83
91,127,205,13,136,1,165.151168823,63.9073638916,1457567453.9,1457567453.93
92,127,205,14,137,1,165.118453979,63.9516105652,1457567454.0,1457567454.03
91,127,205,13,138,1,165.22807312,63.9781074524,1457567454.11,1457567454.15
92,127,206,13,139,1,165.261657715,64.0267486572,1457567454.21,1457567454.25
92,127,205,14,140,1,165.121444702,64.0143127441,1457567454.31,1457567454.36
90,129,204,15,141,1,164.95703125,63.9604187012,1457567454.42,1457567454.48
89,127,200,16,142,1,164.824523926,63.9389152527,1457567454.54,1457567454.57
89,128,202,15,143,1,164.809265137,63.9500732422,1457567454.62,1457567454.65
89,128,202,15,144,1,164.832687378,63.9599189758,1457567454.72,1457567454.75
90,127,204,13,145,1,165.03503418,63.9036254883,1457567454.82,1457567454.85
92,127,205,14,146,1,165.188796997,63.8773193359,1457567454.91,1457567454.93
91,127,205,13,147,1,165.366195679,63.9130439758,1457567454.99,1457567455.01
92,127,206,13,148,1,165.53338623,63.920879364,1457567455.06,1457567455.1
93,127,206,14,149,1,165.529220581,63.8788261414,1457567455.17,1457567455.2
93,126,207,12,150,1,165.498519897,63.8011894226,1457567455.25,1457567455.29
92,126,206,12,151,1,165.58203125,63.7548675537,1457567455.35,1457567455.39
93,126,207,12,152,1,165.642105103,63.7811393738,1457567455.44,1457567455.47
93,126,207,12,153,1,165.623703003,63.7593078613,1457567455.53,1457567455.55
93,126,207,12,154,1,165.618331909,63.6239433289,1457567455.6,1457567455.63
93,126,207,12,155,1,165.620788574,63.5979156494,1457567455.67,1457567455.7
92,127,207,12,156,1,165.698104858,63.4780578613,1457567455.75,1457567455.78
91,127,206,12,157,1,165.747253418,63.5346870422,1457567455.84,1457567455.86
91,127,206,12,158,1,165.661209106,63.6161956787,1457567455.91,1457567455.94
92,127,207,12,159,1,165.602981567,63.6241645813,1457567455.99,1457567456.02
92,126,207,11,160,1,165.660186768,63.6095161438,1457567456.06,1457567456.09
91,127,206,12,161,1,165.711013794,63.5517616272,1457567456.15,1457567456.17
92,127,207,12,162,1,165.835647583,63.5646476746,1457567456.23,1457567456.25
91,127,206,12,163,1,165.852783203,63.6188545227,1457567456.3,1457567456.33
90,128,206,12,164,1,165.746154785,63.8741569519,1457567456.38,1457567456.41
91,127,206,12,165,1,165.681167603,63.8524208069,1457567456.47,1457567456.49
93,125,207,11,166,1,166.009414673,63.7686653137,1457567456.55,1457567456.58
91,128,207,12,167,1,166.14213562,63.7777900696,1457567456.62,1457567456.65
92,127,207,12,168,1,166.334396362,63.7118721008,1457567456.7,1457567456.73
90,128,205,13,169,1,166.401107788,63.7457466125,1457567456.78,1457567456.8
91,128,207,12,170,1,166.480743408,63.660949707,1457567456.86,1457567456.88
91,128,207,12,171,1,166.519042969,63.6747932434,1457567456.93,1457567456.96
92,127,206,13,172,1,166.551330566,63.5918693542,1457567457.01,1457567457.04
92,127,207,12,173,1,166.670806885,63.5416984558,1457567457.09,1457567457.12
91,128,206,13,174,1,166.892700195,63.7137451172,1457567457.17,1457567457.19
91,128,206,13,175,1,166.918411255,63.7465515137,1457567457.24,1457567457.27
92,128,207,13,176,1,167.215759277,63.7303199768,1457567457.32,1457567457.34
