,faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp_x,ax,ay,az,gx,gy,gz,time_diff,timestamp_y,gz_raw,theta
0,119,96,212,3,29,1,152.571426392,69.5714263916,1457567262.63,1457567264.58,-13314.0,-360.0,7404.0,-29.0,17.0,-0.0951219512195,2.40517497063,1457567264.84,-17.0,-0.114392468115
1,119,94,205,8,30,1,150.653198242,72.3426895142,1457567264.62,1457567264.65,-13314.0,-360.0,7404.0,-29.0,17.0,-0.0951219512195,2.40517497063,1457567264.84,-17.0,-0.114392468115
2,124,94,204,14,31,1,149.494277954,78.8022689819,1457567264.7,1457567264.73,-13314.0,-360.0,7404.0,-29.0,17.0,-0.0951219512195,2.40517497063,1457567264.84,-17.0,-0.114392468115
3,128,96,200,24,32,1,149.173934937,86.1258773804,1457567264.77,1457567264.8,-13314.0,-360.0,7404.0,-29.0,17.0,-0.0951219512195,2.40517497063,1457567264.84,-17.0,-0.114392468115
4,133,95,203,25,33,1,147.398468018,93.5917816162,1457567264.84,1457567264.87,-13314.0,-360.0,7404.0,-29.0,17.0,-0.0951219512195,2.40517497063,1457567264.84,-17.0,-0.114392468115
5,126,93,206,13,34,1,149.462158203,83.3796081543,1457567264.92,1457567264.95,-13336.0,-308.0,7378.0,-29.0,16.0,-0.0951219512195,0.103042125702,1457567264.94,-18.0,-0.12419403617
6,121,96,204,13,35,1,150.307037354,80.9320831299,1457567265.0,1457567265.03,-13402.0,-388.0,7404.0,-28.0,20.0,-0.0951219512195,0.10227394104,1457567265.04,-17.0,-0.133922533
7,119,96,205,10,36,1,150.742919922,78.91355896,1457567265.07,1457567265.1,-13432.0,-214.0,7250.0,-29.0,17.0,-0.0951219512195,0.10218501091,1457567265.15,-16.0,-0.143642570624
8,113,99,203,9,37,1,151.329818726,75.0026702881,1457567265.15,1457567265.18,-13432.0,-214.0,7250.0,-29.0,17.0,-0.0951219512195,0.10218501091,1457567265.15,-16.0,-0.143642570624
9,106,103,202,7,38,1,152.083251953,70.3887863159,1457567265.23,1457567265.26,-13322.0,-360.0,7486.0,-30.0,14.0,-0.156097560976,0.102006912231,1457567265.25,-18.0,-0.156455633989
10,98,106,198,6,39,1,152.202484131,66.4969863892,1457567265.32,1457567265.36,-13352.0,-366.0,7454.0,-30.0,16.0,-0.156097560976,0.102955102921,1457567265.35,-18.0,-0.172526674445
11,95,109,198,6,40,1,153.307495117,62.6794319153,1457567265.44,1457567265.47,-13388.0,-336.0,7348.0,-30.0,16.0,-0.0951219512195,0.106550931931,1457567265.46,-17.0,-0.185910511017
12,93,111,200,4,41,1,156.056793213,58.6252441406,1457567265.54,1457567265.57,-13332.0,-316.0,7370.0,-28.0,16.0,-0.0951219512195,0.101398944855,1457567265.56,-17.0,-0.195555776503
13,92,113,199,6,42,1,156.401626587,58.558555603,1457567265.64,1457567265.67,-13428.0,-470.0,7268.0,-28.0,24.0,-0.4,0.102695941925,1457567265.66,-22.0,-0.220979284077
14,92,117,195,14,43,1,156.469863892,61.9590034485,1457567265.72,1457567265.74,-13678.0,-232.0,7152.0,-25.0,19.0,-0.4,0.105324029922,1457567265.77,-35.0,-0.263108896046
15,92,118,195,15,44,1,157.308380127,62.9591789246,1457567265.79,1457567265.82,-13678.0,-232.0,7152.0,-25.0,19.0,-0.4,0.105324029922,1457567265.77,-35.0,-0.263108896046
16,90,122,195,17,45,1,159.116119385,63.5751152039,1457567265.86,1457567265.89,-13126.0,-302.0,7602.0,-28.0,15.0,-0.460975609756,0.102245092392,1457567265.87,-22.0,-0.30712416143
17,93,124,199,18,46,1,161.836196899,64.9673461914,1457567265.96,1457567265.99,-13276.0,-388.0,7304.0,-36.0,21.0,-0.4,0.105768918991,1457567265.98,-23.0,-0.35265639119
18,93,127,199,21,47,1,164.9087677,66.1480941772,1457567266.05,1457567266.08,-12988.0,-204.0,8062.0,-29.0,1.0,-0.339024390244,0.0966780185699,1457567266.07,67.0,-0.388380098052
19,94,130,205,19,48,1,168.603118896,64.9893264771,1457567266.16,1457567266.19,-13224.0,-176.0,7302.0,-23.0,22.0,-0.339024390244,0.106292009354,1457567266.18,-21.0,-0.424415681711
20,93,130,206,17,49,1,169.29888916,63.7440910339,1457567266.26,1457567266.29,-13398.0,-578.0,7334.0,-32.0,18.0,-0.339024390244,0.101958990097,1457567266.28,-34.0,-0.458982266159
21,90,131,206,15,50,1,169.895095825,62.2392349243,1457567266.36,1457567266.39,-13436.0,-190.0,7254.0,-32.0,22.0,-0.156097560976,0.102478027344,1457567266.38,-15.0,-0.484351826586
22,91,131,207,15,51,1,169.643096924,62.1648483276,1457567266.44,1457567266.47,-13378.0,-180.0,7290.0,-30.0,15.0,-0.0951219512195,0.104147911072,1457567266.49,-18.0,-0.497433820294
23,92,129,206,15,52,1,168.845367432,62.4104919434,1457567266.51,1457567266.53,-13378.0,-180.0,7290.0,-30.0,15.0,-0.0951219512195,0.104147911072,1457567266.49,-18.0,-0.497433820294
24,91,129,205,15,53,1,168.564178467,62.2589187622,1457567266.58,1457567266.6,-13438.0,-262.0,7230.0,-27.0,18.0,-0.156097560976,0.103084087372,1457567266.59,-17.0,-0.510382187366
25,91,130,206,15,54,1,168.274993896,62.3029174805,1457567266.64,1457567266.67,-13540.0,-514.0,7326.0,-29.0,19.0,-0.0951219512195,0.0999369621277,1457567266.69,-24.0,-0.522935244804
26,91,130,206,15,55,1,167.818191528,62.2979125977,1457567266.71,1457567266.74,-13540.0,-514.0,7326.0,-29.0,19.0,-0.0951219512195,0.0999369621277,1457567266.69,-24.0,-0.522935244804
27,91,130,205,16,56,1,167.514297485,62.4774169922,1457567266.78,1457567266.81,-13386.0,-184.0,7388.0,-32.0,18.0,-0.0951219512195,0.106796979904,1457567266.8,-17.0,-0.533093981917
28,92,129,205,16,57,1,167.406799316,62.5589179993,1457567266.86,1457567266.88,-13314.0,-276.0,7420.0,-30.0,20.0,-0.0951219512195,0.103058099747,1457567266.9,-17.0,-0.542897069454
29,91,129,204,16,58,1,167.318191528,62.5045471191,1457567266.92,1457567266.95,-13314.0,-276.0,7420.0,-30.0,20.0,-0.0951219512195,0.103058099747,1457567266.9,-17.0,-0.542897069454
30,92,129,205,16,59,1,167.284088135,62.5643005371,1457567267.0,1457567267.04,-13388.0,-244.0,7338.0,-28.0,18.0,-0.0951219512195,0.104652881622,1457567267.0,-17.0,-0.552851855755
31,93,129,205,17,60,1,167.182479858,63.0194702148,1457567267.09,1457567267.12,-13374.0,-258.0,7380.0,-30.0,16.0,-0.0951219512195,0.099846124649,1457567267.1,-17.0,-0.562349413953
32,91,129,204,16,61,1,167.119934082,63.5922470093,1457567267.19,1457567267.22,-13382.0,-272.0,7356.0,-28.0,14.0,-0.156097560976,0.101955890656,1457567267.21,-18.0,-0.575156068511
33,92,128,204,16,62,1,166.458282471,63.6690292358,1457567267.3,1457567267.33,-13408.0,-276.0,7342.0,-29.0,17.0,-0.156097560976,0.104243993759,1457567267.31,-18.0,-0.591428301683
34,90,130,201,19,63,1,165.777984619,63.2849617004,1457567267.4,1457567267.42,-13404.0,-256.0,7294.0,-30.0,16.0,-0.0951219512195,0.104164123535,1457567267.42,-17.0,-0.604512331835
35,91,129,201,19,64,1,165.654571533,63.2892951965,1457567267.47,1457567267.49,-13390.0,-250.0,7378.0,-29.0,17.0,-0.0951219512195,0.10350394249,1457567267.52,-17.0,-0.614357828803
36,91,128,201,18,65,1,165.740692139,63.2272949219,1457567267.53,1457567267.56,-13390.0,-250.0,7378.0,-29.0,17.0,-0.0951219512195,0.10350394249,1457567267.52,-17.0,-0.614357828803
37,93,128,204,17,66,1,165.908935547,63.1428413391,1457567267.61,1457567267.63,-13428.0,-248.0,7392.0,-28.0,16.0,-0.0951219512195,0.101378917694,1457567267.62,-19.0,-0.624001189267
38,91,130,203,18,67,1,166.221740723,63.1033325195,1457567267.67,1457567267.7,-13374.0,-232.0,7310.0,-28.0,15.0,-0.0951219512195,0.102363109589,1457567267.72,-17.0,-0.633738167984
39,89,130,201,18,68,1,166.469619751,63.0730667114,1457567267.74,1457567267.77,-13374.0,-232.0,7310.0,-28.0,15.0,-0.0951219512195,0.102363109589,1457567267.72,-17.0,-0.633738167984
40,91,129,204,16,69,1,166.672393799,63.0061264038,1457567267.81,1457567267.84,-13300.0,-248.0,7296.0,-30.0,16.0,-0.0951219512195,0.102958917618,1457567267.83,-17.0,-0.643531821123
41,91,130,204,17,70,1,166.957977295,62.8500862122,1457567267.89,1457567267.93,-13386.0,-192.0,7314.0,-29.0,16.0,-0.0951219512195,0.107496023178,1457567267.93,-17.0,-0.653757052596
42,90,131,202,19,71,1,167.35597229,62.6969299316,1457567267.99,1457567268.03,-13406.0,-326.0,7296.0,-28.0,16.0,-0.0951219512195,0.100793123245,1457567268.03,-17.0,-0.663344691149
43,91,130,206,15,72,1,168.493270874,62.4385871887,1457567268.09,1457567268.12,-13406.0,-228.0,7376.0,-28.0,17.0,-0.156097560976,0.102673053741,1457567268.14,-18.0,-0.676241428387
44,91,131,207,15,73,1,169.430938721,62.2493896484,1457567268.19,1457567268.22,-13390.0,-302.0,7338.0,-29.0,18.0,-0.156097560976,0.102259874344,1457567268.24,-19.0,-0.692203945358
45,91,135,214,12,74,1,176.106826782,61.2474861145,1457567268.28,1457567268.31,-13494.0,-608.0,7276.0,-31.0,16.0,2.40487804878,0.102366924286,1457567268.34,24.0,-0.577103574392
46,-1,-1,-1,-1,75,0,185.362380981,59.5683364868,1457567268.37,1457567268.4,-13360.0,-438.0,7356.0,-10.0,6.0,33.0146341463,0.104412078857,1457567268.45,526.0,1.27200887581
47,-1,-1,-1,-1,76,0,194.065383911,59.344329834,1457567268.44,1457567268.46,-13360.0,-438.0,7356.0,-10.0,6.0,33.0146341463,0.104412078857,1457567268.45,526.0,1.27200887581
48,-1,-1,-1,-1,77,0,201.815811157,59.5963058472,1457567268.5,1457567268.52,-13106.0,190.0,6996.0,27.0,10.0,71.9780487805,0.102128982544,1457567268.55,1165.0,6.63340681675
49,-1,-1,-1,-1,78,0,206.240356445,59.8516464233,1457567268.57,1457567268.59,-13106.0,190.0,6996.0,27.0,10.0,71.9780487805,0.102128982544,1457567268.55,1165.0,6.63340681675
50,-1,-1,-1,-1,79,0,208.649017334,60.8190917969,1457567268.64,1457567268.66,-10698.0,2146.0,8296.0,88.0,35.0,118.014634146,0.104888916016,1457567268.65,1920.0,16.5974700983
51,-1,-1,-1,-1,80,0,209.861724854,61.7404899597,1457567268.7,1457567268.72,-10906.0,6514.0,6252.0,94.0,69.0,118.014634146,0.106109142303,1457567268.76,1960.0,29.1199017068
52,-1,-1,-1,-1,81,0,210.142120361,62.0694580078,1457567268.77,1457567268.79,-10906.0,6514.0,6252.0,94.0,69.0,118.014634146,0.106109142303,1457567268.76,1960.0,29.1199017068
53,-1,-1,-1,-1,82,0,209.638397217,61.9954338074,1457567268.84,1457567268.86,-8934.0,10104.0,6868.0,65.0,10.0,103.624390244,0.100780010223,1457567268.86,1684.0,40.2882932788
54,-1,-1,-1,-1,83,0,207.946075439,61.4666557312,1457567268.91,1457567268.92,-8120.0,12108.0,7302.0,52.0,52.0,73.3804878049,0.100244998932,1457567268.96,1188.0,49.1602201843
55,-1,-1,-1,-1,84,0,204.74230957,60.9344787598,1457567268.97,1457567268.98,-8120.0,12108.0,7302.0,52.0,52.0,73.3804878049,0.100244998932,1457567268.96,1188.0,49.1602201843
56,-1,-1,-1,-1,85,0,200.358810425,59.7817573547,1457567269.03,1457567269.05,-7142.0,12394.0,7004.0,-3.0,29.0,23.9292682927,0.102556943893,1457567269.06,377.0,54.1501157825
57,-1,-1,-1,-1,86,0,196.020294189,58.7423591614,1457567269.1,1457567269.12,-7044.0,11588.0,6384.0,-4.0,35.0,23.9292682927,0.103276968002,1457567269.17,335.0,56.6214580582
58,-1,-1,-1,-1,87,0,191.651977539,57.6042900085,1457567269.16,1457567269.18,-7044.0,11588.0,6384.0,-4.0,35.0,23.9292682927,0.103276968002,1457567269.17,335.0,56.6214580582
59,84,148,220,12,88,1,187.855056763,56.5304260254,1457567269.24,1457567269.26,-6080.0,11308.0,7062.0,-17.0,11.0,29.6609756098,0.10585808754,1457567269.27,471.0,59.4579384234
60,85,139,213,11,89,1,182.333709717,55.3332519531,1457567269.3,1457567269.34,-5146.0,12472.0,7686.0,13.0,26.0,29.6609756098,0.101713895798,1457567269.37,646.0,62.4748718058
61,86,137,213,10,90,1,180.605728149,55.2487487793,1457567269.39,1457567269.42,-5146.0,12472.0,7686.0,13.0,26.0,29.6609756098,0.101713895798,1457567269.37,646.0,62.4748718058
62,86,135,211,10,91,1,176.078414917,57.3578453064,1457567269.48,1457567269.51,-4348.0,14046.0,7160.0,-4.0,24.0,28.4414634146,0.103675127029,1457567269.48,451.0,65.4867606791
63,87,134,210,11,92,1,175.139007568,57.7055892944,1457567269.57,1457567269.6,-4018.0,13164.0,6658.0,-9.0,14.0,14.2951219512,0.101593971252,1457567269.58,219.0,67.6576503916
64,87,132,208,11,93,1,173.485641479,58.2341194153,1457567269.68,1457567269.7,-3498.0,13274.0,6848.0,-17.0,15.0,11.4902439024,0.102061986923,1457567269.68,173.0,68.9735032279
65,87,131,208,10,94,1,172.67288208,58.6283950806,1457567269.77,1457567269.8,-3190.0,13758.0,6948.0,-19.0,10.0,4.96585365854,0.102951049805,1457567269.78,66.0,69.8205894877
