faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp
84,149,218,15,4,1,183.666671753,62.3333320618,1457571991.26,1457571991.62
91,139,220,10,5,1,179.266311646,62.0644340515,1457571991.67,1457571991.69
92,135,218,9,6,1,177.484970093,62.5867958069,1457571991.73,1457571991.75
91,136,217,10,7,1,176.481567383,62.7610778809,1457571991.79,1457571991.82
93,132,216,9,8,1,174.587722778,63.2464408875,1457571991.86,1457571991.88
91,133,215,9,9,1,173.815612793,63.4199256897,1457571991.93,1457571991.95
93,131,214,10,10,1,172.647415161,63.8071594238,1457571992.0,1457571992.02
93,130,213,10,11,1,172.262435913,64.0513839722,1457571992.07,1457571992.09
95,128,215,8,12,1,172.07019043,64.6171951294,1457571992.14,1457571992.16
96,128,215,9,13,1,172.256225586,64.857460022,1457571992.2,1457571992.22
96,128,213,11,14,1,172.254821777,64.9317932129,1457571992.26,1457571992.29
97,126,215,8,15,1,171.938522339,65.0749740601,1457571992.32,1457571992.35
94,129,212,11,16,1,171.626876831,65.1462173462,1457571992.39,1457571992.42
96,129,213,12,17,1,171.144775391,65.3390426636,1457571992.46,1457571992.49
95,128,213,10,18,1,170.914474487,65.5964126587,1457571992.53,1457571992.55
97,127,214,10,19,1,170.788772583,65.7497940063,1457571992.59,1457571992.62
96,128,212,12,20,1,170.544204712,65.7604370117,1457571992.66,1457571992.68
96,127,213,10,21,1,170.581588745,65.7213897705,1457571992.73,1457571992.75
96,129,213,12,22,1,170.836074829,65.6393508911,1457571992.79,1457571992.81
96,128,214,10,23,1,171.794311523,65.7780838013,1457571992.85,1457571992.88
98,127,216,9,24,1,172.507568359,65.8231658936,1457571992.94,1457571992.98
97,133,217,13,25,1,176.230575562,66.5301971436,1457571993.04,1457571993.09
99,137,222,14,26,1,180.535705566,68.700592041,1457571993.14,1457571993.18
100,137,222,15,27,1,182.266464233,69.8834152222,1457571993.24,1457571993.27
103,135,224,14,28,1,183.302352905,70.4639968872,1457571993.31,1457571993.34
99,138,223,14,29,1,183.649368286,70.617225647,1457571993.38,1457571993.4
102,139,225,16,30,1,184.020675659,70.5476455688,1457571993.44,1457571993.47
102,139,225,16,31,1,184.141601562,70.6717758179,1457571993.51,1457571993.54
104,137,226,15,32,1,184.310806274,70.689453125,1457571993.58,1457571993.61
104,137,226,15,33,1,184.488967896,70.5618438721,1457571993.66,1457571993.68
105,137,226,16,34,1,184.699630737,70.5068359375,1457571993.72,1457571993.74
-1,-1,-1,-1,35,0,184.836242676,70.5003585815,1457571993.78,1457571993.81
104,136,225,15,36,1,184.879089355,70.4255905151,1457571993.85,1457571993.88
-1,-1,-1,-1,37,0,184.860855103,70.4225387573,1457571993.92,1457571993.94
-1,-1,-1,-1,38,0,184.742904663,70.5040664673,1457571993.98,1457571994.01
105,137,226,16,39,1,184.706054688,70.4428787231,1457571994.07,1457571994.1
-1,-1,-1,-1,40,0,184.914794922,69.9281845093,1457571994.16,1457571994.18
-1,-1,-1,-1,41,0,184.787246704,69.5622329712,1457571994.25,1457571994.27
96,143,221,18,42,1,183.988647461,69.217880249,1457571994.35,1457571994.37
98,139,221,16,43,1,181.985778809,69.0023117065,1457571994.42,1457571994.44
98,136,222,12,44,1,179.73236084,68.6473464966,1457571994.49,1457571994.51
99,134,221,12,45,1,178.630386353,68.3160324097,1457571994.56,1457571994.58
99,134,221,12,46,1,178.271255493,68.2304153442,1457571994.62,1457571994.65
101,133,222,12,47,1,177.740356445,68.0703659058,1457571994.71,1457571994.74
100,134,223,11,48,1,177.549682617,67.943145752,1457571994.8,1457571994.83
100,134,223,11,49,1,177.41192627,67.7279129028,1457571994.89,1457571994.92
99,134,221,12,50,1,177.317092896,67.6339111328,1457571994.99,1457571995.02
101,133,222,12,51,1,177.322311401,67.6772689819,1457571995.09,1457571995.12
101,134,223,12,52,1,177.541671753,67.8392562866,1457571995.18,1457571995.2
99,134,221,12,53,1,177.967041016,67.8370285034,1457571995.24,1457571995.28
99,135,221,13,54,1,178.157730103,67.8157424927,1457571995.33,1457571995.36
97,136,220,13,55,1,178.651794434,67.6745529175,1457571995.41,1457571995.44
98,136,222,12,56,1,179.266647339,67.5273513794,1457571995.5,1457571995.54
98,136,221,13,57,1,180.299682617,67.3813247681,1457571995.59,1457571995.62
98,135,221,12,58,1,180.48890686,67.3630447388,1457571995.67,1457571995.7
100,135,224,11,59,1,180.611877441,67.2178726196,1457571995.74,1457571995.77
96,138,220,14,60,1,180.283340454,67.0727920532,1457571995.81,1457571995.84
98,137,222,13,61,1,179.808914185,67.028503418,1457571995.88,1457571995.91
97,138,222,13,62,1,179.582702637,66.9320449829,1457571995.97,1457571996.0
96,138,220,14,63,1,179.063796997,67.1757583618,1457571996.06,1457571996.09
96,137,218,15,64,1,178.237487793,67.4387512207,1457571996.15,1457571996.19
97,136,219,14,65,1,177.293945312,67.1955032349,1457571996.24,1457571996.28
96,136,219,13,66,1,176.643325806,67.0428848267,1457571996.32,1457571996.35
96,135,217,14,67,1,176.215652466,67.0898208618,1457571996.39,1457571996.42
95,136,216,15,68,1,175.940261841,67.1415023804,1457571996.46,1457571996.48
98,133,218,13,69,1,175.521896362,67.3706207275,1457571996.53,1457571996.56
99,132,217,14,70,1,175.229232788,67.7587966919,1457571996.6,1457571996.63
99,132,217,14,71,1,175.158279419,67.9945907593,1457571996.67,1457571996.7
99,132,217,14,72,1,175.170837402,67.9926071167,1457571996.75,1457571996.77
99,131,217,13,73,1,175.187942505,67.9204330444,1457571996.83,1457571996.85
95,135,215,15,74,1,175.296798706,68.1014938354,1457571996.89,1457571996.92
97,133,215,15,75,1,175.376937866,68.2109909058,1457571996.96,1457571996.98
98,133,216,15,76,1,175.487869263,68.1705627441,1457571997.04,1457571997.06
97,134,217,14,77,1,175.824523926,68.0658874512,1457571997.12,1457571997.14
98,135,219,14,78,1,176.144363403,67.9485244751,1457571997.19,1457571997.21
98,134,218,14,79,1,176.297805786,67.9393310547,1457571997.26,1457571997.29
98,134,220,12,80,1,176.991592407,67.886505127,1457571997.35,1457571997.38
100,134,220,14,81,1,177.688034058,67.6597366333,1457571997.44,1457571997.47
100,135,220,15,82,1,178.251052856,67.5766983032,1457571997.53,1457571997.57
99,136,221,14,83,1,178.466690063,67.5140533447,1457571997.63,1457571997.65
99,136,221,14,84,1,178.601333618,67.5287475586,1457571997.7,1457571997.74
98,138,222,14,85,1,179.305709839,67.5419998169,1457571997.8,1457571997.83
98,136,222,12,86,1,179.63130188,67.5864868164,1457571997.88,1457571997.92
96,138,220,14,87,1,180.010375977,67.650352478,1457571997.98,1457571998.01
98,137,221,14,88,1,180.159790039,67.6200790405,1457571998.05,1457571998.08
96,139,220,15,89,1,180.384628296,67.529624939,1457571998.12,1457571998.15
96,139,221,14,90,1,180.460769653,67.5546951294,1457571998.19,1457571998.21
98,138,222,14,91,1,180.38621521,67.6319122314,1457571998.26,1457571998.28
99,137,223,13,92,1,180.339065552,67.7105636597,1457571998.33,1457571998.36
96,138,220,14,93,1,180.09928894,67.6873092651,1457571998.4,1457571998.42
98,137,221,14,94,1,179.719238281,67.6529159546,1457571998.47,1457571998.5
97,137,220,14,95,1,179.548355103,67.6298141479,1457571998.55,1457571998.59
97,137,220,14,96,1,179.300842285,67.7117767334,1457571998.64,1457571998.68
97,137,219,15,97,1,179.027938843,67.7859268188,1457571998.78,1457571998.82
97,137,220,14,98,1,178.815597534,67.6249160767,1457571998.88,1457571998.92
96,138,220,14,99,1,178.973770142,67.5251846313,1457571998.98,1457571999.01
97,137,219,15,100,1,179.065048218,67.4225616455,1457571999.05,1457571999.08
97,138,221,14,101,1,178.754440308,66.7595901489,1457571999.12,1457571999.15
97,137,220,14,102,1,178.419021606,66.3000564575,1457571999.2,1457571999.22
97,134,221,10,103,1,177.369827271,65.4742660522,1457571999.26,1457571999.29
94,136,218,12,104,1,176.97492981,65.4952468872,1457571999.38,1457571999.41
95,135,219,11,105,1,176.852096558,65.568901062,1457571999.45,1457571999.48
