ax,ay,az,gx,gy,gz,time_diff,timestamp,gz_raw,theta
-13148.0,-726.0,7272.0,-15.0,12.0,18.0756097561,2.40659189224,1457571993.45,281.0,21.7503079432
-13346.0,1036.0,7380.0,-12.0,23.0,18.0756097561,0.100538015366,1457571993.55,292.0,23.5675938746
-13276.0,1376.0,7364.0,-20.0,26.0,6.30731707317,0.102085113525,1457571993.66,88.0,24.8121608013
-13470.0,812.0,7148.0,-28.0,28.0,-0.278048780488,0.101603984833,1457571993.76,-20.0,25.1184596434
-13326.0,814.0,7434.0,-29.0,17.0,-0.278048780488,0.103189945221,1457571993.86,-20.0,25.089767805
-13324.0,1286.0,7388.0,-36.0,21.0,-5.58292682927,0.106735944748,1457571993.97,-107.0,24.7769794205
-13414.0,522.0,7406.0,-35.0,21.0,-5.58292682927,0.101052045822,1457571994.07,-115.0,24.2128132428
-13364.0,476.0,7440.0,-31.0,19.0,-6.07073170732,0.102397918701,1457571994.17,-59.0,23.6161580531
-13358.0,724.0,7352.0,-34.0,23.0,-8.93658536585,0.105209112167,1457571994.28,-162.0,22.8267048004
-13366.0,-168.0,7302.0,-42.0,20.0,-8.93658536585,0.10363483429,1457571994.38,-289.0,21.9005632569
-13362.0,-700.0,7304.0,-36.0,16.0,-7.04634146341,0.102523088455,1457571994.48,-131.0,21.0812537464
-13316.0,-366.0,7376.0,-30.0,15.0,-0.278048780488,0.102545022964,1457571994.59,-18.0,20.7057138635
-13350.0,-404.0,7368.0,-26.0,18.0,-0.217073170732,0.102894067764,1457571994.69,-20.0,20.6802413077
-13342.0,-360.0,7392.0,-28.0,14.0,-0.278048780488,0.102866888046,1457571994.79,-19.0,20.6547754805
-13344.0,-388.0,7420.0,-30.0,15.0,-0.217073170732,0.105533123016,1457571994.9,-35.0,20.6286495976
-13464.0,-734.0,7320.0,-38.0,10.0,0.0268292682927,0.104967832565,1457571995.0,-15.0,20.6186648526
-13322.0,-2176.0,7722.0,-23.0,5.0,12.9536585366,0.101646184921,1457571995.1,197.0,21.2783733845
