ax,ay,az,gx,gy,gz,time_diff,timestamp,gz_raw,theta
-12586.0,-5488.0,7432.0,-35.0,9.0,0.0,2.40399312973,1457571769.05,-171.0,0.0
-12564.0,-4852.0,7366.0,-29.0,15.0,0.209756097561,0.104718923569,1457571769.15,-12.0,0.0109827163743
-12708.0,-4798.0,7296.0,-25.0,21.0,0.209756097561,0.100305080414,1457571769.25,5.0,0.0320223186074
-12452.0,-6442.0,6970.0,-30.0,-13.0,-2.77804878049,0.104532957077,1457571769.36,-61.0,-0.102213295785
-12602.0,-4340.0,7320.0,-42.0,19.0,-4.60731707317,0.107019901276,1457571769.46,-262.0,-0.497403858057
-12554.0,-6036.0,7276.0,-26.0,20.0,-4.60731707317,0.100527048111,1457571769.57,-91.0,-0.960563843134
-12446.0,-5276.0,7302.0,-30.0,19.0,-0.0341463414634,0.104840040207,1457571769.67,-16.0,-1.20386944864
-12460.0,-5282.0,7246.0,-29.0,16.0,-0.0341463414634,0.101849079132,1457571769.77,-16.0,-1.20734722207
-12450.0,-5360.0,7264.0,-29.0,16.0,-0.0341463414634,0.101935863495,1457571769.87,-19.0,-1.21082795887
-12454.0,-5324.0,7330.0,-27.0,16.0,-0.0341463414634,0.102088928223,1457571769.98,-16.0,-1.21431392228
-12432.0,-5368.0,7356.0,-28.0,16.0,0.0268292682927,0.102976083755,1457571770.08,-15.0,-1.21469066405
-12276.0,-6626.0,7478.0,-1.0,23.0,5.94146341463,0.102204084396,1457571770.18,82.0,-0.909698719513
-12446.0,-6156.0,7404.0,-29.0,2.0,20.6975609756,0.103535890579,1457571770.28,324.0,0.46934883769
-12218.0,-5684.0,7608.0,9.0,19.0,37.5268292683,0.103173017502,1457571770.39,600.0,3.47294185452
-13472.0,-1958.0,6998.0,5.0,15.0,46.7341463415,0.100592136383,1457571770.49,751.0,7.71093762968
-13576.0,-1560.0,7070.0,7.0,26.0,46.7341463415,0.108911991119,1457571770.6,778.0,12.800846561
-12722.0,-1606.0,8074.0,28.0,29.0,45.9414634146,0.106799840927,1457571770.7,738.0,17.7497167509
-12970.0,-66.0,7370.0,-11.0,1.0,42.2829268293,0.0953071117401,1457571770.8,678.0,21.9539226605
-13428.0,1626.0,7136.0,1.0,13.0,37.343902439,0.102164030075,1457571770.9,597.0,26.0214215505
-13090.0,3336.0,7492.0,-2.0,19.0,29.356097561,0.106424808502,1457571771.01,466.0,29.5706889141
-12982.0,3452.0,7376.0,-13.0,20.0,18.6853658537,0.103579998016,1457571771.11,291.0,32.0587562567
-12956.0,3874.0,7368.0,-23.0,20.0,3.01463414634,0.103612184525,1457571771.22,34.0,33.1829484588
-12948.0,3210.0,7348.0,-30.0,15.0,3.01463414634,0.101109981537,1457571771.32,-17.0,33.4877580617
-12732.0,2448.0,7578.0,-19.0,2.0,9.66097560976,0.102416992188,1457571771.42,143.0,34.1368569743
-12042.0,4152.0,8128.0,17.0,35.0,9.66097560976,0.103189945221,1457571771.52,526.0,35.1337725183
-12726.0,5444.0,7228.0,-14.0,22.0,8.13658536585,0.105355024338,1457571771.63,118.0,36.0713037532
-12574.0,4324.0,7394.0,-29.0,20.0,0.270731707317,0.101692914963,1457571771.73,-15.0,36.4987860432
-12502.0,4392.0,7426.0,-30.0,16.0,0.270731707317,0.10261797905,1457571771.83,-11.0,36.5265679839
-12434.0,4284.0,7474.0,-25.0,11.0,0.270731707317,0.102614164352,1457571771.93,123.0,36.5543488918
-12526.0,5058.0,7380.0,-27.0,21.0,0.209756097561,0.103603839874,1457571772.04,-12.0,36.5792390826
-12386.0,4724.0,7544.0,-30.0,12.0,-0.156097560976,0.101859092712,1457571772.14,-20.0,36.5819718876
-13046.0,3388.0,6752.0,-34.0,22.0,-0.156097560976,0.105789899826,1457571772.25,-18.0,36.5654583422
-12206.0,4502.0,7316.0,-27.0,14.0,0.0268292682927,0.102006196976,1457571772.35,-14.0,36.5588652588
-12466.0,4636.0,7462.0,-30.0,21.0,0.0878048780488,0.102246999741,1457571772.45,-15.0,36.5647257575
-12460.0,3638.0,7586.0,-43.0,-11.0,4.29512195122,0.102614879608,1457571772.55,55.0,36.789602512
-12282.0,5374.0,7318.0,-1.0,28.0,11.856097561,0.102431058884,1457571772.65,399.0,37.6167957704
-11978.0,6054.0,7620.0,-7.0,32.0,11.856097561,0.102200031281,1457571772.76,179.0,38.828489312
-11836.0,5930.0,7570.0,-18.0,33.0,-1.49756097561,0.106382846832,1457571772.86,-40.0,39.3794746175
-11124.0,6880.0,9166.0,-28.0,21.0,-19.0585365854,0.104192018509,1457571772.97,-328.0,38.3085839687
-12472.0,4418.0,7408.0,-55.0,26.0,-23.0219512195,0.103369951248,1457571773.07,-442.0,36.1336549823
-12618.0,3512.0,7360.0,-58.0,12.0,-23.0219512195,0.104137182236,1457571773.18,-393.0,33.7362138527
-12828.0,4418.0,7334.0,-43.0,21.0,-21.9853658537,0.102602005005,1457571773.28,-376.0,31.4272933669
-12902.0,3290.0,7424.0,-45.0,17.0,-21.9853658537,0.101936817169,1457571773.38,-346.0,29.1861751475
-12874.0,2342.0,7524.0,-45.0,20.0,-22.9,0.102239131927,1457571773.48,-391.0,26.8916547269
-13386.0,2026.0,7182.0,-49.0,19.0,-22.9,0.102999925613,1457571773.58,-392.0,24.5329564304
-13242.0,778.0,7446.0,-47.0,15.0,-21.4975609756,0.101953983307,1457571773.69,-368.0,22.2697023351
-13224.0,262.0,7558.0,-50.0,19.0,-20.5219512195,0.104236125946,1457571773.79,-352.0,20.0797267524
-13142.0,392.0,7386.0,-45.0,20.0,-17.1073170732,0.102277040482,1457571773.89,-296.0,18.1554216542
-13486.0,-288.0,7274.0,-43.0,14.0,-12.9,0.10492181778,1457571774.0,-227.0,16.5812105272
-13372.0,40.0,7310.0,-34.0,19.0,-12.9,0.0999751091003,1457571774.1,-73.0,15.2915316198
-13318.0,626.0,7422.0,-49.0,10.0,-18.3268292683,0.10634303093,1457571774.2,-316.0,13.6311537844
-13444.0,-718.0,7126.0,-60.0,11.0,-19.6073170732,0.102339982986,1457571774.31,-395.0,11.6900638388
-13392.0,-978.0,7310.0,-41.0,17.0,-19.6073170732,0.104951858521,1457571774.41,-337.0,9.63223947141
-13170.0,-2284.0,7436.0,-41.0,11.0,-12.656097561,0.102382183075,1457571774.51,-223.0,7.98064005956
-13220.0,-2296.0,7376.0,-31.0,14.0,-2.9,0.106523990631,1457571774.62,-63.0,7.15209126414
-13270.0,-2144.0,7374.0,-33.0,18.0,-2.9,0.100925922394,1457571774.72,-63.0,6.8594060892
-13160.0,-2378.0,7468.0,-27.0,14.0,0.209756097561,0.105220079422,1457571774.83,-12.0,6.71787225066
-13438.0,-1566.0,7228.0,-21.0,8.0,12.2219512195,0.102021932602,1457571774.93,185.0,7.35202565368
-13282.0,-2164.0,7236.0,-25.0,-3.0,16.0634146341,0.101718902588,1457571775.03,248.0,8.79060384064
-13334.0,-1980.0,7372.0,-10.0,13.0,24.2341463415,0.102130174637,1457571775.13,382.0,10.8484023106
-13592.0,-158.0,7092.0,-5.0,6.0,34.1731707317,0.100153923035,1457571775.23,545.0,13.77326328
-13178.0,776.0,7638.0,-11.0,14.0,34.1731707317,0.105220079422,1457571775.34,550.0,17.3689670185
-12938.0,696.0,7988.0,-1.0,22.0,27.4048780488,0.105906963348,1457571775.44,434.0,20.6297390961
-13384.0,2038.0,7208.0,-8.0,19.0,25.087804878,0.0995860099792,1457571775.54,334.0,23.243507519
-12142.0,2872.0,8762.0,2.0,-8.0,24.4780487805,0.100857973099,1457571775.64,396.0,25.7430632865
-12524.0,2098.0,8040.0,-22.0,0.0,24.4780487805,0.10231089592,1457571775.75,386.0,28.2474343876
-12710.0,4030.0,7510.0,-14.0,12.0,20.8804878049,0.106398105621,1457571775.85,327.0,30.6604655708
-12646.0,4238.0,7486.0,-20.0,13.0,10.7585365854,0.103342056274,1457571775.96,140.0,32.2952864903
-12604.0,4292.0,7092.0,-23.0,12.0,9.47804878049,0.102057933807,1457571776.06,161.0,33.3279385352
-12502.0,4948.0,7462.0,-27.0,21.0,0.69756097561,0.105581045151,1457571776.16,-4.0,33.8651142917
-12280.0,5350.0,7752.0,-26.0,22.0,-3.08292682927,0.099720954895,1457571776.26,-66.0,33.7461788114
-13360.0,3014.0,6154.0,-41.0,30.0,-3.08292682927,0.108144044876,1457571776.37,-103.0,33.412778634
-12586.0,4124.0,7518.0,-30.0,15.0,-0.278048780488,0.10049200058,1457571776.47,-17.0,33.2439030525
-12654.0,4238.0,7488.0,-27.0,13.0,-0.278048780488,0.103440999985,1457571776.58,-20.0,33.2151414086
-12572.0,4430.0,7466.0,-37.0,15.0,-11.1926829268,0.101078033447,1457571776.68,-199.0,32.635421907
-12802.0,3346.0,7318.0,-56.0,19.0,-23.0829268293,0.106169939041,1457571776.78,-399.0,30.8159022078
-12820.0,3236.0,7398.0,-52.0,21.0,-23.0829268293,0.103000879288,1457571776.89,-394.0,28.4383404479
-13134.0,2512.0,7430.0,-37.0,15.0,-13.9365853659,0.104859113693,1457571776.99,-244.0,26.4974238288
-13054.0,2056.0,7414.0,-34.0,17.0,-4.91219512195,0.10013794899,1457571777.09,-96.0,25.5536847193
-12980.0,1708.0,7596.0,-31.0,19.0,-4.91219512195,0.105057001114,1457571777.2,-41.0,25.0376242309
-13148.0,2426.0,7450.0,-49.0,12.0,-17.8390243902,0.0990860462189,1457571777.3,-308.0,23.9104600368
-13186.0,1998.0,7400.0,-48.0,15.0,-23.5707317073,0.10698890686,1457571777.4,-403.0,21.6952677677
-13112.0,276.0,7624.0,-47.0,12.0,-23.6317073171,0.101438045502,1457571777.5,-402.0,19.301206189
-13334.0,458.0,7224.0,-59.0,29.0,-32.5951219512,0.102294921875,1457571777.61,-651.0,16.4253466353
-13100.0,-626.0,7726.0,-47.0,9.0,-32.5951219512,0.103338003159,1457571777.71,-550.0,13.0570318202
-13646.0,-2114.0,6988.0,-69.0,15.0,-28.7536585366,0.105911970139,1457571777.82,-487.0,9.80824671664
-13160.0,-2536.0,7332.0,-65.0,13.0,-22.412195122,0.105283021927,1457571777.92,-383.0,7.11479887032
-13174.0,-3010.0,7302.0,-35.0,30.0,-21.6195121951,0.104473114014,1457571778.03,-370.0,4.81473408094
-13090.0,-3476.0,7242.0,-41.0,18.0,-16.9853658537,0.0978910923004,1457571778.12,-294.0,2.92519724078
-12956.0,-4010.0,7400.0,-30.0,18.0,-7.59512195122,0.105935811996,1457571778.23,-29.0,1.62322027334
-13060.0,-3100.0,7146.0,-49.0,-6.0,-7.59512195122,0.102517127991,1457571778.33,-140.0,0.844590184165
-12690.0,-4682.0,7406.0,-53.0,14.0,-7.59512195122,0.10258102417,1457571778.43,-255.0,0.0654747957137
-12764.0,-4280.0,7366.0,-28.0,27.0,0.636585365854,0.0977849960327,1457571778.53,-5.0,-0.274745440483
-12768.0,-4892.0,7322.0,-61.0,-2.0,7.70975609756,0.106578826904,1457571778.64,111.0,0.170026200574
-12874.0,-4464.0,7332.0,3.0,19.0,19.5390243902,0.0983321666718,1457571778.74,305.0,1.50974201284
-13216.0,-3156.0,7304.0,-21.0,19.0,24.2951219512,0.106241941452,1457571778.84,383.0,3.83825441744
-12654.0,-3758.0,8090.0,-14.0,-3.0,31.0634146341,0.103785991669,1457571778.95,494.0,6.71097472586
-13132.0,-1848.0,7688.0,13.0,22.0,34.0512195122,0.102329969406,1457571779.05,565.0,10.0425639859
-13634.0,-368.0,6952.0,7.0,28.0,34.0512195122,0.102631092072,1457571779.15,543.0,13.5372778308
-13428.0,748.0,7190.0,-17.0,-2.0,33.0146341463,0.103077888489,1457571779.25,526.0,16.9937811232
-13098.0,1016.0,7272.0,-6.0,15.0,31.0024390244,0.100960969925,1457571779.36,493.0,20.2253940228
