,faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp_x,ax,ay,az,gx,gy,gz,time_diff,timestamp_y,gz_raw,theta
0,-1,-1,-1,-1,3,0,188.0,63.6666679382,1457572159.36,1457572159.58,-13316.0,-1638.0,7300.0,-53.0,13.0,-20.4,2.4038939476,1457572161.55,-364.0,-24.5197182655
1,-1,-1,-1,-1,4,0,186.139511108,63.757938385,1457572159.65,1457572159.67,-13316.0,-1638.0,7300.0,-53.0,13.0,-20.4,2.4038939476,1457572161.55,-364.0,-24.5197182655
2,-1,-1,-1,-1,5,0,186.45324707,64.0058517456,1457572159.75,1457572159.78,-13316.0,-1638.0,7300.0,-53.0,13.0,-20.4,2.4038939476,1457572161.55,-364.0,-24.5197182655
3,102,145,229,18,6,1,186.934768677,63.6273841858,1457572159.84,1457572159.86,-13316.0,-1638.0,7300.0,-53.0,13.0,-20.4,2.4038939476,1457572161.55,-364.0,-24.5197182655
4,-1,-1,-1,-1,7,0,186.495300293,62.8347358704,1457572159.91,1457572159.93,-13316.0,-1638.0,7300.0,-53.0,13.0,-20.4,2.4038939476,1457572161.55,-364.0,-24.5197182655
5,-1,-1,-1,-1,8,0,185.023681641,60.3166046143,1457572159.98,1457572160.02,-13316.0,-1638.0,7300.0,-53.0,13.0,-20.4,2.4038939476,1457572161.55,-364.0,-24.5197182655
6,94,145,227,12,9,1,183.786361694,58.0830192566,1457572160.08,1457572160.11,-13316.0,-1638.0,7300.0,-53.0,13.0,-20.4,2.4038939476,1457572161.55,-364.0,-24.5197182655
7,93,144,226,11,10,1,183.275283813,57.0971183777,1457572160.18,1457572160.21,-13316.0,-1638.0,7300.0,-53.0,13.0,-20.4,2.4038939476,1457572161.55,-364.0,-24.5197182655
8,92,145,225,12,11,1,182.880783081,56.7526512146,1457572160.27,1457572160.3,-13316.0,-1638.0,7300.0,-53.0,13.0,-20.4,2.4038939476,1457572161.55,-364.0,-24.5197182655
9,92,145,225,12,12,1,182.20741272,56.8924446106,1457572160.34,1457572160.36,-13316.0,-1638.0,7300.0,-53.0,13.0,-20.4,2.4038939476,1457572161.55,-364.0,-24.5197182655
10,92,144,224,12,13,1,181.675537109,56.9339179993,1457572160.4,1457572160.43,-13316.0,-1638.0,7300.0,-53.0,13.0,-20.4,2.4038939476,1457572161.55,-364.0,-24.5197182655
11,92,143,224,11,14,1,180.483154297,57.2071990967,1457572160.47,1457572160.49,-13316.0,-1638.0,7300.0,-53.0,13.0,-20.4,2.4038939476,1457572161.55,-364.0,-24.5197182655
12,92,143,224,11,15,1,179.961486816,57.4025917053,1457572160.53,1457572160.56,-13316.0,-1638.0,7300.0,-53.0,13.0,-20.4,2.4038939476,1457572161.55,-364.0,-24.5197182655
13,93,143,222,14,16,1,179.042068481,58.8896789551,1457572160.6,1457572160.62,-13316.0,-1638.0,7300.0,-53.0,13.0,-20.4,2.4038939476,1457572161.55,-364.0,-24.5197182655
14,94,142,224,12,17,1,178.866455078,58.8906440735,1457572160.7,1457572160.73,-13316.0,-1638.0,7300.0,-53.0,13.0,-20.4,2.4038939476,1457572161.55,-364.0,-24.5197182655
15,93,139,222,10,18,1,177.768264771,57.772354126,1457572160.77,1457572160.79,-13316.0,-1638.0,7300.0,-53.0,13.0,-20.4,2.4038939476,1457572161.55,-364.0,-24.5197182655
16,93,140,222,11,19,1,177.392288208,57.5209197998,1457572160.85,1457572160.89,-13316.0,-1638.0,7300.0,-53.0,13.0,-20.4,2.4038939476,1457572161.55,-364.0,-24.5197182655
17,95,139,221,13,20,1,176.816940308,57.9407653809,1457572160.94,1457572160.98,-13316.0,-1638.0,7300.0,-53.0,13.0,-20.4,2.4038939476,1457572161.55,-364.0,-24.5197182655
18,92,140,220,12,21,1,176.380859375,58.7761116028,1457572161.05,1457572161.08,-13316.0,-1638.0,7300.0,-53.0,13.0,-20.4,2.4038939476,1457572161.55,-364.0,-24.5197182655
