faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp
-1,-1,-1,-1,3,0,162.666671753,73.6666641235,1457571917.75,1457571918.05
106,120,206,20,4,1,162.581192017,74.8451843262,1457571918.12,1457571918.16
106,120,206,20,5,1,163.150131226,75.3849182129,1457571918.21,1457571918.24
108,118,207,19,6,1,163.269683838,75.4505844116,1457571918.28,1457571918.3
108,118,207,19,7,1,163.787231445,75.2175979614,1457571918.35,1457571918.37
106,119,205,20,8,1,164.144638062,74.8617858887,1457571918.42,1457571918.44
106,120,207,19,9,1,164.899185181,74.2986450195,1457571918.48,1457571918.51
107,118,207,18,10,1,165.050689697,74.155921936,1457571918.55,1457571918.58
104,120,206,18,11,1,164.96673584,74.3041610718,1457571918.62,1457571918.64
107,119,208,18,12,1,164.810684204,74.7311630249,1457571918.69,1457571918.71
106,119,208,17,13,1,164.715713501,74.8186950684,1457571918.76,1457571918.78
105,120,207,18,14,1,164.488479614,74.8641891479,1457571918.82,1457571918.85
105,120,207,18,15,1,164.332321167,74.9850540161,1457571918.89,1457571918.91
106,120,207,19,16,1,164.390701294,75.2314834595,1457571918.95,1457571918.99
106,120,207,19,17,1,164.457824707,75.2444152832,1457571919.05,1457571919.08
105,120,207,18,18,1,164.81678772,74.8992233276,1457571919.14,1457571919.17
105,120,207,18,19,1,164.897567749,74.8503112793,1457571919.23,1457571919.26
106,119,208,17,20,1,164.723526001,74.782043457,1457571919.32,1457571919.35
104,121,207,18,21,1,164.76512146,74.4263916016,1457571919.42,1457571919.46
104,120,206,18,22,1,164.907730103,74.0873184204,1457571919.52,1457571919.55
103,120,206,17,23,1,164.804260254,74.0308151245,1457571919.61,1457571919.64
104,121,207,18,24,1,165.084228516,74.0279464722,1457571919.7,1457571919.73
103,122,208,17,25,1,165.30140686,73.9530563354,1457571919.78,1457571919.83
103,122,208,17,26,1,165.260147095,73.9634170532,1457571919.88,1457571919.91
103,122,208,17,27,1,165.606277466,73.9482269287,1457571919.96,1457571919.98
105,121,210,16,28,1,165.823913574,73.8736038208,1457571920.03,1457571920.06
105,121,210,16,29,1,166.083908081,73.7498092651,1457571920.1,1457571920.12
103,121,208,16,30,1,166.076339722,73.6414260864,1457571920.17,1457571920.19
102,122,207,17,31,1,165.861557007,73.3960494995,1457571920.24,1457571920.27
102,122,206,18,32,1,165.657333374,73.2931442261,1457571920.32,1457571920.34
102,122,207,17,33,1,165.676330566,73.2947463989,1457571920.38,1457571920.42
104,120,209,15,34,1,165.821060181,73.3153610229,1457571920.46,1457571920.48
103,122,208,17,35,1,165.929092407,73.3419418335,1457571920.54,1457571920.57
102,122,206,18,36,1,166.001220703,73.2072982788,1457571920.61,1457571920.64
102,122,206,18,37,1,166.038192749,73.1450271606,1457571920.68,1457571920.72
103,122,208,17,38,1,166.225814819,73.1767196655,1457571920.77,1457571920.8
102,122,207,17,39,1,166.228240967,73.145614624,1457571920.85,1457571920.88
105,120,209,16,40,1,166.197021484,73.1161270142,1457571920.94,1457571920.97
101,124,208,17,41,1,166.18913269,72.8426437378,1457571921.05,1457571921.08
101,124,208,17,42,1,166.208435059,72.6487045288,1457571921.14,1457571921.17
102,122,208,16,43,1,166.180252075,72.8675308228,1457571921.23,1457571921.26
100,123,206,17,44,1,165.992446899,73.1135482788,1457571921.32,1457571921.35
100,123,206,17,45,1,165.652496338,73.1507339478,1457571921.4,1457571921.44
100,123,206,17,46,1,165.549819946,73.0699234009,1457571921.5,1457571921.53
101,124,208,17,47,1,165.728851318,73.059135437,1457571921.58,1457571921.61
100,124,206,18,48,1,165.724121094,73.0109786987,1457571921.68,1457571921.71
100,123,206,17,49,1,165.607284546,72.9288711548,1457571921.75,1457571921.78
100,123,206,17,50,1,165.505249023,72.8472671509,1457571921.82,1457571921.85
99,123,205,17,51,1,165.1640625,72.7250289917,1457571921.9,1457571921.92
100,123,207,16,52,1,165.10194397,72.7606887817,1457571921.98,1457571922.0
102,122,207,17,53,1,164.969985962,72.7024230957,1457571922.05,1457571922.07
100,123,206,17,54,1,164.876998901,72.6426391602,1457571922.12,1457571922.14
99,124,204,19,55,1,164.584091187,72.4460525513,1457571922.19,1457571922.22
101,122,205,18,56,1,164.470352173,72.4018554688,1457571922.27,1457571922.29
102,121,206,17,57,1,164.244750977,72.3991851807,1457571922.34,1457571922.37
102,121,206,17,58,1,164.190917969,72.3457717896,1457571922.42,1457571922.45
