,Unnamed: 0,faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp_x,ax,ay,az,gx,gy,gz,time_diff,timestamp_y,gz_raw,theta
40,40,98,139,219,18,52,1,177.538604736,67.8403091431,1457571893.85,1457571893.89,-13292.0,-1766.0,7330.0,-29.0,19.0,0.453658536585,0.10311794281,1457571893.85,-8.0,-2.48053417787
41,41,99,138,220,17,53,1,177.461120605,67.8365249634,1457571893.95,1457571893.99,-13382.0,-1616.0,7182.0,-9.0,5.0,11.1853658537,0.0988259315491,1457571893.95,168.0,-1.90541546403
42,42,98,139,218,19,54,1,177.345626831,67.8205566406,1457571894.05,1457571894.08,-13272.0,-1322.0,7442.0,-17.0,17.0,13.3804878049,0.104927062988,1457571894.05,245.0,-0.616604026934
43,43,99,138,220,17,55,1,177.055969238,67.6212768555,1457571894.15,1457571894.19,-13388.0,-986.0,7380.0,-17.0,17.0,13.3804878049,0.104779958725,1457571894.16,204.0,0.785402932981
44,44,100,137,218,19,56,1,176.174713135,67.4714431763,1457571894.26,1457571894.29,-13336.0,-514.0,7384.0,-19.0,17.0,13.3804878049,0.100592136383,1457571894.26,188.0,2.13137478712
45,45,99,136,217,18,57,1,175.38432312,67.4634628296,1457571894.36,1457571894.4,-13370.0,-300.0,7400.0,-18.0,14.0,13.4414634146,0.103165864944,1457571894.36,205.0,3.51492968565
46,46,100,136,218,18,58,1,174.417907715,67.4471359253,1457571894.46,1457571894.48,-13366.0,38.0,7372.0,-15.0,18.0,13.4414634146,0.102364063263,1457571894.47,205.0,4.89085249697
47,47,100,134,216,18,59,1,174.026428223,67.3000564575,1457571894.53,1457571894.56,-13338.0,-14.0,7352.0,-17.0,16.0,15.5146341463,0.101150989532,1457571894.57,239.0,6.35532145762
48,48,101,133,216,18,60,1,173.974594116,67.2532806396,1457571894.6,1457571894.63,-13456.0,898.0,7298.0,-14.0,15.0,15.5146341463,0.107779026031,1457571894.67,307.0,8.02747361515
49,49,99,134,215,18,61,1,174.003845215,67.1984405518,1457571894.68,1457571894.7,-13456.0,898.0,7298.0,-14.0,15.0,15.5146341463,0.107779026031,1457571894.67,307.0,8.02747361515
