ax,ay,az,gx,gy,gyax,gz,time_diff,timestamp,gz_raw,theta
,-2220.0,7340.0,-31.0,18.0,,0.0,0.259587049484,1457571833.53,-92.0,0.0
-13198.0,-2306.0,7338.0,-30.0,13.0,,-4.66829268293,0.0092830657959,1457571833.54,-13.0,-0.0216680340651
-12778.0,-2220.0,7340.0,-31.0,18.0,,0.148780487805,0.0415799617767,1457571833.58,-92.0,-0.115628606226
-13198.0,-2306.0,7338.0,-30.0,13.0,,-0.0951219512195,0.00762891769409,1457571833.58,-13.0,-0.115423927947
-12778.0,-98.0,7454.0,-29.0,15.0,-13314.0,-0.0951219512195,2.08646798134,1457571835.67,-17.0,-0.313892833489
-13338.0,-120.0,7482.0,-29.0,16.0,,-0.156097560976,0.103291034698,1457571835.77,-18.0,-0.326867195164
-13358.0,-88.0,7434.0,-29.0,15.0,,-0.156097560976,0.0999629497528,1457571835.87,-18.0,-0.342471167809
-13400.0,-150.0,7382.0,-29.0,16.0,,-0.156097560976,0.106756210327,1457571835.98,-17.0,-0.35913555186
-13314.0,-102.0,7364.0,-30.0,15.0,,-0.156097560976,0.105112791061,1457571836.09,-18.0,-0.375543402172
-13348.0,-150.0,7496.0,-31.0,17.0,,-0.156097560976,0.101024150848,1457571836.19,-18.0,-0.391313025719
-13310.0,-152.0,7434.0,-30.0,17.0,,-0.156097560976,0.101557970047,1457571836.29,-18.0,-0.407165977141
-13350.0,-102.0,7422.0,-30.0,16.0,,-0.156097560976,0.102236032486,1457571836.39,-18.0,-0.423124772456
-13334.0,-132.0,7406.0,-29.0,16.0,,-0.156097560976,0.105562925339,1457571836.5,-18.0,-0.43960288763
-13346.0,-126.0,7424.0,-29.0,16.0,,-0.156097560976,0.102960109711,1457571836.6,-18.0,-0.455674709634
-13350.0,-128.0,7430.0,-29.0,17.0,,-0.0951219512195,0.102486848831,1457571836.7,-17.0,-0.468548057719
-13290.0,-138.0,7512.0,-29.0,16.0,,-0.0951219512195,0.102401018143,1457571836.8,-17.0,-0.478288642372
-13356.0,-92.0,7444.0,-29.0,16.0,,-0.156097560976,0.102478027344,1457571836.91,-18.0,-0.491160882392
-13316.0,-134.0,7420.0,-28.0,16.0,,-0.156097560976,0.101951122284,1457571837.01,-18.0,-0.507075203919
-13334.0,-94.0,7420.0,-29.0,16.0,,-0.156097560976,0.102582931519,1457571837.11,-18.0,-0.523088149327
-13340.0,-152.0,7372.0,-30.0,16.0,,-0.156097560976,0.108414888382,1457571837.22,-18.0,-0.540011448976
-13318.0,-130.0,7432.0,-29.0,17.0,,-0.156097560976,0.104495048523,1457571837.32,-19.0,-0.556322871185
-13278.0,-158.0,7444.0,-29.0,17.0,,-0.156097560976,0.100563049316,1457571837.43,-17.0,-0.572020517907
-13322.0,-170.0,7404.0,-28.0,17.0,,-0.0951219512195,0.100558996201,1457571837.53,-18.0,-0.584651708894
-13342.0,-170.0,7444.0,-29.0,16.0,,-0.0951219512195,0.102967023849,1457571837.63,-17.0,-0.594446133113
-13350.0,-114.0,7414.0,-29.0,16.0,,-0.0951219512195,0.102128982544,1457571837.73,-17.0,-0.604160841209
-13360.0,-124.0,7418.0,-30.0,15.0,,-0.156097560976,0.10552406311,1457571837.84,-18.0,-0.617415693039
-13270.0,-152.0,7462.0,-28.0,16.0,,-0.156097560976,0.102298021317,1457571837.94,-18.0,-0.633384164659
-13316.0,-140.0,7374.0,-29.0,17.0,,-0.0951219512195,0.102387905121,1457571838.04,-17.0,-0.646245084449
-13366.0,-118.0,7424.0,-29.0,16.0,,-0.0951219512195,0.103440999985,1457571838.14,-16.0,-0.656084594203
-13354.0,-126.0,7398.0,-29.0,15.0,,-0.156097560976,0.101787090302,1457571838.25,-18.0,-0.66887004579
-13302.0,-124.0,7438.0,-30.0,16.0,,-0.156097560976,0.103056907654,1457571838.35,-18.0,-0.684956977716
-13320.0,-110.0,7464.0,-30.0,16.0,,-0.156097560976,0.105730056763,1457571838.45,-18.0,-0.701461181699
-13350.0,-120.0,7478.0,-28.0,16.0,,-0.156097560976,0.103448867798,1457571838.56,-17.0,-0.717609297648
-13342.0,-140.0,7480.0,-29.0,14.0,,-0.0951219512195,0.101370096207,1457571838.66,-18.0,-0.730342370708
-13182.0,288.0,7370.0,-24.0,28.0,,-0.156097560976,0.101967096329,1457571838.76,-10.0,-0.743150432808
-12958.0,-558.0,7672.0,-28.0,14.0,,-0.156097560976,0.1027739048,1457571838.86,-18.0,-0.759193188679
-13222.0,2.0,7634.0,-28.0,4.0,,-0.521951219512,0.0984308719635,1457571838.96,-24.0,-0.792563655028
-12686.0,254.0,7638.0,-41.0,11.0,,-3.14390243902,0.106277227402,1457571839.07,-67.0,-0.987362036472
-13352.0,-626.0,7200.0,-39.0,16.0,,-3.81463414634,0.106626987457,1457571839.18,-147.0,-1.35834593308
-13378.0,-252.0,7420.0,-31.0,19.0,,-8.02195121951,0.102452993393,1457571839.28,-78.0,-1.96469273422
-13196.0,-258.0,7384.0,-41.0,12.0,,-13.8146341463,0.102417945862,1457571839.38,-242.0,-3.08292184312
-13186.0,-1460.0,7486.0,-47.0,15.0,,-13.8146341463,0.10600399971,1457571839.49,-314.0,-4.54732831717
-13292.0,-1738.0,7420.0,-30.0,21.0,,-9.05853658537,0.102665901184,1457571839.59,-77.0,-5.72147566022
-13174.0,-982.0,7500.0,-37.0,18.0,,-9.05853658537,0.10209608078,1457571839.69,-164.0,-6.64631674319
-13312.0,-2112.0,7222.0,-48.0,12.0,,-9.60731707317,0.102737903595,1457571839.79,-267.0,-7.60516208003
-13220.0,-2514.0,7346.0,-36.0,18.0,,-9.60731707317,0.102456092834,1457571839.9,-173.0,-8.58949024997
-13188.0,-2860.0,7450.0,-30.0,18.0,,-0.339024390244,0.102176904678,1457571840.0,-21.0,-9.09763344177
-14242.0,-1042.0,6724.0,1.0,41.0,,10.087804878,0.10330915451,1457571840.1,150.0,-8.59406430692
-13168.0,-2016.0,7284.0,-14.0,6.0,,21.2463414634,0.102331876755,1457571840.2,333.0,-6.99082330611
-13476.0,-934.0,7146.0,5.0,28.0,,21.2463414634,0.1036901474,1457571840.31,344.0,-4.78778702806
-13146.0,-692.0,7540.0,1.0,18.0,,20.9414634146,0.100016832352,1457571840.41,325.0,-2.67804172417
-13458.0,-154.0,7266.0,-9.0,20.0,,20.9414634146,0.107965946198,1457571840.52,328.0,-0.417076811849
-13386.0,50.0,7348.0,-12.0,22.0,,20.9414634146,0.102200031281,1457571840.62,356.0,1.72314140419
-13298.0,1286.0,7392.0,-10.0,21.0,,20.3926829268,0.102954149246,1457571840.72,319.0,3.85090233989
-13322.0,1494.0,7406.0,-17.0,16.0,,11.2463414634,0.101989030838,1457571840.82,169.0,5.464319057
-13198.0,1428.0,7432.0,-28.0,16.0,,-0.0341463414634,0.105067014694,1457571840.93,-16.0,6.05333499182
-13258.0,1356.0,7398.0,-28.0,18.0,,-0.0341463414634,0.10267496109,1457571841.03,-17.0,6.04982901753
-13280.0,1246.0,7366.0,-26.0,20.0,,1.30731707317,0.0983109474182,1457571841.13,6.0,6.11241232796
-13256.0,1392.0,7358.0,-22.0,16.0,,6.5512195122,0.106548070908,1457571841.24,92.0,6.53106828463
-13238.0,1462.0,7336.0,-23.0,16.0,,6.5512195122,0.102507829666,1457571841.34,96.0,7.20261957849
-13156.0,1932.0,7414.0,-23.0,15.0,,4.78292682927,0.102198123932,1457571841.44,63.0,7.78178382472
-13192.0,2058.0,7412.0,-29.0,16.0,,0.0268292682927,0.106348991394,1457571841.55,-15.0,8.03754017964
-13214.0,1990.0,7276.0,-27.0,16.0,,-0.643902439024,0.102855920792,1457571841.65,-26.0,8.00580536505
-13240.0,3668.0,7356.0,-32.0,8.0,,-6.31463414634,0.102932929993,1457571841.75,-119.0,7.64767408545
-12982.0,1468.0,7786.0,-40.0,16.0,,-14.6682926829,0.101319074631,1457571841.85,-277.0,6.58468872076
-13264.0,992.0,7354.0,-42.0,12.0,,-14.6682926829,0.10373711586,1457571841.96,-256.0,5.06304234324
-13320.0,296.0,7372.0,-31.0,18.0,,-3.14390243902,0.104763031006,1457571842.06,-67.0,4.13001256832
-13310.0,906.0,7448.0,-29.0,16.0,,-1.19268292683,0.0987508296967,1457571842.16,-13.0,3.91589186686
-13240.0,668.0,7442.0,-29.0,6.0,,-1.19268292683,0.103233098984,1457571842.26,-35.0,3.79276751222
-13290.0,1252.0,7350.0,-31.0,16.0,,-2.59512195122,0.106730937958,1457571842.37,-58.0,3.5906295285
-13352.0,514.0,7394.0,-33.0,15.0,,-2.59512195122,0.102957963943,1457571842.47,-91.0,3.32344105622
-13338.0,668.0,7344.0,-30.0,16.0,,-4.60731707317,0.100811958313,1457571842.57,-36.0,2.96039506488
-13264.0,1060.0,7406.0,-35.0,7.0,,-8.8756097561,0.108884096146,1457571842.68,-161.0,2.22635691428
-13318.0,-38.0,7362.0,-42.0,19.0,,-8.8756097561,0.100200891495,1457571842.78,-290.0,1.33701290416
-13378.0,-720.0,7472.0,-32.0,17.0,,-1.9243902439,0.102862119675,1457571842.89,-47.0,0.781557457912
-13352.0,-366.0,7428.0,-27.0,20.0,,0.758536585366,0.101381063461,1457571842.99,-3.0,0.722459716041
-13374.0,396.0,7430.0,-29.0,15.0,,0.758536585366,0.10932803154,1457571843.1,25.0,0.80538902777
-13384.0,8.0,7548.0,-29.0,15.0,,2.46585365854,0.0956900119781,1457571843.19,-13.0,0.959659998301
-13408.0,-274.0,7376.0,-25.0,20.0,,5.75853658537,0.102808952332,1457571843.3,79.0,1.38243047057
-13354.0,8.0,7416.0,-16.0,18.0,,6.18536585366,0.102402925491,1457571843.4,202.0,1.99397574634
-13340.0,1160.0,7388.0,-22.0,18.0,,6.18536585366,0.105859994888,1457571843.5,86.0,2.64875854399
-13336.0,722.0,7314.0,-28.0,16.0,,-0.339024390244,0.102857112885,1457571843.61,-21.0,2.94942744592
-13252.0,2362.0,7346.0,-36.0,21.0,,-16.8634146341,0.10196685791,1457571843.71,-292.0,2.07238811807
-13544.0,-1206.0,7320.0,-58.0,11.0,,-16.8634146341,0.106611013412,1457571843.82,-374.0,0.274562394328
