,Unnamed: 0,faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp_x,ax,ay,az,gx,gy,gyax,gz,time_diff,timestamp_y,gz_raw,theta
60,60,99,129,204,24,65,1,167.051879883,67.2049789429,1457571838.47,1457571838.51,-13350.0,-120.0,7478.0,-28.0,16.0,,-0.156097560976,0.103448867798,1457571838.56,-17.0,-0.717609297648
61,61,99,129,202,26,66,1,166.943222046,68.3891525269,1457571838.56,1457571838.59,-13350.0,-120.0,7478.0,-28.0,16.0,,-0.156097560976,0.103448867798,1457571838.56,-17.0,-0.717609297648
62,62,101,128,203,26,67,1,167.036865234,69.4860305786,1457571838.65,1457571838.68,-13342.0,-140.0,7480.0,-29.0,14.0,,-0.0951219512195,0.101370096207,1457571838.66,-18.0,-0.730342370708
63,63,101,127,203,25,68,1,166.424697876,69.2190322876,1457571838.74,1457571838.78,-13182.0,288.0,7370.0,-24.0,28.0,,-0.156097560976,0.101967096329,1457571838.76,-10.0,-0.743150432808
64,64,98,128,199,27,69,1,165.262451172,68.7630004883,1457571838.84,1457571838.88,-12958.0,-558.0,7672.0,-28.0,14.0,,-0.156097560976,0.1027739048,1457571838.86,-18.0,-0.759193188679
65,65,101,125,201,25,70,1,163.869827271,69.1075210571,1457571838.98,1457571839.02,-12686.0,254.0,7638.0,-41.0,11.0,,-3.14390243902,0.106277227402,1457571839.07,-67.0,-0.987362036472
66,66,101,124,200,25,71,1,163.792434692,69.6398239136,1457571839.07,1457571839.09,-12686.0,254.0,7638.0,-41.0,11.0,,-3.14390243902,0.106277227402,1457571839.07,-67.0,-0.987362036472
67,67,101,124,200,25,72,1,163.94442749,69.6756591797,1457571839.15,1457571839.18,-13352.0,-626.0,7200.0,-39.0,16.0,,-3.81463414634,0.106626987457,1457571839.18,-147.0,-1.35834593308
68,68,102,123,200,25,73,1,163.626907349,69.6544570923,1457571839.25,1457571839.29,-13378.0,-252.0,7420.0,-31.0,19.0,,-8.02195121951,0.102452993393,1457571839.28,-78.0,-1.96469273422
69,69,101,123,199,25,74,1,163.187850952,69.7024154663,1457571839.34,1457571839.36,-13196.0,-258.0,7384.0,-41.0,12.0,,-13.8146341463,0.102417945862,1457571839.38,-242.0,-3.08292184312
70,70,102,123,199,26,75,1,162.988128662,69.7955627441,1457571839.41,1457571839.44,-13186.0,-1460.0,7486.0,-47.0,15.0,,-13.8146341463,0.10600399971,1457571839.49,-314.0,-4.54732831717
71,71,102,123,200,25,76,1,163.217895508,69.9016876221,1457571839.48,1457571839.51,-13186.0,-1460.0,7486.0,-47.0,15.0,,-13.8146341463,0.10600399971,1457571839.49,-314.0,-4.54732831717
72,72,101,124,199,26,77,1,163.670303345,69.913520813,1457571839.55,1457571839.58,-13292.0,-1738.0,7420.0,-30.0,21.0,,-9.05853658537,0.102665901184,1457571839.59,-77.0,-5.72147566022
73,73,102,123,200,25,78,1,163.839126587,69.8803787231,1457571839.62,1457571839.65,-13174.0,-982.0,7500.0,-37.0,18.0,,-9.05853658537,0.10209608078,1457571839.69,-164.0,-6.64631674319
74,74,101,125,200,26,79,1,163.959121704,69.7597961426,1457571839.71,1457571839.74,-13174.0,-982.0,7500.0,-37.0,18.0,,-9.05853658537,0.10209608078,1457571839.69,-164.0,-6.64631674319
75,75,103,123,201,25,80,1,163.876052856,69.735748291,1457571839.81,1457571839.84,-13312.0,-2112.0,7222.0,-48.0,12.0,,-9.60731707317,0.102737903595,1457571839.79,-267.0,-7.60516208003
76,76,102,124,200,26,81,1,163.890304565,69.8596572876,1457571839.9,1457571839.93,-13220.0,-2514.0,7346.0,-36.0,18.0,,-9.60731707317,0.102456092834,1457571839.9,-173.0,-8.58949024997
77,77,101,125,200,26,82,1,163.992248535,69.7830047607,1457571840.0,1457571840.04,-13188.0,-2860.0,7450.0,-30.0,18.0,,-0.339024390244,0.102176904678,1457571840.0,-21.0,-9.09763344177
78,78,102,124,201,25,83,1,164.035995483,69.660194397,1457571840.09,1457571840.12,-14242.0,-1042.0,6724.0,1.0,41.0,,10.087804878,0.10330915451,1457571840.1,150.0,-8.59406430692
79,79,102,125,202,25,84,1,164.38508606,69.4687805176,1457571840.19,1457571840.21,-13168.0,-2016.0,7284.0,-14.0,6.0,,21.2463414634,0.102331876755,1457571840.2,333.0,-6.99082330611
80,80,101,126,201,26,85,1,164.479202271,69.3829116821,1457571840.29,1457571840.32,-13476.0,-934.0,7146.0,5.0,28.0,,21.2463414634,0.1036901474,1457571840.31,344.0,-4.78778702806
81,81,101,127,201,27,86,1,164.577804565,69.0942077637,1457571840.37,1457571840.4,-13146.0,-692.0,7540.0,1.0,18.0,,20.9414634146,0.100016832352,1457571840.41,325.0,-2.67804172417
82,82,99,126,199,26,87,1,164.499252319,69.0263519287,1457571840.45,1457571840.48,-13458.0,-154.0,7266.0,-9.0,20.0,,20.9414634146,0.107965946198,1457571840.52,328.0,-0.417076811849
83,83,100,126,200,26,88,1,164.43522644,69.0102005005,1457571840.54,1457571840.58,-13386.0,50.0,7348.0,-12.0,22.0,,20.9414634146,0.102200031281,1457571840.62,356.0,1.72314140419
84,84,100,125,199,26,89,1,164.388748169,68.9445877075,1457571840.63,1457571840.67,-13298.0,1286.0,7392.0,-10.0,21.0,,20.3926829268,0.102954149246,1457571840.72,319.0,3.85090233989
85,85,100,125,199,26,90,1,164.245376587,68.8654556274,1457571840.72,1457571840.75,-13298.0,1286.0,7392.0,-10.0,21.0,,20.3926829268,0.102954149246,1457571840.72,319.0,3.85090233989
86,86,99,126,198,27,91,1,164.293243408,68.9449539185,1457571840.82,1457571840.85,-13322.0,1494.0,7406.0,-17.0,16.0,,11.2463414634,0.101989030838,1457571840.82,169.0,5.464319057
87,87,100,126,199,27,92,1,164.200317383,68.9895095825,1457571840.91,1457571840.94,-13198.0,1428.0,7432.0,-28.0,16.0,,-0.0341463414634,0.105067014694,1457571840.93,-16.0,6.05333499182
88,88,100,126,199,27,93,1,164.229858398,68.9509963989,1457571841.01,1457571841.04,-13258.0,1356.0,7398.0,-28.0,18.0,,-0.0341463414634,0.10267496109,1457571841.03,-17.0,6.04982901753
89,89,100,126,199,27,94,1,164.063110352,68.8952636719,1457571841.11,1457571841.14,-13280.0,1246.0,7366.0,-26.0,20.0,,1.30731707317,0.0983109474182,1457571841.13,6.0,6.11241232796
90,90,100,126,199,27,95,1,163.759140015,68.8515396118,1457571841.21,1457571841.24,-13256.0,1392.0,7358.0,-22.0,16.0,,6.5512195122,0.106548070908,1457571841.24,92.0,6.53106828463
91,91,100,125,199,26,96,1,163.529098511,68.8258285522,1457571841.31,1457571841.33,-13238.0,1462.0,7336.0,-23.0,16.0,,6.5512195122,0.102507829666,1457571841.34,96.0,7.20261957849
92,92,100,125,198,27,97,1,163.272171021,68.756111145,1457571841.37,1457571841.4,-13156.0,1932.0,7414.0,-23.0,15.0,,4.78292682927,0.102198123932,1457571841.44,63.0,7.78178382472
