ax,ay,az,gx,gy,gz,time_diff,timestamp,gz_raw,theta
-13992.0,3306.0,5434.0,-10.0,8.0,2.6487804878,2.40586304665,1457567817.44,286.0,3.18630154714
-13168.0,416.0,7718.0,-21.0,24.0,2.6487804878,0.101438045502,1457567817.54,28.0,3.45498866279
-13298.0,-62.0,7322.0,-30.0,21.0,-0.339024390244,0.103259086609,1457567817.65,-21.0,3.57424031525
-13380.0,-84.0,7340.0,-24.0,22.0,-0.339024390244,0.102123975754,1457567817.75,-21.0,3.53961779664
-13318.0,-6.0,7430.0,-27.0,23.0,-0.339024390244,0.104120969772,1457567817.85,-25.0,3.50431824835
-13224.0,-66.0,7498.0,-29.0,12.0,-0.582926829268,0.101315021515,1457567817.95,-15.0,3.45761449453
-13514.0,272.0,7392.0,-34.0,6.0,0.0268292682927,0.102066040039,1457567818.06,-66.0,3.42923515657
-13328.0,10.0,7430.0,-29.0,16.0,-0.156097560976,0.101548910141,1457567818.16,-13.0,3.42267162945
-13332.0,-40.0,7482.0,-27.0,15.0,-0.156097560976,0.106966972351,1457567818.26,-18.0,3.40597434596
-13212.0,-10.0,7480.0,-22.0,25.0,-1.19268292683,0.102695941925,1457567818.37,-35.0,3.33671720464
-13170.0,-646.0,7448.0,-45.0,0.0,-1.19268292683,0.103835105896,1457567818.47,-39.0,3.21287484663
-13336.0,-214.0,7506.0,-30.0,16.0,-0.0341463414634,0.104382991791,1457567818.58,-16.0,3.14884479191
-13380.0,140.0,7144.0,-28.0,21.0,-0.0341463414634,0.0982460975647,1457567818.67,-12.0,3.14549004712
-13328.0,-202.0,7394.0,-29.0,17.0,-0.0951219512195,0.114733934402,1457567818.79,-17.0,3.13807431721
-13238.0,-376.0,7470.0,-32.0,19.0,-0.0951219512195,0.0943629741669,1457567818.88,-18.0,3.12909832699
-13284.0,-178.0,7376.0,-30.0,20.0,-0.156097560976,0.104135990143,1457567818.99,-15.0,3.11601783066
-13360.0,-250.0,7470.0,-29.0,17.0,-0.156097560976,0.10057592392,1457567819.09,-18.0,3.10031817425
-13214.0,-466.0,7506.0,-32.0,13.0,-0.4,0.106446027756,1457567819.19,-22.0,3.07072098604
-13326.0,-252.0,7354.0,-31.0,19.0,-0.4,0.102800130844,1457567819.3,-26.0,3.0296009337
-13280.0,-110.0,7418.0,-29.0,19.0,-0.339024390244,0.107117891312,1457567819.4,-21.0,2.99001956655
-13472.0,2.0,7224.0,-35.0,18.0,-0.339024390244,0.0995481014252,1457567819.5,-21.0,2.95627033216
-13268.0,-206.0,7492.0,-27.0,14.0,-0.278048780488,0.101802825928,1457567819.61,-20.0,2.92486043587
-13336.0,-286.0,7422.0,-27.0,22.0,-0.0951219512195,0.101500034332,1457567819.71,-15.0,2.90592201483
-13282.0,-266.0,7444.0,-29.0,19.0,-0.0341463414634,0.102239131927,1457567819.81,-17.0,2.89931387581
-13328.0,-234.0,7400.0,-28.0,16.0,-0.0341463414634,0.106328964233,1457567819.92,-16.0,2.89568313069
-13324.0,-224.0,7394.0,-30.0,18.0,-0.0341463414634,0.10218501091,1457567820.02,-15.0,2.89219388642
-13302.0,-214.0,7326.0,-30.0,16.0,-0.156097560976,0.103895902634,1457567820.12,-20.0,2.88231110544
-13412.0,-134.0,7242.0,-26.0,17.0,-0.278048780488,0.102580070496,1457567820.22,-18.0,2.86004372428
-13308.0,128.0,7432.0,-30.0,20.0,-1.68048780488,0.101880073547,1457567820.33,-43.0,2.7602757986
-13356.0,-114.0,7318.0,-36.0,20.0,-10.0341463415,0.104992866516,1457567820.43,-180.0,2.14529928899
-13286.0,-1304.0,7454.0,-41.0,20.0,-10.0341463415,0.103181123734,1457567820.53,-237.0,1.10996479378
-13314.0,-1146.0,7454.0,-34.0,15.0,-4.36341463415,0.103633880615,1457567820.64,-87.0,0.363927236127
-13238.0,-934.0,7346.0,-29.0,15.0,-4.36341463415,0.104381084442,1457567820.74,-71.0,-0.0915307152562
-13252.0,-994.0,7484.0,-31.0,12.0,-7.29024390244,0.100811004639,1457567820.84,-135.0,-0.678939227651
-13298.0,-1460.0,7370.0,-39.0,14.0,-10.0341463415,0.106536865234,1457567820.95,-183.0,-1.60178234199
-13296.0,-1668.0,7402.0,-38.0,11.0,-10.0341463415,0.099897146225,1457567821.05,-180.0,-2.60416492631
-13196.0,-2106.0,7338.0,-38.0,16.0,-9.66829268293,0.102616071701,1457567821.15,-174.0,-3.61505837411
-13408.0,-1838.0,7346.0,-29.0,21.0,-0.217073170732,0.101942777634,1457567821.25,-13.0,-4.11892920064
-13302.0,-2022.0,7364.0,-29.0,16.0,-0.156097560976,0.103141069412,1457567821.36,-19.0,-4.13817381481
-13262.0,-2056.0,7410.0,-28.0,14.0,-0.156097560976,0.106033086777,1457567821.46,-18.0,-4.15472532104
-13260.0,-2038.0,7364.0,-29.0,18.0,-0.156097560976,0.103229999542,1457567821.57,-18.0,-4.17083927219
-13210.0,-2060.0,7394.0,-30.0,19.0,0.148780487805,0.10188293457,1457567821.67,-13.0,-4.17121201463
-13264.0,-2078.0,7362.0,-31.0,21.0,0.148780487805,0.104888916016,1457567821.77,-9.0,-4.15560659054
-13268.0,-1990.0,7312.0,-28.0,11.0,-0.339024390244,0.101268053055,1457567821.87,-21.0,-4.16523940534
-13276.0,-2006.0,7310.0,-29.0,13.0,-0.4,0.101659059525,1457567821.98,-22.0,-4.20280366758
-13264.0,-1574.0,7446.0,-35.0,11.0,-1.98536585366,0.106153964996,1457567822.08,-48.0,-4.32941168925
-13144.0,-1472.0,7402.0,-37.0,16.0,-13.2658536585,0.101933002472,1457567822.18,-233.0,-5.10671298736
-13360.0,-3186.0,7238.0,-43.0,11.0,-13.2658536585,0.103950023651,1457567822.29,-243.0,-6.48569878892
-13202.0,-3144.0,7394.0,-31.0,17.0,-2.10731707317,0.102432966232,1457567822.39,-50.0,-7.27305852814
-13118.0,-2860.0,7324.0,-28.0,19.0,-0.521951219512,0.100610971451,1457567822.49,-17.0,-7.40532514671
-13124.0,-2778.0,7354.0,-31.0,16.0,-0.521951219512,0.103335142136,1457567822.59,-24.0,-7.45926105017
-13114.0,-2494.0,7362.0,-33.0,13.0,-1.19268292683,0.108466863632,1457567822.7,-35.0,-7.55225154423
-13154.0,-2640.0,7212.0,-26.0,23.0,-6.74146341463,0.1047539711,1457567822.81,-126.0,-7.96781821251
-13116.0,-3094.0,7274.0,-35.0,15.0,-6.74146341463,0.101974964142,1457567822.91,-169.0,-8.65527870248
-13050.0,-3718.0,7306.0,-30.0,16.0,-1.68048780488,0.0972950458527,1457567823.01,-43.0,-9.06498576752
-13044.0,-3374.0,7342.0,-29.0,20.0,0.514634146341,0.104890108109,1457567823.11,-7.0,-9.12612902566
-13166.0,-3728.0,7310.0,-16.0,13.0,17.8317073171,0.104125976562,1457567823.22,277.0,-8.17096366504
-13250.0,-2434.0,7226.0,-12.0,18.0,17.8317073171,0.102092981339,1457567823.32,346.0,-6.35047150269
-13220.0,-1414.0,7386.0,-25.0,15.0,5.20975609756,0.103245973587,1457567823.42,70.0,-5.16100234113
-13304.0,-2114.0,7374.0,-29.0,15.0,-0.217073170732,0.101711988449,1457567823.52,-19.0,-4.90709448704
-13246.0,-1666.0,7436.0,-35.0,10.0,-1.86341463415,0.102458953857,1457567823.63,-46.0,-5.01367678904
-13336.0,-2704.0,7254.0,-36.0,20.0,-2.47317073171,0.106492042542,1457567823.73,-146.0,-5.24458270567
-13216.0,-2534.0,7368.0,-30.0,18.0,-3.26585365854,0.103764057159,1457567823.84,-56.0,-5.54233493311
-13258.0,-2434.0,7340.0,-33.0,18.0,-3.26585365854,0.102506875992,1457567823.94,-69.0,-5.87710738909
-13244.0,-2392.0,7284.0,-33.0,15.0,-5.58292682927,0.10130906105,1457567824.04,-107.0,-6.32533821042
-13100.0,-2076.0,7226.0,-42.0,4.0,-14.7902439024,0.101683139801,1457567824.14,-258.0,-7.36114219427
-13110.0,-3694.0,7276.0,-51.0,23.0,-26.6195121951,0.106915950775,1457567824.25,-452.0,-9.57482391654
-12798.0,-4212.0,7662.0,-59.0,-13.0,-26.6195121951,0.102627038956,1457567824.35,-472.0,-12.3067056316
-12718.0,-5230.0,7098.0,-50.0,10.0,-26.3146341463,0.105576992035,1457567824.46,-447.0,-15.1010196049
-12620.0,-5648.0,6908.0,-54.0,17.0,-26.3146341463,0.0991380214691,1457567824.56,-445.0,-17.7098003699
-11844.0,-6052.0,7560.0,-48.0,-2.0,-26.1926829268,0.106096982956,1457567824.66,-541.0,-20.4952343321
-11968.0,-7050.0,7190.0,-48.0,12.0,-22.8390243902,0.0988318920135,1457567824.76,-390.0,-22.9181825335
-11500.0,-7140.0,7298.0,-43.0,14.0,-17.2292682927,0.105947971344,1457567824.87,-263.0,-25.040759696
-11238.0,-7384.0,7384.0,-39.0,16.0,-17.2292682927,0.10285115242,1457567824.97,-298.0,-26.8128097953
-11482.0,-9060.0,7190.0,-58.0,19.0,-17.2292682927,0.103771924973,1457567825.07,-406.0,-28.6007241319
-11336.0,-8516.0,6742.0,-33.0,39.0,0.941463414634,0.0989379882812,1457567825.17,0.0,-29.406465456
-10996.0,-8626.0,7276.0,-20.0,13.0,8.50243902439,0.108952045441,1457567825.28,124.0,-28.8919992121
-11060.0,-8448.0,7284.0,2.0,35.0,20.2097560976,0.101908922195,1457567825.38,346.0,-27.4289847828
-11370.0,-6474.0,7572.0,2.0,1.0,20.2097560976,0.106112957001,1457567825.49,316.0,-25.284467803
-11672.0,-6532.0,7230.0,-27.0,11.0,1.24634146341,0.109307050705,1457567825.6,5.0,-24.111816431
