faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp
99,137,200,36,5,1,168.25,75.25,1457569588.89,1457569589.32
104,134,204,34,6,1,168.438156128,75.1719207764,1457569589.4,1457569589.43
105,133,205,33,7,1,168.502761841,75.3242416382,1457569589.53,1457569589.56
104,134,204,34,8,1,168.532318115,75.4031677246,1457569589.62,1457569589.64
104,134,204,34,9,1,168.562332153,75.4435882568,1457569589.69,1457569589.71
105,133,205,33,10,1,168.730407715,75.5120849609,1457569589.76,1457569589.78
103,137,204,36,11,1,168.960723877,75.613494873,1457569589.83,1457569589.86
103,137,204,36,12,1,169.214477539,75.7179031372,1457569589.9,1457569589.92
103,137,204,36,13,1,169.354263306,75.7332763672,1457569589.96,1457569589.99
99,138,201,36,14,1,169.663894653,75.7216873169,1457569590.03,1457569590.05
100,138,201,37,15,1,169.75479126,75.7378692627,1457569590.1,1457569590.12
101,138,202,37,16,1,169.816192627,75.7574005127,1457569590.17,1457569590.2
103,137,204,36,17,1,169.81590271,75.7773132324,1457569590.24,1457569590.26
100,138,201,37,18,1,169.744384766,75.7533416748,1457569590.3,1457569590.33
101,138,203,36,19,1,169.561599731,75.8893356323,1457569590.37,1457569590.39
105,134,206,33,20,1,169.291931152,75.938369751,1457569590.44,1457569590.46
101,137,201,37,21,1,168.783157349,76.0469207764,1457569590.51,1457569590.53
101,136,199,38,22,1,168.172592163,76.1445159912,1457569590.58,1457569590.6
100,135,199,36,23,1,167.878723145,76.1912078857,1457569590.64,1457569590.66
103,134,202,35,24,1,167.510192871,76.2074508667,1457569590.71,1457569590.73
104,133,203,34,25,1,167.399475098,76.2065811157,1457569590.78,1457569590.8
102,133,201,34,26,1,167.080123901,76.2013778687,1457569590.84,1457569590.87
103,132,202,33,27,1,167.024383545,76.1902999878,1457569590.92,1457569590.94
105,131,203,33,28,1,166.971008301,76.177444458,1457569590.99,1457569591.01
105,130,203,32,29,1,166.929016113,76.1572265625,1457569591.05,1457569591.08
104,132,202,34,30,1,167.009460449,76.1639328003,1457569591.13,1457569591.15
