,Unnamed: 0,faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp_x,ax,ay,az,gx,gy,gz,time_diff,timestamp_y,gz_raw,theta
32,32,103,133,209,27,37,1,172.295578003,71.4312515259,1457569758.15,1457569758.18,-13336.0,764.0,7370.0,-29.0,17.0,-0.826829268293,0.106894016266,1457569758.22,-24.0,-0.670007225362
33,33,104,133,210,27,38,1,172.299957275,71.4283065796,1457569758.23,1457569758.27,-13336.0,764.0,7370.0,-29.0,17.0,-0.826829268293,0.106894016266,1457569758.22,-24.0,-0.670007225362
34,34,104,133,211,26,39,1,172.2237854,71.3885498047,1457569758.32,1457569758.35,-13282.0,824.0,7368.0,-29.0,16.0,-0.826829268293,0.10179400444,1457569758.33,-29.0,-0.75417348757
35,35,103,134,210,27,40,1,172.218795776,71.3667297363,1457569758.42,1457569758.44,-13334.0,648.0,7368.0,-30.0,16.0,-1.9243902439,0.104639053345,1457569758.43,-64.0,-0.89811599022
36,36,104,133,211,26,41,1,172.252639771,71.2653045654,1457569758.5,1457569758.53,-13416.0,734.0,7362.0,-31.0,13.0,-2.96097560976,0.100960969925,1457569758.53,-47.0,-1.14473162773
37,37,102,135,208,29,42,1,172.194381714,71.2494506836,1457569758.59,1457569758.62,-13298.0,636.0,7422.0,-31.0,15.0,-3.99756097561,0.102136850357,1457569758.63,-81.0,-1.50009313269
38,38,101,135,208,28,43,1,172.188568115,71.2551498413,1457569758.68,1457569758.72,-13338.0,608.0,7356.0,-35.0,16.0,-8.50975609756,0.10640501976,1457569758.74,-155.0,-2.16551379285
39,39,100,137,207,30,44,1,172.179901123,71.3472442627,1457569758.76,1457569758.78,-13338.0,608.0,7356.0,-35.0,16.0,-8.50975609756,0.10640501976,1457569758.74,-155.0,-2.16551379285
40,40,102,136,209,29,45,1,172.30581665,71.1742172241,1457569758.83,1457569758.85,-13340.0,278.0,7396.0,-38.0,22.0,-10.3390243902,0.103162050247,1457569758.84,-185.0,-3.13775321274
41,41,101,136,209,28,46,1,172.356765747,71.1426315308,1457569758.9,1457569758.92,-13314.0,66.0,7394.0,-41.0,15.0,-13.7536585366,0.102457046509,1457569758.94,-241.0,-4.37198578032
42,42,102,136,209,29,47,1,172.521621704,71.1638565063,1457569758.97,1457569759.0,-13370.0,-512.0,7404.0,-44.0,15.0,-15.0951219512,0.102023839951,1457569759.05,-263.0,-5.84361746195
43,43,102,137,210,29,48,1,172.602096558,71.2019805908,1457569759.05,1457569759.07,-13370.0,-512.0,7404.0,-44.0,15.0,-15.0951219512,0.102023839951,1457569759.05,-263.0,-5.84361746195
44,44,102,135,208,29,49,1,172.733795166,71.1828155518,1457569759.13,1457569759.15,-13448.0,-758.0,7278.0,-52.0,9.0,-17.2292682927,0.102955102921,1457569759.15,-315.0,-7.50759792415
45,45,101,135,207,29,50,1,173.023162842,71.1204223633,1457569759.22,1457569759.24,-13358.0,-1398.0,7266.0,-49.0,14.0,-17.2292682927,0.105426073074,1457569759.26,-298.0,-9.32401202219
46,46,102,135,208,29,51,1,173.141998291,71.0789413452,1457569759.3,1457569759.33,-13136.0,-1452.0,7416.0,-47.0,13.0,-17.2292682927,0.101991891861,1457569759.36,-284.0,-11.0812576907
47,47,102,135,209,28,52,1,173.251174927,71.0957183838,1457569759.39,1457569759.43,-13342.0,-1236.0,7388.0,-44.0,23.0,-21.3146341463,0.105566978455,1457569759.46,-365.0,-13.1157393499
48,48,103,135,210,28,53,1,173.294265747,71.2072296143,1457569759.48,1457569759.5,-13342.0,-1236.0,7388.0,-44.0,23.0,-21.3146341463,0.105566978455,1457569759.46,-365.0,-13.1157393499
49,49,102,136,209,29,54,1,173.32119751,71.1378097534,1457569759.55,1457569759.57,-12976.0,-3438.0,7398.0,-40.0,19.0,-21.3146341463,0.103418111801,1457569759.57,-454.0,-15.3200585671
50,50,102,135,210,27,55,1,173.407104492,71.0152435303,1457569759.62,1457569759.64,-12886.0,-4210.0,7350.0,-42.0,10.0,-17.2292682927,0.1023478508,1457569759.67,-298.0,-17.2925013551
51,51,100,137,208,29,56,1,173.410232544,70.9574584961,1457569759.68,1457569759.71,-12886.0,-4210.0,7350.0,-42.0,10.0,-17.2292682927,0.1023478508,1457569759.67,-298.0,-17.2925013551
52,52,103,135,212,26,57,1,173.429031372,70.9376678467,1457569759.77,1457569759.8,-12930.0,-3710.0,7398.0,-45.0,13.0,-8.26585365854,0.10372209549,1457569759.77,-151.0,-18.6147050919
53,53,103,135,211,27,58,1,173.615921021,70.8893203735,1457569759.88,1457569759.91,-12856.0,-3932.0,7376.0,-40.0,12.0,-7.22926829268,0.101913928986,1457569759.87,-94.0,-19.4042894709
54,54,104,135,213,26,59,1,173.738601685,70.9329986572,1457569759.97,1457569760.01,-12836.0,-4352.0,7408.0,-38.0,12.0,-4.79024390244,0.101579189301,1457569759.98,-134.0,-20.0147556232
55,55,103,135,211,27,60,1,173.870437622,70.8560562134,1457569760.07,1457569760.1,-12847.0,-1.0,-1.0,-1.0,-1.0,-0.0951219512195,0.0943818092346,1457569760.07,-1.0,-20.2453004572
56,56,104,136,212,28,61,1,173.990097046,70.8078918457,1457569760.16,1457569760.18,-12824.0,-4184.0,7376.0,-30.0,17.0,-0.0951219512195,0.117602109909,1457569760.19,-17.0,-20.2564869994
57,57,101,137,210,28,62,1,174.322799683,70.823928833,1457569760.24,1457569760.28,-12772.0,-4264.0,7340.0,-30.0,17.0,-0.0951219512195,0.0953149795532,1457569760.28,-18.0,-20.2655535462
58,58,101,138,211,28,63,1,174.495193481,70.8062133789,1457569760.36,1457569760.39,-12858.0,-4214.0,7292.0,-30.0,17.0,-0.156097560976,0.106510877609,1457569760.39,-16.0,-20.2789323516
59,59,101,139,211,29,64,1,174.660339355,70.8449783325,1457569760.45,1457569760.47,-12816.0,-4192.0,7326.0,-29.0,15.0,-0.0341463414634,0.104541063309,1457569760.49,-18.0,-20.2888765015
60,60,100,140,210,30,65,1,174.796783447,70.7524795532,1457569760.52,1457569760.56,-12838.0,-4166.0,7352.0,-27.0,11.0,-0.0951219512195,0.104561090469,1457569760.6,-14.0,-20.2956347183
61,61,101,139,211,29,66,1,174.860321045,70.7451324463,1457569760.61,1457569760.64,-12838.0,-4166.0,7352.0,-27.0,11.0,-0.0951219512195,0.104561090469,1457569760.6,-14.0,-20.2956347183
62,62,100,139,210,29,67,1,174.844848633,70.740020752,1457569760.71,1457569760.76,-12824.0,-4212.0,7368.0,-30.0,17.0,0.0268292682927,0.0987601280212,1457569760.8,-15.0,-20.2964794865
63,63,100,139,209,30,68,1,174.898651123,70.6293716431,1457569760.84,1457569760.87,-12702.0,-4912.0,8246.0,-37.0,-1.0,8.31951219512,0.101785898209,1457569760.9,121.0,-19.8717095552
64,64,100,138,209,29,69,1,174.94631958,70.638092041,1457569760.91,1457569760.93,-12702.0,-4912.0,8246.0,-37.0,-1.0,8.31951219512,0.101785898209,1457569760.9,121.0,-19.8717095552
65,65,100,139,209,30,70,1,175.118133545,70.5807342529,1457569761.02,1457569761.05,-12992.0,-3788.0,7474.0,-12.0,23.0,8.31951219512,0.106193065643,1457569761.01,131.0,-18.9882350506
66,66,100,139,210,29,71,1,175.251785278,70.6091461182,1457569761.1,1457569761.12,-12946.0,-3374.0,7318.0,-25.0,14.0,0.758536585366,0.103312969208,1457569761.11,-3.0,-18.5192949635
67,67,100,140,210,30,72,1,175.469848633,70.5657424927,1457569761.17,1457569761.2,-12916.0,-3632.0,7408.0,-29.0,18.0,-0.0951219512195,0.103123903275,1457569761.21,-17.0,-18.4850880102
68,68,100,139,209,30,73,1,175.59312439,70.4666976929,1457569761.24,1457569761.28,-12924.0,-3706.0,7366.0,-30.0,17.0,-0.0951219512195,0.103495121002,1457569761.32,-17.0,-18.4949326681
69,69,100,140,210,30,74,1,175.409606934,70.424911499,1457569761.32,1457569761.35,-12924.0,-3706.0,7366.0,-30.0,17.0,-0.0951219512195,0.103495121002,1457569761.32,-17.0,-18.4949326681
70,70,99,140,208,31,75,1,175.248596191,70.4333496094,1457569761.42,1457569761.45,-12952.0,-3706.0,7412.0,-30.0,16.0,-0.0951219512195,0.100337982178,1457569761.42,-19.0,-18.5044770127
