,Unnamed: 0,faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp_x,ax,ay,az,gx,gy,gz,time_diff,timestamp_y,gz_raw,theta
30,30,100,142,214,28,35,1,176.553695679,74.5637130737,1457569874.75,1457569874.77,-11904.0,-6530.0,7398.0,-36.0,9.0,-4.30243902439,0.101432085037,1457569874.78,-159.0,-1.16062732324
31,31,100,141,214,27,36,1,176.298706055,74.4694137573,1457569874.82,1457569874.84,-11726.0,-6878.0,7516.0,-25.0,3.0,-8.75365853659,0.10507106781,1457569874.88,-30.0,-1.84653637933
32,32,101,140,214,27,37,1,175.836837769,74.5098724365,1457569874.89,1457569874.91,-11726.0,-6878.0,7516.0,-25.0,3.0,-8.75365853659,0.10507106781,1457569874.88,-30.0,-1.84653637933
33,33,102,139,213,28,38,1,175.537948608,74.5664520264,1457569874.96,1457569874.99,-11830.0,-5914.0,7368.0,-39.0,18.0,-10.7658536585,0.104028940201,1457569874.99,-192.0,-2.86183346277
34,34,103,139,215,27,39,1,175.135253906,74.6055984497,1457569875.06,1457569875.09,-11678.0,-7262.0,7360.0,-44.0,14.0,-10.7658536585,0.103172063828,1457569875.09,-233.0,-3.97256880359
35,35,98,141,208,31,40,1,174.6978302,74.5739822388,1457569875.17,1457569875.19,-11506.0,-7302.0,7332.0,-34.0,19.0,-5.76585365854,0.102744817734,1457569875.19,-110.0,-4.82184243115
36,36,97,141,208,30,41,1,173.854187012,74.416267395,1457569875.25,1457569875.28,-11520.0,-7662.0,7228.0,-30.0,12.0,-1.98536585366,0.100718975067,1457569875.29,-48.0,-5.21218987354
37,37,97,141,207,31,42,1,173.732223511,74.3809280396,1457569875.33,1457569875.36,-11520.0,-7436.0,7366.0,-30.0,15.0,-0.0341463414634,0.10216999054,1457569875.39,-15.0,-5.31535664448
38,38,98,141,207,32,43,1,173.523635864,74.4652633667,1457569875.4,1457569875.42,-11520.0,-7436.0,7366.0,-30.0,15.0,-0.0341463414634,0.10216999054,1457569875.39,-15.0,-5.31535664448
39,39,98,140,208,30,44,1,173.458175659,74.5488815308,1457569875.47,1457569875.49,-11506.0,-7276.0,7366.0,-29.0,16.0,-0.0341463414634,0.107553005219,1457569875.5,-16.0,-5.31902918612
40,40,98,140,207,31,45,1,173.308181763,74.4624633789,1457569875.53,1457569875.56,-11484.0,-7282.0,7300.0,-29.0,17.0,-0.0951219512195,0.101639032364,1457569875.6,-17.0,-5.32559853821
41,41,101,138,210,29,46,1,173.282714844,74.3469619751,1457569875.61,1457569875.63,-11484.0,-7282.0,7300.0,-29.0,17.0,-0.0951219512195,0.101639032364,1457569875.6,-17.0,-5.32559853821
42,42,99,139,209,29,47,1,173.199661255,74.1196212769,1457569875.68,1457569875.71,-11430.0,-7364.0,7302.0,-28.0,16.0,-0.0951219512195,0.104199171066,1457569875.71,-18.0,-5.33551016668
43,43,98,139,207,30,48,1,173.150222778,74.0967102051,1457569875.76,1457569875.79,-11508.0,-7284.0,7336.0,-29.0,21.0,-0.0341463414634,0.103812932968,1457569875.81,-16.0,-5.34222002698
