,faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp_x,ax,ay,az,gx,gy,gz,time_diff,timestamp_y,gz_raw,theta
0,-1,-1,-1,-1,3,0,187.5,70.3333358765,1457570845.76,1457570845.92,-13230.0,-2420.0,7462.0,-39.0,17.0,-10.643902439,2.40514802933,1457570847.98,-190.0,-12.8000804878
1,100,148,229,19,4,1,187.437927246,69.7274475098,1457570845.98,1457570846.01,-13230.0,-2420.0,7462.0,-39.0,17.0,-10.643902439,2.40514802933,1457570847.98,-190.0,-12.8000804878
2,100,149,229,20,5,1,187.422409058,70.0633468628,1457570846.05,1457570846.08,-13230.0,-2420.0,7462.0,-39.0,17.0,-10.643902439,2.40514802933,1457570847.98,-190.0,-12.8000804878
3,100,149,229,20,6,1,187.443908691,70.1303405762,1457570846.12,1457570846.15,-13230.0,-2420.0,7462.0,-39.0,17.0,-10.643902439,2.40514802933,1457570847.98,-190.0,-12.8000804878
4,100,148,229,19,7,1,187.537109375,69.9901199341,1457570846.19,1457570846.21,-13230.0,-2420.0,7462.0,-39.0,17.0,-10.643902439,2.40514802933,1457570847.98,-190.0,-12.8000804878
5,101,149,232,18,8,1,187.719070435,69.7132339478,1457570846.26,1457570846.28,-13230.0,-2420.0,7462.0,-39.0,17.0,-10.643902439,2.40514802933,1457570847.98,-190.0,-12.8000804878
6,100,149,231,18,9,1,187.817443848,69.701499939,1457570846.33,1457570846.35,-13230.0,-2420.0,7462.0,-39.0,17.0,-10.643902439,2.40514802933,1457570847.98,-190.0,-12.8000804878
7,99,150,231,18,10,1,187.98399353,69.7173995972,1457570846.4,1457570846.43,-13230.0,-2420.0,7462.0,-39.0,17.0,-10.643902439,2.40514802933,1457570847.98,-190.0,-12.8000804878
8,101,149,231,19,11,1,187.984909058,69.6792984009,1457570846.47,1457570846.5,-13230.0,-2420.0,7462.0,-39.0,17.0,-10.643902439,2.40514802933,1457570847.98,-190.0,-12.8000804878
9,102,148,232,18,12,1,188.051986694,69.6672210693,1457570846.54,1457570846.57,-13230.0,-2420.0,7462.0,-39.0,17.0,-10.643902439,2.40514802933,1457570847.98,-190.0,-12.8000804878
10,101,149,232,18,13,1,188.034378052,69.6748275757,1457570846.61,1457570846.63,-13230.0,-2420.0,7462.0,-39.0,17.0,-10.643902439,2.40514802933,1457570847.98,-190.0,-12.8000804878
11,101,149,232,18,14,1,188.005050659,69.7511672974,1457570846.68,1457570846.7,-13230.0,-2420.0,7462.0,-39.0,17.0,-10.643902439,2.40514802933,1457570847.98,-190.0,-12.8000804878
12,100,150,231,19,15,1,188.043640137,69.7255935669,1457570846.75,1457570846.78,-13230.0,-2420.0,7462.0,-39.0,17.0,-10.643902439,2.40514802933,1457570847.98,-190.0,-12.8000804878
13,100,150,232,18,16,1,188.091491699,69.6775283813,1457570846.82,1457570846.84,-13230.0,-2420.0,7462.0,-39.0,17.0,-10.643902439,2.40514802933,1457570847.98,-190.0,-12.8000804878
14,99,150,231,18,17,1,188.08531189,69.6122817993,1457570846.9,1457570846.94,-13230.0,-2420.0,7462.0,-39.0,17.0,-10.643902439,2.40514802933,1457570847.98,-190.0,-12.8000804878
15,101,149,231,19,18,1,188.005661011,69.6274642944,1457570847.0,1457570847.03,-13230.0,-2420.0,7462.0,-39.0,17.0,-10.643902439,2.40514802933,1457570847.98,-190.0,-12.8000804878
16,100,149,230,19,19,1,187.968856812,69.5291366577,1457570847.08,1457570847.13,-13230.0,-2420.0,7462.0,-39.0,17.0,-10.643902439,2.40514802933,1457570847.98,-190.0,-12.8000804878
17,102,148,233,17,20,1,187.905822754,69.3736495972,1457570847.2,1457570847.23,-13230.0,-2420.0,7462.0,-39.0,17.0,-10.643902439,2.40514802933,1457570847.98,-190.0,-12.8000804878
18,99,149,230,18,21,1,187.91998291,69.4302139282,1457570847.27,1457570847.29,-13230.0,-2420.0,7462.0,-39.0,17.0,-10.643902439,2.40514802933,1457570847.98,-190.0,-12.8000804878
19,102,148,232,18,22,1,187.93019104,69.4959716797,1457570847.34,1457570847.36,-13230.0,-2420.0,7462.0,-39.0,17.0,-10.643902439,2.40514802933,1457570847.98,-190.0,-12.8000804878
