ax,ay,az,gx,gy,gz,time_diff,timestamp,gz_raw,theta
-13298.0,556.0,7392.0,-31.0,15.0,-0.217073170732,2.40846800804,1457571952.32,-19.0,-0.261406893556
-13344.0,820.0,7372.0,-37.0,14.0,-0.826829268293,0.0981569290161,1457571952.42,-29.0,-0.312640022359
-12958.0,734.0,7846.0,-46.0,7.0,-4.54634146341,0.103704929352,1457571952.52,-130.0,-0.591252167923
-13378.0,376.0,7386.0,-40.0,10.0,-6.98536585366,0.101702928543,1457571952.62,-90.0,-1.17765637055
-13360.0,162.0,7326.0,-41.0,20.0,-7.16829268293,0.107347011566,1457571952.73,-133.0,-1.93733284386
-13226.0,522.0,7446.0,-52.0,17.0,-18.143902439,0.101436138153,1457571952.83,-313.0,-3.22111850454
-12922.0,-98.0,7346.0,-64.0,1.0,-40.3390243902,0.10383605957,1457571952.93,-677.0,-6.25743684158
-12692.0,-494.0,7708.0,-83.0,31.0,-77.412195122,0.104580879211,1457571953.04,-1285.0,-12.414699874
-10880.0,-3708.0,7904.0,-152.0,-22.0,-116.009756098,0.102535963058,1457571953.14,-1918.0,-22.3310528965
-9542.0,-8870.0,6830.0,-173.0,-39.0,-146.802439024,0.108639955521,1457571953.25,-2423.0,-36.6070054906
-9140.0,-12582.0,2636.0,-220.0,14.0,-161.802439024,0.101657152176,1457571953.35,-2669.0,-52.2929520156
-3894.0,-14924.0,5042.0,-174.0,20.0,-161.802439024,0.100378990173,1457571953.45,-2719.0,-68.5345174525
-1192.0,-17300.0,4910.0,-177.0,70.0,-157.351219512,0.103241920471,1457571953.56,-2596.0,-85.0095357688
4038.0,-14696.0,7282.0,-147.0,36.0,-130.582926829,0.101511001587,1457571953.66,-2157.0,-99.6237775619
4170.0,-14604.0,5920.0,-49.0,14.0,-1.07073170732,0.0993020534515,1457571953.76,24.0,-106.16051688
3622.0,-14076.0,6202.0,-16.0,4.0,-0.156097560976,0.103411912918,1457571953.86,-33.0,-106.223951261
3550.0,-14444.0,6332.0,-34.0,20.0,-0.217073170732,0.104820966721,1457571953.96,-18.0,-106.24350932
3294.0,-15284.0,5790.0,-38.0,48.0,-0.156097560976,0.102602005005,1457571954.07,-19.0,-106.262653352
3714.0,-14368.0,6414.0,-26.0,14.0,-0.156097560976,0.101768016815,1457571954.17,-16.0,-106.278539091
3874.0,-14346.0,6380.0,-29.0,16.0,-0.156097560976,0.103574037552,1457571954.27,-18.0,-106.294706746
