,Unnamed: 0,faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp_x,ax,ay,az,gx,gy,gz,time_diff,timestamp_y,gz_raw,theta
40,40,94,140,221,13,45,1,180.804199219,66.9989776611,1457572291.27,1457572291.29,-6242.0,-9562.0,9656.0,-184.0,4.0,-158.631707317,0.10303401947,1457572291.25,-2617.0,-51.9550677558
41,41,93,139,220,12,46,1,180.052581787,66.9836044312,1457572291.34,1457572291.37,-2936.0,-12128.0,8486.0,-192.0,-17.0,-158.631707317,0.106239080429,1457572291.36,-2690.0,-68.8079544681
42,42,94,139,220,13,47,1,179.622558594,67.0363235474,1457572291.42,1457572291.44,-566.0,-12130.0,8570.0,-171.0,111.0,-150.034146341,0.101712942123,1457572291.46,-2476.0,-84.5056105224
43,43,94,139,220,13,48,1,178.858886719,67.1956481934,1457572291.51,1457572291.55,3702.0,-15844.0,5378.0,-182.0,28.0,-137.351219512,0.102469921112,1457572291.57,-2268.0,-99.2297884063
44,44,95,138,219,14,49,1,177.71270752,67.1836700439,1457572291.61,1457572291.64,2650.0,-15326.0,3996.0,-61.0,94.0,-4.66829268293,0.0982491970062,1457572291.66,-17.0,-106.206439922
45,45,94,135,217,12,50,1,176.308227539,67.0096511841,1457572291.71,1457572291.74,4308.0,-14148.0,4646.0,-35.0,-35.0,-0.217073170732,0.106445789337,1457572291.77,-92.0,-106.466453235
46,46,93,137,215,15,51,1,175.220397949,67.2085113525,1457572291.8,1457572291.83,4220.0,-14390.0,6390.0,-39.0,16.0,-0.339024390244,0.111435174942,1457572291.88,-19.0,-106.497437649
47,47,93,136,214,15,52,1,175.010681152,67.5827865601,1457572291.88,1457572291.93,4220.0,-14390.0,6390.0,-39.0,16.0,-0.339024390244,0.111435174942,1457572291.88,-19.0,-106.497437649
48,48,94,137,216,15,53,1,175.502883911,67.7377929688,1457572291.97,1457572292.0,4568.0,-14432.0,6912.0,-35.0,7.0,-0.278048780488,0.10014295578,1457572291.98,-21.0,-106.528335415
49,49,97,136,219,14,54,1,175.916305542,67.9513397217,1457572292.05,1457572292.08,4120.0,-14334.0,6398.0,-30.0,12.0,-0.278048780488,0.0962560176849,1457572292.08,-20.0,-106.555099283
50,50,97,136,219,14,55,1,176.861465454,68.3798065186,1457572292.12,1457572292.15,3834.0,-14206.0,6206.0,-30.0,18.0,-0.217073170732,0.103036880493,1457572292.18,-19.0,-106.580607194
51,51,99,136,220,15,56,1,177.813705444,68.5986480713,1457572292.19,1457572292.22,3834.0,-14206.0,6206.0,-30.0,18.0,-0.217073170732,0.103036880493,1457572292.18,-19.0,-106.580607194
52,52,96,138,220,14,57,1,178.883010864,68.7257003784,1457572292.27,1457572292.29,3892.0,-14388.0,6324.0,-35.0,20.0,-0.217073170732,0.106868982315,1457572292.29,-19.0,-106.603805583
53,53,97,138,221,14,58,1,179.398010254,68.7601928711,1457572292.34,1457572292.36,3834.0,-14308.0,6552.0,-30.0,20.0,-0.217073170732,0.102202177048,1457572292.39,-20.0,-106.625990933
54,54,96,140,222,14,59,1,180.323272705,68.7222824097,1457572292.41,1457572292.43,3834.0,-14308.0,6552.0,-30.0,20.0,-0.217073170732,0.102202177048,1457572292.39,-20.0,-106.625990933
55,55,98,140,225,13,60,1,181.152008057,68.7081451416,1457572292.48,1457572292.51,3930.0,-14338.0,6376.0,-32.0,17.0,-0.217073170732,0.103091001511,1457572292.49,-16.0,-106.648369224
56,56,98,140,225,13,61,1,181.424545288,68.628616333,1457572292.56,1457572292.58,3984.0,-14390.0,6322.0,-33.0,14.0,-0.217073170732,0.101173877716,1457572292.59,-19.0,-106.670331358
57,57,98,140,225,13,62,1,181.70475769,68.7614593506,1457572292.62,1457572292.66,5022.0,-14504.0,6652.0,-29.0,-27.0,-0.217073170732,0.10343003273,1457572292.7,-27.0,-106.692783243
58,58,97,141,224,14,63,1,181.75920105,68.7439956665,1457572292.7,1457572292.73,5022.0,-14504.0,6652.0,-29.0,-27.0,-0.217073170732,0.10343003273,1457572292.7,-27.0,-106.692783243
59,59,96,141,223,14,64,1,181.910263062,68.7948684692,1457572292.78,1457572292.8,5246.0,-14648.0,7258.0,-18.0,8.0,-0.156097560976,0.101408958435,1457572292.8,-18.0,-106.711704671
60,60,97,142,224,15,65,1,181.987884521,68.8440704346,1457572292.85,1457572292.88,3970.0,-14310.0,6372.0,-31.0,17.0,-0.156097560976,0.107918024063,1457572292.91,-18.0,-106.728550411
61,61,97,141,224,14,66,1,182.098251343,68.8535766602,1457572292.92,1457572292.94,3970.0,-14310.0,6372.0,-31.0,17.0,-0.156097560976,0.107918024063,1457572292.91,-18.0,-106.728550411
62,62,97,142,224,15,67,1,182.111480713,68.9278945923,1457572292.99,1457572293.03,3372.0,-14554.0,5636.0,-29.0,28.0,0.0268292682927,0.102210044861,1457572293.01,-15.0,-106.73515667
63,63,96,142,224,14,68,1,182.273193359,68.9725799561,1457572293.1,1457572293.14,3842.0,-14294.0,6276.0,-29.0,21.0,0.0268292682927,0.100962877274,1457572293.11,-14.0,-106.73244791
64,64,95,144,224,15,69,1,182.782348633,68.9477996826,1457572293.2,1457572293.23,3842.0,-14422.0,5958.0,-26.0,14.0,-0.0951219512195,0.101630210876,1457572293.21,-22.0,-106.73591821
65,65,95,144,223,16,70,1,183.253479004,68.7480392456,1457572293.3,1457572293.33,4112.0,-14138.0,6414.0,-28.0,13.0,-0.0951219512195,0.102401971817,1457572293.31,-17.0,-106.745658886
66,66,97,144,226,15,71,1,183.715820312,68.5078582764,1457572293.4,1457572293.43,3902.0,-14300.0,6288.0,-26.0,20.0,-0.0951219512195,0.104568958282,1457572293.42,-17.0,-106.755605689
67,67,97,143,225,15,72,1,183.939727783,68.5573577881,1457572293.5,1457572293.54,3936.0,-14364.0,6296.0,-29.0,13.0,-0.0951219512195,0.105715990067,1457572293.52,-18.0,-106.7656616
68,68,97,145,226,16,73,1,184.470123291,68.5988464355,1457572293.61,1457572293.64,3968.0,-14264.0,6282.0,-30.0,15.0,-0.156097560976,0.101892948151,1457572293.63,-17.0,-106.778460349
69,69,97,145,226,16,74,1,184.471282959,68.6894989014,1457572293.7,1457572293.73,3956.0,-14374.0,6264.0,-30.0,15.0,-0.156097560976,0.103150129318,1457572293.73,-19.0,-106.794561832
70,70,98,143,226,15,75,1,184.338699341,68.7493209839,1457572293.79,1457572293.82,3936.0,-14334.0,6314.0,-29.0,16.0,-0.156097560976,0.101199865341,1457572293.83,-18.0,-106.810358884
71,71,97,143,225,15,76,1,184.244476318,68.91431427,1457572293.87,1457572293.9,3948.0,-14378.0,6310.0,-29.0,16.0,-0.156097560976,0.103039979935,1457572293.93,-18.0,-106.826443174
72,72,98,143,226,15,77,1,184.174209595,68.9804763794,1457572293.95,1457572293.99,3948.0,-14334.0,6310.0,-33.0,14.0,-0.0341463414634,0.103379011154,1457572294.04,-14.0,-106.836276787
73,73,97,143,225,15,78,1,184.137969971,69.0257415771,1457572294.05,1457572294.08,3948.0,-14334.0,6310.0,-33.0,14.0,-0.0341463414634,0.103379011154,1457572294.04,-14.0,-106.836276787
74,74,98,143,225,16,79,1,184.146820068,69.0049209595,1457572294.12,1457572294.15,4006.0,-14384.0,6290.0,-25.0,14.0,-0.0341463414634,0.105142116547,1457572294.14,-16.0,-106.839867006
75,75,98,143,227,14,80,1,184.368499756,68.9483642578,1457572294.2,1457572294.22,3916.0,-14358.0,6280.0,-30.0,16.0,-0.0341463414634,0.105557918549,1457572294.25,-17.0,-106.843471422
76,76,98,144,228,14,81,1,184.57611084,68.9633102417,1457572294.27,1457572294.3,3916.0,-14358.0,6280.0,-30.0,16.0,-0.0341463414634,0.105557918549,1457572294.25,-17.0,-106.843471422
77,77,96,146,227,15,82,1,184.791412354,69.0533599854,1457572294.35,1457572294.38,3926.0,-14384.0,6240.0,-30.0,17.0,-0.0951219512195,0.0988430976868,1457572294.35,-15.0,-106.849860062
78,78,94,147,225,16,83,1,184.858337402,69.0486679077,1457572294.43,1457572294.45,3906.0,-14356.0,6234.0,-30.0,17.0,0.0268292682927,0.103281021118,1457572294.45,-17.0,-106.853386731
79,79,95,146,226,15,84,1,184.940795898,68.9936523438,1457572294.51,1457572294.53,4000.0,-14446.0,6332.0,-34.0,24.0,-0.0951219512195,0.103515863419,1457572294.55,-6.0,-106.856921419
80,80,95,147,225,17,85,1,185.085327148,68.9678955078,1457572294.57,1457572294.6,4000.0,-14446.0,6332.0,-34.0,24.0,-0.0951219512195,0.103515863419,1457572294.55,-6.0,-106.856921419
81,81,95,147,225,17,86,1,185.274490356,68.8546142578,1457572294.65,1457572294.67,3894.0,-14462.0,6230.0,-30.0,13.0,-0.0341463414634,0.106132984161,1457572294.66,-18.0,-106.863781234
